pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,19.4628,0.0617,4.3188,1.1386,0.0772,14.7424
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,5.4968,0.0235,6.3830,-0.1754,0.0228,-7.6916
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,7.9953,0.0327,-5.1130,-0.4684,0.0356,-13.1577
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,8.7319,0.0325,-5.6684,0.1980,0.0363,5.4614
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,25.1342,0.4173,10.0003,-1.5141,0.3893,-3.8896
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,6.5454,0.1418,-3.2178,-0.4457,0.1158,-3.8504
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,8.1771,0.1598,5.8010,-0.6386,0.1387,-4.6045
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,8.9245,0.1732,-4.9968,-1.1608,0.1516,-7.6592
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,5.4240,-1.6576,1.2505,-1.3255
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-13.6922,-0.4954,0.2901,-1.7080
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,14.9785,-0.4787,0.3786,-1.2641
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-4.7269,0.0729,0.4289,0.1700
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,8.2280,-2.6287,1.3030,-2.0175
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-14.1596,-1.1992,0.3439,-3.4874
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,15.9755,-0.4097,0.3609,-1.1354
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-1.7994,-4.1369,0.4549,-9.0945
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,8.8588,2.3683,1.2647,1.8726
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-14.1321,-0.2160,0.4188,-0.5156
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,16.0643,0.2388,0.3178,0.7514
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,-1.0258,-6.2396,0.6103,-10.2247
