setting_id,pt_bin,z_bin,phibin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,yield_sig,yield_pos,yield_dum,yield_posdum,yield_net,yield_net_err,yield_sim,yield_sim_err,xsec,xsec_stat
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,2,6,0,0.1,0.05,0.5,0.6,0.55,4.71239,5.49779,5.10509,0,0,0,0,0,0,1673.11,500.641,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,2,7,0,0.1,0.05,0.5,0.6,0.55,5.49779,6.28319,5.89049,0,0,0,0,0,0,711.204,342.79,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,0,0,0.1,0.05,0.6,0.7,0.65,0,0.785398,0.392699,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,1,0,0.1,0.05,0.6,0.7,0.65,0.785398,1.5708,1.1781,0,0,0,0,0,0,242.353,173.341,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,2,0,0.1,0.05,0.6,0.7,0.65,1.5708,2.35619,1.9635,0,0,0,0,0,0,4897.38,874.527,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,3,0,0.1,0.05,0.6,0.7,0.65,2.35619,3.14159,2.74889,0,0,0,0,0,0,19183.1,1715.63,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,4,0,0.1,0.05,0.6,0.7,0.65,3.14159,3.92699,3.53429,0,0,0,0,0,0,19976.9,1782.37,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,5,0,0.1,0.05,0.6,0.7,0.65,3.92699,4.71239,4.31969,0,0,0,0,0,0,4913.44,849.538,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,6,0,0.1,0.05,0.6,0.7,0.65,4.71239,5.49779,5.10509,0,0,0,0,0,0,3.21748,3.21748,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,7,0,0.1,0.05,0.6,0.7,0.65,5.49779,6.28319,5.89049,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,0,0.1,0.2,0.15,0.3,0.4,0.35,0,0.785398,0.392699,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,1,0.1,0.2,0.15,0.3,0.4,0.35,0.785398,1.5708,1.1781,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,2,0.1,0.2,0.15,0.3,0.4,0.35,1.5708,2.35619,1.9635,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,3,0.1,0.2,0.15,0.3,0.4,0.35,2.35619,3.14159,2.74889,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,4,0.1,0.2,0.15,0.3,0.4,0.35,3.14159,3.92699,3.53429,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,5,0.1,0.2,0.15,0.3,0.4,0.35,3.92699,4.71239,4.31969,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,6,0.1,0.2,0.15,0.3,0.4,0.35,4.71239,5.49779,5.10509,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,7,0.1,0.2,0.15,0.3,0.4,0.35,5.49779,6.28319,5.89049,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,0,0.1,0.2,0.15,0.4,0.5,0.45,0,0.785398,0.392699,0,0,0,0,0,0,194.705,181.781,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,1,0.1,0.2,0.15,0.4,0.5,0.45,0.785398,1.5708,1.1781,0,0,0,0,0,0,1671.13,512.399,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,2,0.1,0.2,0.15,0.4,0.5,0.45,1.5708,2.35619,1.9635,0,0,0,0,0,0,111149,4669.14,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,3,0.1,0.2,0.15,0.4,0.5,0.45,2.35619,3.14159,2.74889,0,0,0,0,0,0,213179,6665.17,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,4,0.1,0.2,0.15,0.4,0.5,0.45,3.14159,3.92699,3.53429,0,0,0,0,0,0,221633,6743.83,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,5,0.1,0.2,0.15,0.4,0.5,0.45,3.92699,4.71239,4.31969,0,0,0,0,0,0,117232,4797.95,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,6,0.1,0.2,0.15,0.4,0.5,0.45,4.71239,5.49779,5.10509,0,0,0,0,0,0,1447.72,512.053,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,7,0.1,0.2,0.15,0.4,0.5,0.45,5.49779,6.28319,5.89049,0,0,0,0,0,0,385.562,236.661,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,0,0.1,0.2,0.15,0.5,0.6,0.55,0,0.785398,0.392699,0,0,0,0,0,0,142.651,126.326,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,1,0.1,0.2,0.15,0.5,0.6,0.55,0.785398,1.5708,1.1781,0,0,0,0,0,0,760.48,301.317,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,2,0.1,0.2,0.15,0.5,0.6,0.55,1.5708,2.35619,1.9635,0,0,0,0,0,0,157436,5218.87,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,3,0.1,0.2,0.15,0.5,0.6,0.55,2.35619,3.14159,2.74889,0,0,0,0,0,0,425821,8739.69,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,4,0.1,0.2,0.15,0.5,0.6,0.55,3.14159,3.92699,3.53429,0,0,0,0,0,0,457916,9023.71,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,5,0.1,0.2,0.15,0.5,0.6,0.55,3.92699,4.71239,4.31969,0,0,0,0,0,0,186310,5659.75,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,6,0.1,0.2,0.15,0.5,0.6,0.55,4.71239,5.49779,5.10509,0,0,0,0,0,0,934.579,374.254,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,7,0.1,0.2,0.15,0.5,0.6,0.55,5.49779,6.28319,5.89049,0,0,0,0,0,0,346.067,245.093,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,0,0.1,0.2,0.15,0.6,0.7,0.65,0,0.785398,0.392699,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,1,0.1,0.2,0.15,0.6,0.7,0.65,0.785398,1.5708,1.1781,0,0,0,0,0,0,19.8194,14.0418,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,2,0.1,0.2,0.15,0.6,0.7,0.65,1.5708,2.35619,1.9635,0,0,0,0,0,0,12531.6,1368.14,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,3,0.1,0.2,0.15,0.6,0.7,0.65,2.35619,3.14159,2.74889,0,0,0,0,0,0,72284.2,3323.77,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,4,0.1,0.2,0.15,0.6,0.7,0.65,3.14159,3.92699,3.53429,0,0,0,0,0,0,90008.4,3648.37,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,5,0.1,0.2,0.15,0.6,0.7,0.65,3.92699,4.71239,4.31969,0,0,0,0,0,0,33524.3,2217.28,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,6,0.1,0.2,0.15,0.6,0.7,0.65,4.71239,5.49779,5.10509,0,0,0,0,0,0,174.08,124.369,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,7,0.1,0.2,0.15,0.6,0.7,0.65,5.49779,6.28319,5.89049,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,0,0,0.2,0.3,0.25,0.3,0.4,0.35,0,0.785398,0.392699,0,0,0,0,0,0,0,0,0,0
