category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25044,18.137,283.403,46.9487,0.57536,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25044_-1.root",OK
signal,25045,17.79,277.812,48.1114,0.561817,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25045_-1.root",OK
signal,25046,9.026,137.581,50.6269,0.750595,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25046_-1.root",OK
signal,25065,17.885,275.865,47.7079,0.559403,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25065_-1.root",OK
signal,25066,17.544,273.558,47.5607,0.586799,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25066_-1.root",OK
signal,25067,17.992,280.602,48.1671,0.587664,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25067_-1.root",OK
signal,25068,9.055,137.904,50.5966,0.731323,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25068_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-6.1301728668
# FIT_aerr,1.9943141603
# FIT_b,15.9141033619
# FIT_berr,0.125762881966
# FIT_b_over_berr,126.540542911
# FIT_chi2,8.82240722748
# FIT_ndf,5
# FIT_chi2ndf,1.7644814455
# FIT_prob,0.1163608727
