setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
A,8.583100,2.280000,42.000000,-7.070000,12.465000,0,full,-10.000000,22.000000,W,0.906628,1.004570,1154776.000000,1805.848258,639.464581,1691619.000000,856935.000000,953.096078,0.020836,20.597300,0.020448,0,18274.558054,11,945.348570,0.018994,13.476817,0.015643,0,13046.043426,8,7.747507,0.028194,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,0,full,-10.000000,22.000000,Em,0.000643,0.028734,957173.000000,1569.448172,609.878693,1691619.000000,856935.000000,14.252747,0.008251,6.566044,0.007322,0,23713.981447,11,5.722841,0.005369,3.422346,0.004587,0,22579.291193,8,8.529906,0.009844,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,0,full,-10.000000,22.000000,Pmz,-0.049874,0.017598,1136979.000000,1830.774039,621.037319,1691619.000000,856935.000000,-12.078996,0.010384,9.308100,0.010037,0,89222.185551,8,-5.283556,0.009128,6.014768,0.006559,0,47354.807433,6,-6.795440,0.013826,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,0,full,-10.000000,22.000000,Pmy,-0.022723,0.034565,1413658.000000,2340.326362,604.043104,1691619.000000,856935.000000,6.146257,0.008335,9.727136,0.007614,0,21110.305402,7,-0.666900,0.007331,6.435770,0.005585,0,550.598984,5,6.813156,0.011100,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,W,0.899557,1.003428,169738.000000,310.087311,547.387765,242192.000000,179802.000000,948.022611,0.061751,22.032416,0.063290,0,6878.445634,12,946.810249,0.047144,15.666994,0.042069,0,7256.204030,10,1.212362,0.077690,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,Em,-0.000571,0.026465,123183.000000,262.352328,469.532712,242192.000000,179802.000000,11.865916,0.017564,5.296364,0.016701,0,4369.843585,10,6.081459,0.011091,3.366591,0.008759,0,5735.223968,8,5.784457,0.020773,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,Pmz,-0.057324,0.019203,161658.000000,323.627779,499.518306,242192.000000,179802.000000,-12.682230,0.033200,9.616018,0.032808,0,26970.840449,10,-5.991220,0.021031,6.735719,0.016346,0,15163.289222,7,-6.691010,0.039301,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,Pmy,-0.024268,0.032230,203191.000000,389.133043,522.163315,242192.000000,179802.000000,3.915848,0.019760,8.667394,0.018223,0,3283.267864,6,-0.182658,0.014859,6.103960,0.010890,0,99.666043,5,4.098506,0.024724,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,W,0.901764,1.000893,304718.000000,520.091951,585.892551,374854.000000,219204.000000,948.457644,0.042206,20.756211,0.040042,0,5806.359423,11,945.771068,0.035329,13.854064,0.029037,0,6687.691347,9,2.686577,0.055041,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,Em,-0.000658,0.026158,256217.000000,454.379284,563.883542,374854.000000,219204.000000,11.753853,0.012889,5.535570,0.012382,0,9132.114118,10,5.758031,0.008837,3.233229,0.007451,0,8571.657510,8,5.995822,0.015628,1
