setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
C,10.671600,4.720000,26.395000,-6.720000,18.560000,2,b2,-1.000000,0.000000,Pmz,-0.031329,0.039102,579.000000,0.112320,5154.897599,811.000000,11456.000000,8.767929,0.528117,9.876938,0.434467,0,54.818772,9,-6.803301,0.074215,5.793685,0.055533,0,973.494498,6,15.571230,0.533306,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,2,b2,-1.000000,0.000000,Pmy,-0.023649,0.036616,709.000000,0.153612,4615.524805,811.000000,11456.000000,6.891417,0.419080,10.679085,0.346961,0,4.129183,7,0.593166,0.069073,7.194516,0.053904,0,16.597080,5,6.298251,0.424734,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,3,b3,0.000000,1.000000,W,0.878509,1.009301,664.000000,0.135454,4902.019642,947.000000,10854.000000,945.981021,1.963658,38.118647,2.343614,0,17.604359,15,948.874372,0.264733,22.503452,0.247524,0,49.729922,11,-2.893351,1.981422,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,3,b3,0.000000,1.000000,Em,-0.024715,0.005332,566.000000,0.050797,11142.358599,947.000000,10854.000000,-10.121527,0.407886,7.942418,0.451576,0,22.421881,12,6.410267,0.050000,3.744551,0.040309,0,301.326080,8,-16.531793,0.410939,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,3,b3,0.000000,1.000000,Pmz,-0.032426,0.038779,704.000000,0.125665,5602.184616,947.000000,10854.000000,7.873724,0.533005,10.537190,0.498132,0,67.220050,8,-6.001759,0.068247,5.532024,0.052963,0,962.257984,6,13.875484,0.537357,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,3,b3,0.000000,1.000000,Pmy,-0.021753,0.037571,838.000000,0.162230,5165.504732,947.000000,10854.000000,7.748357,0.385589,10.750202,0.333687,0,9.839007,7,-0.505426,0.073221,7.463722,0.056932,0,11.488470,5,8.253782,0.392480,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,4,b4,1.000000,2.000000,W,0.887745,1.007060,707.000000,0.144316,4898.962515,974.000000,9816.000000,949.709499,1.251647,28.584359,1.145493,0,9.967579,14,948.283372,0.264625,21.969864,0.249111,0,67.171170,11,1.426127,1.279315,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,4,b4,1.000000,2.000000,Em,-0.023160,0.008360,652.000000,0.096500,6756.451042,974.000000,9816.000000,-8.611235,0.294978,6.686286,0.286968,0,33.739736,13,5.933198,0.055706,4.208871,0.049430,0,214.884041,8,-14.544433,0.300192,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,4,b4,1.000000,2.000000,Pmz,-0.030972,0.038132,759.000000,0.134488,5643.609593,974.000000,9816.000000,7.856908,0.452516,9.783215,0.406284,0,63.942557,8,-5.515445,0.072327,5.629974,0.050822,0,700.797996,6,13.372353,0.458259,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,4,b4,1.000000,2.000000,Pmy,-0.020080,0.035567,867.000000,0.163516,5302.230718,974.000000,9816.000000,7.798627,0.367306,10.357563,0.329525,0,6.625643,6,-1.311442,0.081590,7.893623,0.063170,0,6.795687,5,9.110069,0.376259,1
