mode,group_id,tier_tag,curve_label_raw,plot_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_center,xsec,xsec_err,rel_xsec_err,n_sim,flag_bits,valid_default,is_plotted,plot_drop_reason,is_used_in_fit,fit_excl_reason,fit_tier,valid_fit_default,y_fit,residual,pull,attempts,note
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,10,0,0.1,0.05,0,1,0.5,4.12334,0.00285663,0.000228366,0.0799423,1476,0,1,1,,1,FIT_INCLUDED,0,0,0.00267677,0.000179861,0.787601,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.51604,0.00301863,0.000435749,0.144353,551,0,1,1,,1,FIT_INCLUDED,0,0,0.00267677,0.000341861,0.784537,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.90874,0.00522191,0.00103111,0.197459,141,0,1,1,,1,FIT_INCLUDED,0,0,0.00267677,0.00254514,2.46835,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.30144,0.00126589,0.00104939,0.828975,82,256,0,0,VALID_DEFAULT0,0,,0,0,0.00267677,-0.00141088,-1.34448,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.69414,0.000820119,0.000946547,1.15416,54,258,0,0,VALID_DEFAULT0,0,,0,0,0.00267677,-0.00185665,-1.9615,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,15,0,0.1,0.05,0,1,0.5,6.08684,0.00179643,0.000843095,0.469317,49,2,0,0,VALID_DEFAULT0,0,,0,0,0.00267677,-0.000880339,-1.04417,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,0,0.1,0.2,0.15,0,1,0.5,0.19635,0.00061107,0.00078575,1.28586,18,258,0,0,VALID_DEFAULT0,0,,0,0,0.00254323,-0.00193216,-2.459,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,1,0.1,0.2,0.15,0,1,0.5,0.589049,0.000228876,0.000466839,2.0397,28,258,0,0,VALID_DEFAULT0,0,,0,0,0.00254323,-0.00231436,-4.9575,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,2,0.1,0.2,0.15,0,1,0.5,0.981748,0.00165442,0.000824438,0.498323,61,2,0,0,VALID_DEFAULT0,0,,0,0,0.00254323,-0.000888812,-1.07808,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,tierOn,z0p36,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,3,0.1,0.2,0.15,0,1,0.5,1.37445,0.00501498,0.00148661,0.296433,94,0,1,1,,1,FIT_INCLUDED,0,0,0.00254323,0.00247175,1.66267,t2:bad(COV); t1:bad(COV); t0:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
