fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse,det_AtA,maxAbsAtA,near_singular_warn,large_param_warn
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,12.13734,0.109792,125.805903,1.13587,-8.53503,0.05376,-8.989999,0.064097,0,-3.90307697617727,5.91390639834571,-19.7603396817634,33.6551407608974,69.1136538826081,-60.9441023542885,-8.989999,-21.5178007608974,56.6922491173919,52.4090723542885,-1.77635683940025e-15,6423.73772461115,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.909854,0.300018,10.599675,0.286065,-8.579061,0.159297,-5.888606,0.191624,0,-0.694756256274793,-0.832443446742856,-2.60644343338015,5.99068881863126,10.3867021350625,-8.77594347444369,-5.888606,-0.08083481863126,0.212972864937512,0.19688247444369,0,0.0906544178459109,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,7.525456,0.217137,11.193725,0.318568,-8.07552,0.100886,-6.385077,0.119103,0,-0.891951966663354,-0.552234996736604,-2.12065502275714,7.69105225780489,10.7574339308196,-8.47884868369461,-6.385077,-0.165596257804886,0.436291069180379,0.403328683694607,0,0.380446044736365,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.174744,0.191942,121.302716,2.393276,-8.402599,0.099002,-9.73891,0.110762,0,-3.91823526121905,5.62300680372444,-18.7040401254489,33.7858464118207,66.9993155038666,-58.6033035053479,-9.73891000000001,-20.6111024118207,54.3034004961334,50.2007045053479,5.32907051820075e-15,5893.78758090727,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,19.684561,0.244858,128.867795,8.175958,-9.540285,0.113004,-11.895702,0.140823,0,-4.76222720163411,6.80826328137999,-18.5059110795673,41.0633527815648,72.5417883147901,-61.6107850375034,-11.895702,-21.3787917815648,56.3260066852099,52.0705000375034,7.105427357601e-15,6341.00874129746,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23839,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.203067,0.551342,23.723824,0.229808,-15.676216,0.326809,-15.047189,0.418119,0,-103.856978161491,255.905475758918,252.631862383135,895.52966553322,202.020731625792,149.150117013474,-15.0471889999999,67.6734014667798,-178.296907625792,-164.826333013474,-1.10134124042816e-13,63537.1965896729,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.207961,0.07891,134.393091,1.995627,-9.721082,0.03814,-10.03543,0.043538,0,-4.18326384050858,6.1625737968277,-21.217484701175,36.071113701216,74.1562869255928,-65.4069133486495,-10.03543,-22.863152701216,60.2368040744072,55.6858313486495,7.105427357601e-15,7252.10812952789,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.794793,0.199954,130.231674,3.27481,-9.474083,0.096185,-6.828134,0.112878,0,-3.40649957160233,5.60904242462709,-22.203238405752,29.3732927339033,70.7448358312265,-64.4666093903258,-6.82813400000001,-22.5784997339033,59.4868381687735,54.9925263903258,8.88178419700125e-15,7072.6505243424,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.542232,0.148294,122.038222,1.926731,-9.333021,0.069446,-7.312114,0.076736,0,-3.41696979760335,5.42275434386697,-20.3480899635184,29.4635745633454,66.9174418770222,-60.2893509862758,-7.312114,-20.9213425633454,55.1207801229778,50.9563299862758,4.44089209850063e-15,6072.55054168874,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.64035,0.142298,123.902669,3.3592,-9.623696,0.07093,-10.831713,0.079626,0,-4.10835351631182,5.62318271662893,-19.0843938563215,35.4251829341124,69.1415463528672,-60.2475411233929,-10.831713,-20.7848329341124,54.7611226471329,50.6238451233929,7.105427357601e-15,5993.56352875056,3979.51142220752,174.056876024388,0,0
