category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24627,45.648,27.1023,0.746544,"LH2","PI+SIDIS",65.081,1,0.9987,1.03051,"ps6",1
signal,24628,46.769,30.0817,0.88208,"LH2","PI+SIDIS",51.642,1,0.9986,1.03038,"ps5",1
signal,24629,42.21,27.6733,0.716471,"LH2","PI+SIDIS",71.173,1,0.9985,1.02792,"ps6",1
signal,24630,44.349,28.143,0.772462,"LH2","PI+SIDIS",63.11,1,0.9987,1.02934,"ps6",1
signal,24631,47.127,27.7564,0.671061,"LH2","PI+SIDIS",83.004,1,0.9985,1.03259,"ps6",1
signal,24632,48.278,27.5144,0.671078,"LH2","PI+SIDIS",81.997,1,0.9989,1.03543,"ps6",1
signal,24633,48.932,27.8881,1.24666,"LH2","PI+SIDIS",23.78,1,0.998,1.03523,"ps6",1
signal,24634,46.837,27.6898,0.690717,"LH2","PI+SIDIS",77.767,1,0.9986,1.03374,"ps6",1
signal,24635,30.621,27.9424,0.81577,"LH2","PI+SIDIS",51.912,1,0.9988,1.0223,"ps6",1
signal,24636,15.872,28.9494,0.979146,"LH2","PI+SIDIS",33.77,1,0.9982,1.0116,"ps6",1
signal,24674,45.056,28.0723,0.556964,"LH2","PI+SIDIS",123.44,1,0.9987,1.03239,"ps6",1
signal,24675,50.433,27.4407,0.621436,"LH2","PI+SIDIS",97.416,1,0.9987,1.03591,"ps6",1
signal,24676,49.409,28.4057,0.689656,"LH2","PI+SIDIS",80.822,1,0.9985,1.03519,"ps6",1
signal,24677,52.326,26.8675,0.635943,"LH2","PI+SIDIS",90.776,1,0.9986,1.03732,"ps6",1
signal,24678,50.209,27.5805,0.663593,"LH2","PI+SIDIS",85.121,1,0.9987,1.03583,"ps6",1
signal,24679,47.115,29.1867,0.705856,"LH2","PI+SIDIS",78.506,1,0.9985,1.03381,"ps6",1
signal,24680,48.624,27.5408,0.584325,"LH2","PI+SIDIS",110.87,1,0.9982,1.03494,"ps6",1
signal,24681,37.407,28.839,0.737097,"LH2","PI+SIDIS",66.574,1,0.9987,1.02689,"ps6",1
signal,24682,17.74,27.3575,0.995966,"LH2","PI+SIDIS",31.372,1,0.9988,1.01295,"ps6",1
signal,24683,52.681,27.2342,1.20675,"LH2","PI+SIDIS",25.872,1,0.9992,1.0367,"ps6",1
positron,24865,53.512,0.314019,0.115797,"LH2","PI+SIDIS",94.639,1,0.9968,1.03837,"ps6",1
positron,24866,49.054,0.494246,0.12713,"LH2","PI+SIDIS",86.458,1,0.9978,1.03527,"ps6",1
positron,24867,53.19,0.62794,0.13046,"LH2","PI+SIDIS",94.583,1,0.9971,1.0369,"ps6",1
dummy,24641,34.499,15.2267,0.592931,"Dummy","PI+SIDIS",52.972,1,0.9987,1,"ps6",1
dummy,24642,39.989,15.0685,0.506211,"Dummy","PI+SIDIS",72.633,1,0.9986,1,"ps6",1
dummy,24643,36.131,15.0285,0.570477,"Dummy","PI+SIDIS",56.253,1,0.999,1,"ps6",1
dummy,24684,36.892,15.0303,0.53582,"Dummy","PI+SIDIS",64.884,1,0.9986,1,"ps6",1
dummy,24685,39.626,14.1547,0.492921,"Dummy","PI+SIDIS",72.3,1,0.9982,1,"ps6",1
dummy,24686,40.217,14.2669,0.505173,"Dummy","PI+SIDIS",69.115,1,0.9985,1,"ps6",1
