parameter,central_value,toy_mean,toy_std,p16,p50,p84,minus_err,plus_err,n_toys_physical
de0_4pass,0.7454,0.1459,0.5323,-0.3049,0.1495,0.5975,1.0503,-0.1479,1984
de0_5pass,-0.9705,-0.8548,0.3846,-1.1926,-0.8704,-0.5171,0.2221,0.4534,1984
dthe_A,-0.0501,0.0904,0.1932,-0.0947,0.1049,0.2711,0.0446,0.3212,1984
dthe_B,-0.9741,-0.6190,0.3247,-0.9142,-0.6322,-0.3155,-0.0599,0.6586,1984
dthe_C,-0.1186,-0.4281,0.5034,-0.8640,-0.4265,0.0263,0.7454,0.1449,1984
dthe_E,-0.8003,-0.6927,0.3967,-1.0635,-0.6808,-0.3237,0.2632,0.4766,1984
dthe_D,-0.9725,-0.7902,0.5569,-1.3637,-0.7787,-0.2426,0.3912,0.7299,1984
dpe_A,0.1887,-0.5326,0.6514,-1.1049,-0.5509,0.0383,1.2936,-0.1504,1984
dpe_B,1.2860,0.3071,0.7694,-0.3668,0.3301,0.9475,1.6528,-0.3385,1984
dpe_C,-0.8375,-0.1217,0.9447,-0.9219,-0.1673,0.6626,0.0844,1.5001,1984
dpe_E,0.4661,0.2882,0.7276,-0.3583,0.2805,0.9320,0.8244,0.4659,1984
dpe_D,0.8026,0.5533,0.8517,-0.2312,0.5219,1.3476,1.0338,0.5450,1984
dpp_A,-0.6283,-0.6516,0.8994,-1.5186,-0.5881,0.1766,0.8903,0.8049,1984
dpp_B,0.6432,0.7342,0.8445,-0.0170,0.7195,1.4642,0.6602,0.8210,1984
dpp_C,1.8934,1.0189,1.1497,0.0347,1.0539,2.0437,1.8587,0.1503,1984
dpp_E,0.1430,0.7218,0.9205,-0.1051,0.7320,1.5448,0.2481,1.4018,1984
dpp_D,-0.3401,0.2095,0.9515,-0.6939,0.1576,1.1243,0.3538,1.4644,1984
dthp,0.9965,0.9351,0.3304,0.6234,0.9232,1.2483,0.3731,0.2518,1984
