run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,status
27116,shms_electron,SHMSDIS,LH2,-1.165,-2.766,P.gtr.beta,818658,177671,0.993116,0.0477309,177671,OK
27120,shms_electron,SHMSDIS,LH2,-1.165,-2.766,P.gtr.beta,3641708,786054,0.994246,0.0457998,786054,OK
27121,shms_electron,SHMSDIS,LH2,-1.165,-2.766,P.gtr.beta,2770100,1180603,0.996182,0.0475955,1.1806e+06,OK
