run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
27113,hms,HMSDIS,LH2,-1.165,-2.766,H.gtr.beta,2591144,30986,1.00534,0.0305059,30986,1,0,1,3,3.2306,10,0.32306,2.97787e-08,1.00534,0.0305059,,OK
27114,hms,HMSDIS,LH2,-1.165,-2.766,H.gtr.beta,2071267,401419,1.00507,0.0310778,401419,1,0,1,3,6.42982,10,0.642982,2.44947e-08,1.00507,0.0310778,,OK
27134,hms,HMSDIS,LH2,-1.165,-2.766,H.gtr.beta,2483314,505835,1.00498,0.0302444,505835,1,0,1,3,13.8057,10,1.38057,1.24911e-06,1.00498,0.0302444,,OK
27138,hms,HMSDIS,Dummy,-1.165,-2.766,H.gtr.beta,1322362,259577,1.00473,0.0305691,259577,1,0,1,3,13.6912,10,1.36912,6.80195e-09,1.00473,0.0305691,,OK
27159,hms,HMSDIS,LH2,-1.165,4.978,H.gtr.beta,2247975,467796,1.00598,0.0313049,467796,1,0,1,3,8.3964,10,0.83964,6.97871e-08,1.00598,0.0313049,,OK
27161,hms,HMSDIS,Dummy,-1.165,4.978,H.gtr.beta,727630,146094,1.00481,0.0311986,146094,1,0,1,3,13.7882,10,1.37882,1.28419e-08,1.00481,0.0311986,,OK
27174,hms,HMSDIS,LH2,-1.165,2.766,H.gtr.beta,2666838,551523,1.00562,0.0306143,551523,1,0,1,3,5.08447,10,0.508447,1.35159e-08,1.00562,0.0306143,,OK
27175,hms,HMSDIS,LH2,-1.165,2.766,H.gtr.beta,2629332,32780,1.00581,0.0306119,32780,1,0,1,3,2.97325,10,0.297325,1.09848e-09,1.00581,0.0306119,,OK
27179,hms,HMSDIS,Dummy,-1.165,2.766,H.gtr.beta,1448199,288364,1.00534,0.0309761,288364,1,0,1,3,14.8723,10,1.48723,8.95215e-07,1.00534,0.0309761,,OK
27192,hms,HMSDIS,LH2,-1.165,5.154,H.gtr.beta,628395,117616,1.00708,0.0308928,117616,1,0,1,3,11.1914,10,1.11914,4.93904e-09,1.00708,0.0308928,,OK
27247,hms,HMSDIS,LD2,-1.165,2.978,H.gtr.beta,933470,99369,1.00044,0.031648,99369,1,0,1,3,8.32841,10,0.832841,1.22613e-06,1.00044,0.031648,,OK
27248,hms,HMSDIS,LD2,-1.165,2.978,H.gtr.beta,2085492,11660,1.00012,0.029868,11660,1,0,1,3,13.066,10,1.3066,5.64721e-07,1.00012,0.029868,,OK
27262,hms,HMSDIS,LH2,-1.165,2.978,H.gtr.beta,828284,156091,1.00135,0.0322202,156091,1,0,1,3,19.2203,10,1.92203,1.59406e-07,1.00135,0.0322202,,OK
27264,hms,HMSDIS,LH2,-1.165,2.978,H.gtr.beta,1963626,22573,1.00207,0.0331009,22573,1,0,1,3,17.3985,10,1.73985,1.30228e-08,1.00207,0.0331009,,OK
27270,hms,HMSDIS,Dummy,-1.165,2.978,H.gtr.beta,193257,24302,0.999872,0.032791,24302,1,0,1,3,19.1493,10,1.91493,4.74578e-08,0.999872,0.032791,,OK
27282,hms,HMSDIS,C,-1.165,2.978,H.gtr.beta,276841,32872,1.00415,0.0330297,32872,1,0,1,3,16.6652,10,1.66652,2.34832e-07,1.00415,0.0330297,,OK
27283,hms,HMSDIS,C,-1.165,2.978,H.gtr.beta,971953,115660,1.00396,0.0318851,115660,1,0,1,3,12.0915,10,1.20915,2.88719e-09,1.00396,0.0318851,,OK
27284,hms,HMSDIS,C,-1.165,2.978,H.gtr.beta,2270883,14083,1.00491,0.0316476,14083,1,0,1,3,9.65974,10,0.965974,2.31795e-09,1.00491,0.0316476,,OK
27295,hms,HMSDIS,Cu,-1.165,2.978,H.gtr.beta,1195940,124718,1.00423,0.0316857,124718,1,0,1,3,8.05687,10,0.805687,3.91148e-08,1.00423,0.0316857,,OK
27297,hms,HMSDIS,Cu,-1.165,2.978,H.gtr.beta,2581724,13683,1.00394,0.031728,13683,1,0,1,3,7.56264,10,0.756264,2.82887e-09,1.00394,0.031728,,OK
27298,hms,HMSDIS,Al,-1.165,2.978,H.gtr.beta,504838,66013,1.00459,0.0327823,66013,1,0,1,3,12.2364,10,1.22364,1.36171e-07,1.00459,0.0327823,,OK
27299,hms,HMSDIS,Al,-1.165,2.978,H.gtr.beta,4358337,31288,1.00516,0.0329773,31288,1,0,1,3,8.95931,10,0.895931,6.25111e-08,1.00516,0.0329773,,OK
27372,hms,HMSDIS,LH2,-1.165,-3.837,H.gtr.beta,792046,147074,1.00714,0.0312798,147074,1,0,1,3,9.36426,10,0.936426,2.27486e-07,1.00714,0.0312798,,OK
27761,hms,HMSDIS,LH2,-3.254,-2.738,H.gtr.beta,1458393,584295,1.00756,0.0321068,584295,1,0,1,3,27.2278,10,2.72278,1.34343e-06,1.00756,0.0321068,,OK
27798,hms,HMSDIS,Dummy,-3.254,2.766,H.gtr.beta,2974834,1283915,1.00645,0.030938,1.28392e+06,1,0,1,3,38.4077,10,3.84077,8.22169e-08,1.00645,0.030938,,OK
27857,hms,HMSDIS,LH2,-3.254,2.806,H.gtr.beta,2032971,385029,1.00813,0.0315949,385029,1,0,1,3,23.0411,10,2.30411,6.64361e-07,1.00813,0.0315949,,OK
28012,hms,HMSDIS,C,-3.254,-2.978,H.gtr.beta,1420435,595257,1.00784,0.0318228,595257,1,0,1,3,10.931,10,1.0931,5.23133e-07,1.00784,0.0318228,,OK
28224,hms,HMSDIS,LH2,-5.343,2.978,H.gtr.beta,1671747,914401,1.00607,0.0310935,914401,1,0,1,3,33.6249,10,3.36249,8.23855e-08,1.00607,0.0310935,,OK
28225,hms,HMSDIS,LH2,-5.343,2.978,H.gtr.beta,1346857,540444,1.00613,0.0313119,540444,1,0,1,3,18.9633,10,1.89633,7.72782e-08,1.00613,0.0313119,,OK
28229,hms,HMSDIS,Dummy,-5.343,2.978,H.gtr.beta,504493,261519,1.00642,0.0314651,261519,1,0,1,3,22.1795,10,2.21795,1.72011e-06,1.00642,0.0314651,,OK
28232,hms,HMSDIS,C,-5.343,2.978,H.gtr.beta,1638483,839477,1.00754,0.0321816,839477,1,0,1,3,33.9768,10,3.39768,1.2545e-06,1.00754,0.0321816,,OK
28236,hms,HMSDIS,Cu,-5.343,2.978,H.gtr.beta,1725998,823151,1.00686,0.031628,823151,1,0,1,3,17.0507,10,1.70507,1.94732e-07,1.00686,0.031628,,OK
28239,hms,HMSDIS,Al,-5.343,2.978,H.gtr.beta,732903,383230,1.0063,0.0312702,383230,1,0,1,3,15.0804,10,1.50804,5.16098e-08,1.0063,0.0312702,,OK
28244,hms,HMSDIS,LD2,-5.343,2.978,H.gtr.beta,2901377,1521842,1.00613,0.031148,1.52184e+06,1,0,1,3,66.1113,10,6.61113,1.62862e-07,1.00613,0.031148,,OK
28247,hms,HMSDIS,LD2,-5.343,2.978,H.gtr.beta,2833159,1484110,1.00643,0.0313179,1.48411e+06,1,0,1,3,32.4391,10,3.24391,2.40129e-07,1.00643,0.0313179,,OK
28251,hms,HMSDIS,Dummy,-5.343,2.978,H.gtr.beta,2728904,1414749,1.00525,0.0305745,1.41475e+06,1,0,1,3,20.9111,10,2.09111,2.84578e-06,1.00525,0.0305745,,OK
28255,hms,HMSDIS,C,-5.343,2.978,H.gtr.beta,2658948,1363346,1.00715,0.0315204,1.36335e+06,1,0,1,3,57.8136,10,5.78136,2.37257e-07,1.00715,0.0315204,,OK
