pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,predicted,predicted_err_FromToy,residual,residual_err_Total,pull_Total
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,4.4533,0.2873,1.0041,0.2975,3.3747
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,6.4125,0.0646,-0.2049,0.0685,-2.9894
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,-5.1092,0.0605,-0.4722,0.0702,-6.7285
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,-5.5228,0.2266,0.0524,0.2295,0.2283
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,9.1677,2.8572,-0.6814,2.8836,-0.2363
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,-3.2810,0.7579,-0.3825,0.7667,-0.4989
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,5.6529,0.6773,-0.4905,0.6913,-0.7095
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,-5.1011,1.4646,-1.0566,1.4724,-0.7176
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,6.6333,11.6820,-2.8669,11.7487,-0.2440
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,-13.7527,4.1311,-0.4349,4.1413,-0.1050
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,15.2466,3.3855,-0.7468,3.4066,-0.2192
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,-5.3796,3.1142,0.7256,3.1436,0.2308
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,3.3475,9.7610,2.2518,9.8476,0.2287
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,-14.5766,2.6998,-0.7822,2.7216,-0.2874
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,15.4568,2.0600,0.1090,2.0914,0.0521
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,-5.4158,2.8578,-0.5205,2.8938,-0.1799
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,7.7081,11.8168,3.5189,11.8843,0.2961
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,-15.2178,4.7695,0.8697,4.7879,0.1817
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,16.9354,4.3474,-0.6323,4.3590,-0.1451
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,-4.0389,4.2290,-3.2265,4.2728,-0.7551
