toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_A,dthe_B,dthe_C,dthe_E,dthe_D,dpe_A,dpe_B,dpe_C,dpe_E,dpe_D,dpp_A,dpp_B,dpp_C,dpp_E,dpp_D,dthp
471,True,Optimization terminated successfully.,10176,13570,4667.6716,0,1,0.0049,-0.8533,-0.4352,-1.2532,-1.4727,-0.5283,0.4846,0.2570,0.0948,0.6903,-1.2723,0.2259,0.1788,1.8765,0.3915,1.1324
472,True,Optimization terminated successfully.,8057,10738,1957.1319,0,1,0.0763,-0.7270,-1.5189,-1.6513,-1.3820,-0.6308,0.3676,1.3203,2.1881,2.0601,-0.9245,0.5307,-0.4490,-0.7278,0.1384,1.0401
473,True,Optimization terminated successfully.,6250,8394,6693.2373,0,1,0.1703,-1.2456,-0.7788,-0.7467,0.3088,-0.8382,0.5376,0.0217,0.3724,-0.0131,-0.2548,-0.4244,2.0595,1.4375,-0.0509,0.5334
474,True,Optimization terminated successfully.,12486,16473,946.6459,0,1,-0.4023,-1.4975,0.4242,0.4047,-1.0692,0.1343,1.8645,-0.5259,-0.5648,1.6821,-3.5162,-2.0583,3.9503,4.1381,0.2351,2.0076
475,True,Optimization terminated successfully.,10195,13542,3343.2643,0,1,-0.0754,-1.4163,-0.8133,-0.8667,-1.4732,-0.4346,1.1419,-0.1815,0.3162,0.4060,-1.6298,-1.1728,1.5542,1.4885,1.7030,1.0551
476,True,Optimization terminated successfully.,9483,12481,4589.5373,0,1,0.0457,-1.0864,-0.5614,-0.4678,-1.3624,-0.6142,0.6376,-1.1890,0.5999,-0.4305,-0.9921,-0.2953,3.4488,2.0209,0.5679,0.8984
477,True,Optimization terminated successfully.,21635,28232,703.2878,0,1,-0.0436,-0.4803,-1.9400,-0.9329,-0.5308,-0.4563,0.0043,3.0640,1.2536,0.1134,-1.5279,0.8538,-1.5169,1.1056,2.7716,1.1931
478,True,Optimization terminated successfully.,14248,18614,1024.1612,0,1,0.1127,-0.9787,0.0519,-0.0411,-1.1352,-0.6857,0.7817,-0.4519,0.1267,2.2103,-0.7483,-0.2887,3.5115,3.0408,-0.0887,0.9436
479,True,Optimization terminated successfully.,9791,12934,6284.0221,0,1,0.3099,-0.8953,-1.8070,-0.1385,-0.5592,-1.0910,-0.0240,-0.2752,-1.8355,0.0551,0.5599,0.2748,1.1338,4.2369,1.2027,0.0823
480,True,Optimization terminated successfully.,21710,28398,564.5030,0,1,-0.3291,-0.9267,-1.6483,-1.0350,-0.8851,0.0231,0.9652,3.1284,1.6574,0.8049,-3.1284,-0.5237,-1.5145,0.6557,1.6654,1.8517
481,True,Optimization terminated successfully.,9668,12774,3300.5543,0,1,0.2172,-1.3687,0.1522,-1.2125,-2.0745,-0.8643,0.9039,-1.8742,1.7995,1.2525,-0.1477,-0.9380,4.9241,0.3026,-0.9697,0.6072
482,True,Optimization terminated successfully.,10611,13996,3809.6976,0,1,0.1315,-0.7572,-1.3868,-0.1475,-0.6379,-0.6940,0.3714,1.7303,0.3289,0.5329,-0.6751,0.3083,0.0575,3.0673,-0.5901,1.0403
483,True,Optimization terminated successfully.,8205,10892,6548.0482,0,1,0.6100,-1.0062,-0.9967,-2.2750,-0.9509,-1.4966,0.2475,0.4188,0.8414,0.4003,1.9842,0.1897,0.3479,-0.3489,0.6640,-0.1343
484,True,Optimization terminated successfully.,12618,16565,4232.1745,0,1,-0.2857,-0.9230,-0.5762,-0.7056,-2.0627,-0.1393,0.4231,-0.7871,-0.4404,1.5096,-2.6798,-0.1327,2.1807,2.7247,-0.6774,1.2695
485,True,Optimization terminated successfully.,20701,27163,1186.5986,1,0,-0.1825,-1.2473,-2.4576,0.5084,0.2663,-0.2028,1.3815,4.0840,-0.9403,-1.8257,-2.3614,-1.3417,-3.2925,4.7229,5.1371,1.6057
486,True,Optimization terminated successfully.,9992,13141,1064.8754,0,1,-0.0375,-0.8769,-1.6056,-1.4521,-1.9781,-0.4362,0.7051,2.8326,1.6618,2.1240,-1.5486,-0.2517,-1.0931,0.6911,-0.9203,1.3210
487,True,Optimization terminated successfully.,15584,20535,2994.5234,0,1,-0.2692,-1.3673,-0.6485,-1.1455,-1.1624,-0.0750,1.5195,0.6104,1.4799,0.6488,-2.7822,-1.3686,-0.1273,0.3863,1.6772,1.8130
488,True,Optimization terminated successfully.,15907,20883,1033.4662,1,0,-0.2563,-0.9816,-1.2665,-1.5950,0.6083,-0.1004,0.9754,2.6518,2.4905,-2.0744,-2.7015,-0.3571,-1.2087,-0.6796,5.7932,1.7460
489,True,Optimization terminated successfully.,10183,13433,5365.8753,0,1,0.1739,-0.8615,-1.3332,-0.9629,-1.6283,-0.8077,0.2606,0.3075,1.1625,0.5025,-0.3358,0.0729,1.2661,1.3853,-1.3301,0.6556
490,True,Optimization terminated successfully.,32202,41868,678.2797,0,1,-0.1843,-0.6864,0.1688,-0.4379,-1.5344,-0.2218,0.4571,-0.4147,0.7202,2.2470,-2.3271,0.2203,3.6943,2.1588,-0.3695,1.4931
491,True,Optimization terminated successfully.,13998,18470,758.3054,0,1,-0.3863,-0.6207,-1.9975,-1.1754,-0.4153,0.0749,0.5102,3.7114,2.2700,0.6042,-3.3324,0.2713,-2.2414,-0.3110,1.9532,1.8588
492,True,Optimization terminated successfully.,12226,16085,1593.6387,0,1,0.3834,-0.7190,-0.3838,-1.5064,-1.5031,-1.1012,0.2589,0.3081,1.4881,2.0079,0.6975,0.4495,2.1734,0.4572,-0.1592,0.5539
493,True,Optimization terminated successfully.,17183,22456,788.8574,0,1,-0.2966,-1.2897,0.5418,-0.4248,-0.2923,-0.0401,1.4810,-0.9266,0.6945,-0.3680,-2.9352,-1.4871,4.3662,2.1167,3.2159,1.7542
494,True,Optimization terminated successfully.,18892,24710,688.8085,0,1,-0.2429,-0.5249,-0.7378,-0.0664,-1.0732,-0.1299,0.1969,1.5398,-0.0720,1.1507,-2.6216,0.6079,0.4827,3.3179,1.2689,1.6258
495,True,Optimization terminated successfully.,30793,40161,887.6113,0,1,-0.0374,-1.1697,-0.1506,-0.0530,-0.5001,-0.4572,1.2346,0.7216,0.0518,1.0030,-1.5245,-1.1880,2.1259,3.3422,1.6180,1.2029
496,True,Optimization terminated successfully.,24808,32594,5204.4654,0,1,-0.2182,-0.9247,-0.8518,-0.5128,0.2503,-0.1193,0.9033,0.1902,-0.3804,1.1399,-2.6498,-0.8214,1.8514,2.9730,-0.8033,1.6617
497,True,Optimization terminated successfully.,14427,18982,1381.7734,0,1,-0.5919,-0.6673,-1.7074,-0.9951,-1.3606,0.3818,0.5773,2.5250,1.8652,1.8099,-4.3975,0.3435,-0.9596,0.3150,-0.5194,2.1228
498,True,Optimization terminated successfully.,8210,10934,3073.9453,0,1,-0.1740,-0.6998,-0.6659,-0.8854,-1.4273,-0.2608,0.2270,0.8497,0.9947,0.2096,-2.1896,0.4812,1.4044,1.7738,-0.2210,1.3391
499,True,Optimization terminated successfully.,9341,12338,3544.8171,0,1,-0.4379,-0.9524,-0.7354,-1.2563,-0.2012,0.2248,1.0847,1.9904,0.6417,1.5342,-3.7803,-0.7944,0.0035,1.5701,-0.9788,2.3038
500,True,Optimization terminated successfully.,6634,8873,3955.9676,0,1,-0.0164,-1.0262,-1.3482,-0.8798,-1.7422,-0.5470,0.5296,0.5450,-0.0296,0.4156,-1.2600,0.0412,0.2523,2.0992,0.8592,0.8622
501,True,Optimization terminated successfully.,26229,34107,650.1677,0,1,-0.3405,-0.8752,-1.1814,-0.1375,-0.7498,0.0240,0.8427,2.4662,0.1433,1.3416,-3.1498,-0.3148,-0.5854,2.9975,1.1191,1.8643
502,True,Optimization terminated successfully.,13058,17190,720.9600,0,1,-0.1372,-0.8019,-1.2541,-1.7030,-0.5007,-0.2872,0.7094,1.8828,2.6245,-0.2668,-2.0779,-0.1553,0.2164,-0.8732,2.9896,1.4685
503,True,Optimization terminated successfully.,28616,37372,566.5137,0,1,0.0550,-0.1938,-0.1737,-0.5778,-1.6526,-0.6062,-0.4447,0.1946,0.7181,2.5814,-1.0018,1.6557,2.6908,2.0971,-0.8382,0.9937
504,True,Optimization terminated successfully.,16935,22201,1374.2538,0,1,0.3094,0.3471,-0.8264,-1.8284,-0.8875,-1.0400,-1.5852,0.2660,1.8683,0.2710,0.4130,3.4733,2.4344,-0.0275,1.4626,0.3328
505,False,Maximum number of iterations has been exceeded.,50000,64776,666.0282,0,0,-0.5803,-1.7816,-0.9299,-0.6266,-1.6283,0.3955,2.5023,2.1746,1.5246,2.3303,-4.3795,-3.0696,-0.0256,1.0358,-0.1225,2.4095
506,True,Optimization terminated successfully.,41227,53621,1296.4049,1,0,-0.3016,-0.7533,1.3903,-1.3775,-0.4914,-0.0677,0.3720,-2.5034,1.9101,-0.4148,-2.8454,0.2123,6.6860,0.3825,2.8378,1.6345
507,True,Optimization terminated successfully.,8881,11800,5234.7516,0,1,-0.2625,-1.0723,-0.2920,-1.1046,-1.7104,-0.1606,0.7561,-0.2528,1.0115,0.1769,-2.5622,-0.6017,2.3437,1.3157,-0.9864,1.3591
508,True,Optimization terminated successfully.,21545,28084,607.2654,0,1,-0.1650,-0.6192,-1.1597,-1.5111,-0.2611,-0.2526,0.3317,1.8884,2.3838,-0.2996,-2.1879,0.3673,0.1899,-0.5661,3.5116,1.4976
509,True,Optimization terminated successfully.,13510,17692,1369.5767,0,1,-0.6518,-1.6746,-1.2734,-1.7521,-0.4481,0.5129,2.2751,2.6825,2.8248,-0.4315,-4.7959,-2.6269,-1.8580,-1.2949,3.7956,2.5017
510,True,Optimization terminated successfully.,22075,28698,782.2218,0,1,-0.0600,-0.9527,-0.4279,-0.8647,-1.8223,-0.3925,0.8743,0.8489,1.3516,3.1595,-1.7102,-0.4892,1.9444,1.2523,-1.7984,1.4154
511,True,Optimization terminated successfully.,25638,33535,1927.6197,1,0,0.4745,-0.7956,-1.8856,0.3172,-1.0125,-1.2338,0.0573,2.6250,-1.7447,0.8533,1.1507,0.5904,-1.4339,5.7047,0.9144,0.3509
512,True,Optimization terminated successfully.,12941,17109,886.0506,0,1,-0.0749,-0.2921,-1.8057,-1.2346,-1.7113,-0.4000,-0.2084,3.4171,1.6808,2.5822,-1.7039,1.3084,-2.1251,0.6309,-1.1298,1.3026
513,True,Optimization terminated successfully.,10421,13726,4769.0339,0,1,0.2782,-1.7899,0.4350,-1.2876,-1.5580,-0.8956,2.0047,-0.6997,1.0353,1.7823,0.0455,-2.4294,1.9637,0.8413,-0.0443,0.9746
514,True,Optimization terminated successfully.,14263,18690,480.2858,0,1,-0.1991,-0.6918,-1.2130,-0.6172,0.2260,-0.1929,0.5191,2.0737,0.9009,-1.1154,-2.3946,0.1691,-0.1678,1.8187,4.7661,1.5486
515,True,Optimization terminated successfully.,8991,11941,3587.1284,0,1,0.2719,-1.1140,-0.1015,-1.2330,-1.8835,-0.9858,0.6896,-1.0610,0.8761,1.0305,0.2361,-0.0421,2.8693,0.8866,-0.0213,0.4042
516,True,Optimization terminated successfully.,9861,13004,5458.6491,0,1,-0.0394,-0.8305,-1.0331,-1.0037,-0.8558,-0.4540,0.3613,0.4724,-0.2085,0.3597,-1.5391,0.2374,0.6448,2.2937,-0.6234,1.2515
517,True,Optimization terminated successfully.,19042,25021,922.2822,0,1,-0.4681,-0.5335,-0.7875,-0.7737,-0.0248,0.2372,0.4186,2.2181,1.8126,0.3668,-3.8403,0.3805,0.0169,0.2401,2.6006,2.1395
518,True,Optimization terminated successfully.,26702,34787,441.4942,0,1,-0.3061,-0.8691,-0.8410,-0.9310,-1.0430,-0.0256,0.9168,1.7296,1.5907,1.3924,-2.9754,-0.4327,0.5450,0.8070,1.0301,1.8164
519,True,Optimization terminated successfully.,16477,21524,631.0178,0,1,-0.1327,-0.6290,-1.7556,-1.2864,-0.6096,-0.2931,0.3841,2.8767,2.0177,0.5489,-2.0663,0.3311,-1.3261,0.2103,2.1157,1.4604
520,True,Optimization terminated successfully.,18622,24306,1078.0823,0,1,0.1896,-0.4184,-1.6365,-0.7796,-0.6839,-0.8414,-0.2710,2.2786,0.7936,0.5392,-0.2314,1.4142,-0.3639,1.4601,2.2480,0.6476
521,True,Optimization terminated successfully.,25546,33196,460.7933,0,1,-0.1623,-0.6298,-0.2191,-0.4841,-0.5725,-0.2722,0.3480,0.4688,0.6606,0.3670,-2.1441,0.3799,2.4310,2.2814,2.4544,1.4496
522,True,Optimization terminated successfully.,20494,26978,765.6922,0,1,-0.2549,-1.1431,-1.7706,-1.2779,0.2260,-0.0885,1.2842,3.1710,2.1058,-1.2994,-2.7522,-1.0968,-1.6268,0.0325,4.7500,1.7883
523,True,Optimization terminated successfully.,8746,11613,2726.5965,0,1,-0.0423,-0.9627,-1.6703,-0.7510,-1.3675,-0.5017,0.5574,0.7229,0.7849,2.2954,-1.4242,-0.4744,1.8333,1.4492,-1.1982,0.8685
524,False,Maximum number of iterations has been exceeded.,50000,64915,949.6694,0,0,-0.3919,-1.0683,0.5648,-1.5241,-1.9402,0.1050,1.2068,-0.3094,2.3306,3.3222,-3.4136,-0.9893,3.2722,-0.6925,-1.8989,1.9755
525,True,Optimization terminated successfully.,12960,17037,942.9839,0,1,0.0846,-1.0614,-0.1031,-1.5238,-1.2302,-0.6318,0.9066,-0.3269,2.3155,1.6052,-0.8906,-0.5300,3.3323,-0.4048,0.5959,1.0862
526,True,Optimization terminated successfully.,16282,21304,574.5099,0,1,-0.1080,-0.7526,-0.6244,-1.4045,-1.3511,-0.3408,0.5308,0.6738,2.2067,1.6829,-1.9068,0.0974,1.8603,-0.2965,0.5638,1.3639
527,True,Optimization terminated successfully.,6767,9038,3593.3812,0,1,0.1708,-0.7705,0.2933,-1.7046,-1.4917,-0.8206,-0.3480,1.3582,1.1017,1.0329,-0.2896,0.7654,0.4210,0.5953,0.4715,0.6031
528,True,Optimization terminated successfully.,22055,28726,479.4007,0,1,-0.2368,-0.6192,-0.9681,-0.6289,-1.6923,-0.1310,0.4524,1.7984,0.9682,2.7325,-2.6111,0.2950,0.3385,1.6999,-1.0614,1.6345
529,True,Optimization terminated successfully.,10447,13815,4966.9484,0,1,0.0654,-1.2039,-0.7899,-0.4274,-1.4692,-0.6723,0.8395,-0.4945,-0.3992,0.3860,-0.8253,-0.2763,1.5404,2.3914,0.1989,0.8242
530,True,Optimization terminated successfully.,7311,9755,8533.4347,0,1,0.2183,-1.1894,-1.0815,-0.0991,0.5344,-0.9279,0.1743,-0.1649,-0.6766,0.5910,0.0158,-0.1533,0.9396,2.3428,0.3974,0.3245
531,True,Optimization terminated successfully.,13525,17736,1846.5707,0,1,-0.1112,-1.5244,-1.2710,-0.5759,-0.9447,-0.3444,1.6602,0.7707,0.4986,0.5674,-1.9104,-1.9946,1.9357,1.8801,1.3665,1.2972
532,False,Maximum number of iterations has been exceeded.,50000,64745,954.0175,0,0,-0.1757,-1.4574,-0.6589,-0.3335,-0.3272,-0.2493,1.6548,1.0755,0.3462,0.5065,-2.2399,-1.6015,1.4832,2.8148,2.0422,1.4893
533,True,Optimization terminated successfully.,8774,11623,2636.1616,0,1,-0.1848,-0.9169,-0.8315,-1.0448,-1.9255,-0.2364,0.5923,1.1144,1.2340,0.3668,-2.2652,-0.0848,0.3694,1.1138,0.2506,1.5449
534,True,Optimization terminated successfully.,9186,12153,4396.7982,0,1,0.2120,-1.1987,-1.6228,-0.4200,-0.4408,-0.9289,0.4405,0.2169,0.2305,0.4082,0.0129,0.1979,0.7147,1.8393,1.2632,0.3034
535,True,Optimization terminated successfully.,14299,18800,2436.7132,0,1,0.1521,-1.5659,0.4064,-1.5317,-1.3340,-0.7586,1.3984,-0.8386,1.1965,-0.0874,-0.4900,-1.5446,3.4651,1.0676,1.8011,0.8030
536,True,Optimization terminated successfully.,8384,11087,4454.7823,0,1,0.0980,-1.0515,-0.2315,-0.8708,-1.7218,-0.6642,0.6464,-0.3968,0.0628,0.3534,-0.7897,-0.1819,1.3614,2.1618,0.2218,1.0353
537,True,Optimization terminated successfully.,16616,21689,2221.0140,0,1,0.0824,-0.9624,-0.4767,-0.2093,-1.1474,-0.6166,0.7104,0.5452,0.5691,0.2196,-0.9456,-0.4358,2.2501,3.1222,0.4953,1.0728
538,True,Optimization terminated successfully.,13040,17134,1297.8979,0,1,0.0838,-0.5816,-1.1358,-1.7757,0.1506,-0.6315,0.1762,0.8138,2.5641,-0.8201,-0.9205,0.4724,1.7920,-1.0281,4.0356,1.0393
539,True,Optimization terminated successfully.,18164,23753,545.3431,0,1,0.0215,-0.3646,0.4472,-0.4507,-1.2791,-0.5504,-0.1326,-0.8704,0.6499,1.9277,-1.2083,1.1494,4.3832,2.3014,0.0956,1.0932
540,True,Optimization terminated successfully.,7630,10112,3753.1604,0,1,-0.0626,-0.9681,-1.3050,-0.8003,-1.4131,-0.4605,0.5172,0.3775,0.4896,0.6668,-1.5346,0.0499,-0.0165,1.2255,1.3379,1.0660
541,True,Optimization terminated successfully.,9431,12495,2808.6402,0,1,0.1250,-1.2011,-1.4012,0.0017,-0.7897,-0.7544,0.8922,-0.1298,-0.3586,-0.0008,-0.5419,-0.7170,1.5544,3.0148,2.6850,0.7013
542,True,Optimization terminated successfully.,21239,27821,536.2201,0,1,-0.1905,-0.5895,-0.7147,-0.2752,-0.7038,-0.2310,0.2672,1.1236,0.2638,0.2788,-2.2935,0.5482,1.2836,2.6852,2.5261,1.4341
543,True,Optimization terminated successfully.,12899,16966,750.0149,0,1,0.0305,-0.5053,-0.3457,-0.9963,-0.3348,-0.5406,0.0883,1.0996,1.6772,-0.2826,-1.2144,0.9529,1.6890,0.8384,2.7964,1.1748
544,True,Optimization terminated successfully.,18487,24233,634.5965,0,1,-0.2119,-1.2834,-0.6602,-1.2812,-0.5235,-0.1639,1.4525,1.1395,2.2852,0.0203,-2.5068,-1.3126,1.2339,-0.2096,2.8361,1.6849
545,True,Optimization terminated successfully.,9585,12682,4961.3859,0,1,-0.2393,-0.4394,-0.3795,-0.9612,-1.6247,-0.1625,-0.2309,-0.2271,-0.2648,0.9238,-2.5407,1.1004,1.2329,2.9635,-0.7820,1.4254
546,True,Optimization terminated successfully.,11298,14868,4242.1356,0,1,0.3853,-1.1669,-0.3011,-1.3586,-1.9170,-1.1532,0.5664,-1.6422,0.0554,1.4248,0.8117,-0.6323,4.4341,1.8105,-0.8360,0.1997
547,True,Optimization terminated successfully.,18904,24846,1876.7157,1,0,-0.8158,-0.9264,-1.1116,-0.8696,-1.2341,0.7458,1.1004,1.9392,2.1461,1.4203,-5.6040,-0.5876,-0.4115,0.3894,-0.2420,2.6439
548,True,Optimization terminated successfully.,9246,12279,718.4009,0,1,-0.3072,-0.3229,-0.7006,-0.7755,-1.3200,-0.0446,-0.1541,1.1118,0.8960,1.6504,-2.9334,1.1787,1.1198,1.7619,0.4458,1.6276
549,True,Optimization terminated successfully.,9047,11924,6647.4567,0,1,-0.0327,-1.1484,-1.1701,-0.3685,-0.0095,-0.5410,0.8170,-0.0122,-0.4730,0.3190,-1.3068,-0.0717,0.3327,2.3767,0.8014,0.8507
550,True,Optimization terminated successfully.,22303,29106,975.3028,0,1,-0.1870,-0.3190,-1.6313,-1.5200,-0.6136,-0.2212,-0.0677,2.9937,2.9001,1.2358,-2.3094,1.0860,-1.4004,-1.4184,1.8424,1.5021
551,True,Optimization terminated successfully.,15015,19759,4350.0373,0,1,0.1603,-1.2139,-1.5941,-0.6414,-0.7687,-0.8487,0.4828,0.4853,1.1149,1.6180,-0.2580,0.1306,0.6598,0.5033,-0.1481,0.3521
552,True,Optimization terminated successfully.,9165,12129,4121.8176,0,1,0.1445,-0.6590,0.3731,-0.6031,-1.5590,-0.7300,-0.0592,0.0853,0.3724,-0.3641,-0.5521,0.9621,1.7399,2.4142,0.5995,0.9683
553,True,Optimization terminated successfully.,12033,15752,1259.7437,1,0,0.0670,-1.3037,1.2214,-0.2901,-0.3661,-0.6228,1.2478,-2.0079,-0.4041,0.3796,-0.9445,-1.0692,5.7844,3.3054,2.4016,1.0222
554,True,Optimization terminated successfully.,14188,18677,1828.4266,0,1,0.3855,-0.7496,-0.5151,-0.6897,-1.5505,-1.1221,0.1542,-0.6107,0.1814,1.5015,0.7489,0.3753,3.8279,2.4097,-0.0729,0.3482
555,True,Optimization terminated successfully.,15939,20913,2204.1259,1,0,0.5227,-0.7878,-0.5053,0.4267,-2.1770,-1.3517,0.1273,0.2311,-1.7164,3.0103,1.5037,0.7757,2.2915,5.3107,-2.3097,0.0497
556,True,Optimization terminated successfully.,7696,10384,4193.8188,0,1,0.0232,-0.9432,-0.6853,-1.5025,-0.9626,-0.6229,0.4409,0.5719,0.3510,0.7871,-1.0166,0.5942,0.9423,0.8640,-0.0052,0.7743
557,True,Optimization terminated successfully.,25601,33480,714.8523,0,1,0.0185,-0.6991,-0.0311,0.5576,0.0479,-0.5233,0.3946,0.0277,-0.9970,-0.1661,-1.2697,0.3298,3.0414,4.7861,3.3710,1.1613
558,True,Optimization terminated successfully.,15905,20937,565.2173,0,1,0.0683,-0.7188,0.0170,0.2638,-0.1314,-0.6254,0.3432,-0.1976,-0.5666,-0.3370,-0.9497,0.3776,3.2501,4.0584,3.4293,0.9485
559,True,Optimization terminated successfully.,15616,20683,738.1358,1,0,-0.7017,-1.2900,-1.1710,-1.9381,-0.4329,0.5908,1.7122,2.3628,3.5457,0.2957,-5.0683,-1.7298,-0.7453,-2.2006,2.5751,2.5952
560,True,Optimization terminated successfully.,13637,17934,1331.4372,0,1,0.3264,-0.8262,-0.6801,-0.1439,-0.7532,-1.0298,0.3952,0.2418,-0.1650,1.0234,0.4235,0.3367,2.3290,3.2189,1.5464,0.4982
561,True,Optimization terminated successfully.,9111,12032,4713.2195,0,1,0.3216,-1.4729,-0.6162,-1.3320,-1.5086,-1.0472,1.0520,0.9241,-0.3728,1.8576,0.4893,-0.7719,0.5462,2.0264,-1.3897,0.4097
562,False,Maximum number of iterations has been exceeded.,50000,64532,704.1535,0,0,-0.0280,-0.3350,-1.4199,-0.3127,-1.1025,-0.4621,-0.0703,2.1435,0.1284,1.7561,-1.4966,1.1866,-0.4285,2.8030,0.4467,1.1409
563,True,Optimization terminated successfully.,18242,23924,603.4697,1,0,-0.0248,-0.8980,-0.6298,-0.2349,0.4235,-0.4706,0.7539,1.0705,0.1849,-1.4240,-1.4693,-0.1532,1.3394,2.7984,5.2249,1.2179
564,True,Optimization terminated successfully.,12658,16727,915.4561,0,1,0.2651,-0.4679,-0.7094,-0.8275,-1.7882,-0.9350,-0.1337,0.6159,0.7453,2.3444,0.1128,1.1568,1.8708,1.8610,-0.7716,0.6129
565,True,Optimization terminated successfully.,25736,33651,2278.6124,0,1,0.3017,-1.0872,-0.3357,-1.6125,-1.8392,-0.9591,0.6016,0.1761,1.1297,1.7394,0.2241,-0.1811,1.9316,0.2956,0.0676,0.7267
566,True,Optimization terminated successfully.,23117,30230,653.3440,0,1,-0.1113,-0.7586,-0.8949,0.0824,-1.2396,-0.3323,0.5377,1.6115,-0.0472,2.2023,-1.9202,0.1037,0.7000,3.3931,-0.1398,1.4316
567,True,Optimization terminated successfully.,9839,13007,873.8564,0,1,-0.2889,-0.5011,-1.8358,-0.2668,-0.7551,-0.0659,0.1396,3.0706,0.1907,-0.0100,-2.8458,0.8083,-1.6226,2.8160,2.1887,1.7120
568,True,Optimization terminated successfully.,30039,39133,963.0149,0,1,-0.0479,-1.1379,-1.1871,-0.8060,-1.2290,-0.4437,1.0632,1.9332,0.6708,1.7008,-1.5890,-0.7408,-0.0594,1.5443,0.6962,1.2652
569,True,Optimization terminated successfully.,13014,17077,1163.4980,0,1,-0.1290,-0.1310,-0.6476,-1.7642,-0.5356,-0.3103,-0.4614,0.2956,1.9966,-0.1701,-2.0076,1.5338,2.0952,-0.1227,2.6001,1.4214
570,True,Optimization terminated successfully.,8677,11550,4629.4136,0,1,0.0950,-0.6956,-0.6730,-1.1030,-1.8711,-0.7423,0.0949,0.3818,0.2009,0.4128,-0.5968,1.0565,0.5859,1.6395,-0.0573,0.6140
571,True,Optimization terminated successfully.,20429,26807,1019.4746,1,0,-0.1941,-1.2136,0.5820,-1.2043,0.8251,-0.2079,1.2690,-1.0688,2.1105,-2.3154,-2.3462,-1.0652,4.3927,-0.0326,6.3023,1.5302
572,True,Optimization terminated successfully.,9227,12200,6880.5046,0,1,0.3355,-0.8697,-0.9724,-0.5987,-0.6796,-1.0163,0.3377,0.0339,-0.0297,0.9243,0.4129,0.4108,0.2068,2.2921,-1.0123,0.6615
573,True,Optimization terminated successfully.,13039,17027,1275.7175,0,1,0.2016,-0.2882,-0.3579,-0.8609,-0.4020,-0.8109,-0.2138,0.5875,1.1637,1.0760,-0.2814,1.5263,1.4045,1.2225,2.0100,0.8518
574,True,Optimization terminated successfully.,19829,25851,1424.1704,0,1,0.2263,-0.9139,-0.1344,-0.6116,-2.1507,-0.8667,0.5740,-0.5985,-0.1726,2.9623,-0.1093,-0.1074,3.5736,2.8313,-1.6183,0.7121
575,True,Optimization terminated successfully.,29216,38002,549.7635,1,0,-0.0487,-0.1165,-0.4729,0.7306,-1.1400,-0.4594,-0.5481,0.9048,-1.7764,1.6746,-1.5068,1.7665,1.6608,5.8299,0.3271,1.1605
576,True,Optimization terminated successfully.,8840,11745,6221.5163,0,1,0.3672,-1.1477,-1.8240,-0.6447,-0.4730,-1.1473,0.4896,0.0340,-0.3698,0.6426,0.7681,-0.1741,0.9915,2.4742,0.0522,0.1175
577,True,Optimization terminated successfully.,18141,23671,879.0625,0,1,-0.5076,-1.5989,-2.1315,-0.7662,-0.8316,0.2828,2.0403,3.4977,1.0398,0.3177,-4.0224,-2.3697,-2.3545,1.3998,2.4770,2.1610
578,True,Optimization terminated successfully.,13501,17673,547.0035,0,1,0.0832,-0.5156,-0.1888,-0.8900,-0.6853,-0.6443,0.0584,0.0086,0.7745,0.5163,-0.8739,0.8422,2.9135,1.8325,2.1795,0.9676
579,True,Optimization terminated successfully.,20549,26980,908.4064,0,1,0.0183,-1.0014,-0.6635,-0.2387,-0.5003,-0.5454,0.8141,0.5963,-0.4657,-0.6561,-1.2175,-0.4957,1.9552,3.6352,3.4060,1.1369
580,True,Optimization terminated successfully.,14028,18476,708.3099,0,1,-0.2926,-0.6245,-0.1298,0.0690,-0.9503,-0.0512,0.3639,0.5034,-0.2362,0.5614,-2.9000,0.4411,2.0228,3.5473,1.8889,1.6815
581,True,Optimization terminated successfully.,15308,20055,4876.7420,0,1,0.0608,-1.1193,-0.6008,-1.4881,-0.8620,-0.6611,0.6066,-0.7134,1.1620,-0.6692,-0.8578,-0.1284,1.3544,0.1380,2.7078,0.8002
582,True,Optimization terminated successfully.,13478,17788,569.4899,0,1,-0.1719,-0.7379,-0.5067,-1.5883,-0.9549,-0.2324,0.5475,0.5505,2.6366,1.1245,-2.2734,0.1021,2.1865,-0.7823,1.2341,1.5252
583,True,Optimization terminated successfully.,21960,28706,475.2598,0,1,-0.3774,-0.9849,-1.2050,-1.0663,-0.4635,0.0864,1.0962,2.3017,1.9160,0.3435,-3.3415,-0.7419,-0.3960,0.3350,2.6614,1.9203
584,True,Optimization terminated successfully.,9862,13122,6025.7138,0,1,0.1794,-0.9626,-0.2801,-0.8987,-1.4556,-0.8348,0.2673,-0.4137,0.2738,0.1786,-0.2581,0.3348,2.0730,1.7675,-1.0954,0.6471
585,True,Optimization terminated successfully.,21198,27775,523.6308,0,1,-0.1973,-0.5250,-0.8737,-0.8596,-1.7988,-0.2093,0.2226,1.7158,1.2622,2.8249,-2.3536,0.6881,0.4934,1.3436,-1.1652,1.5661
