toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_A,dthe_B,dthe_C,dthe_E,dthe_D,dpe_A,dpe_B,dpe_C,dpe_E,dpe_D,dpp_A,dpp_B,dpp_C,dpp_E,dpp_D,dthp
23,True,Optimization terminated successfully.,9179,12156,6453.2504,0,1,0.2714,-0.9416,-0.8068,-0.7931,-0.9483,-1.0230,0.1024,-0.7522,-1.0123,-0.2534,0.3379,0.5680,1.6521,2.7023,0.8529,0.1938
24,True,Optimization terminated successfully.,17040,22411,1372.2534,0,1,-0.2866,-0.4299,0.7210,-0.4018,-0.1165,-0.0703,0.0961,-1.1984,1.2887,0.9584,-2.8269,0.8300,4.8361,1.4442,1.4746,1.6375
25,True,Optimization terminated successfully.,9924,13136,2107.3979,0,1,-0.2523,-0.5784,-2.2513,-1.7855,-1.3832,-0.1398,0.0807,3.0871,2.0617,1.0528,-2.6087,0.9701,-3.0072,-0.4860,0.8599,1.4910
26,True,Optimization terminated successfully.,8270,10998,5763.1678,0,1,0.3014,-0.9881,-0.5188,-1.3576,-0.9751,-1.0019,0.4436,-0.5844,0.0522,0.5410,0.3203,0.1404,0.8774,1.9317,0.7402,0.5245
27,True,Optimization terminated successfully.,14317,18835,753.8769,0,1,-0.2297,-1.0502,-0.0007,-1.3531,0.2802,-0.1448,1.0292,-0.0618,2.0576,-0.7189,-2.5462,-0.6205,2.8799,-0.1406,4.5067,1.6084
28,True,Optimization terminated successfully.,9999,13212,5048.4935,0,1,0.3858,-0.8199,-0.9355,-1.1749,-1.5593,-1.1635,-0.0422,-0.1841,-0.1689,0.3488,0.8535,0.8447,1.5558,2.1909,-0.3979,0.1944
29,True,Optimization terminated successfully.,20274,26502,773.8528,0,1,-0.3556,-0.8789,-0.8062,-2.0759,-0.1086,0.0464,0.8871,1.8492,3.4750,-0.1523,-3.2149,-0.4389,0.4032,-2.0264,3.1335,1.8552
30,True,Optimization terminated successfully.,12731,16732,697.8130,0,1,-0.0769,-0.8098,-1.3628,-0.5714,-1.2682,-0.4028,0.5777,2.1277,0.5736,1.6458,-1.7051,-0.0184,-0.4143,2.3241,0.7756,1.2835
31,True,Optimization terminated successfully.,11653,15481,4729.3392,0,1,0.2005,-0.7926,-0.6983,-1.4923,-1.3565,-0.8064,0.4513,0.8856,1.2431,0.7406,-0.2929,0.5583,0.1137,0.7156,-0.7979,0.9615
32,True,Optimization terminated successfully.,7628,10152,4635.9035,0,1,0.2566,-1.3998,-0.4870,-2.1934,-1.1215,-0.9569,0.8763,-0.4769,1.0317,0.2479,0.1507,-1.1511,2.3252,0.3267,0.9733,0.4266
33,True,Optimization terminated successfully.,23665,30855,427.1186,0,1,-0.1134,-0.5427,-0.8379,-0.2660,-0.4270,-0.3426,0.1631,1.4417,0.2503,0.0743,-1.9179,0.7031,0.7899,2.8113,2.9189,1.3158
34,True,Optimization terminated successfully.,9281,12310,5007.4011,0,1,-0.2056,-0.6842,-1.3533,-0.8314,-0.9441,-0.2075,0.3296,0.7325,0.0332,-0.4104,-2.3903,0.0354,0.6173,2.7114,0.3278,1.4195
