mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,note
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,10,1.37445,4.90874,3.53429,6,8,0.203581,0.00460592,0.000781623,0.598437,0.156698,0.153031,0.0785905,3.81905,1.9472,2.60589,7,0.37227,0.918914,2,0,3,0,1,1,1,1,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,1.76715,4.51604,2.74889,4,8,0.253722,0.00345705,0.000290773,0.341671,0.0732764,-999,-999,4.66277,-999,9.83523,6,1.6392,0.131765,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,1.76715,4.51604,2.74889,4,8,0.269897,0.00290802,0.000312851,0.343021,0.090633,-999,-999,3.78473,-999,6.37392,6,1.06232,0.382632,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,6,2.15984,4.12334,1.9635,4,8,0.271049,0.00179857,0.000352814,0.364682,0.157516,-999,-999,2.31521,-999,5.32491,4,1.33123,0.255554,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,10,1.37445,4.90874,3.53429,6,8,0.212095,0.00416453,0.000669841,0.531419,0.155315,0.1055,0.0745247,3.42155,1.41564,3.52569,7,0.503671,0.832497,2,0,3,0,1,1,1,1,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,1.76715,4.51604,2.74889,4,8,0.193895,0.00296173,0.000139313,0.225821,0.0467024,-999,-999,4.83531,-999,11.9626,6,1.99377,0.0628076,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,1.76715,4.51604,2.74889,4,8,0.206418,0.00237322,0.000131293,0.245495,0.0536729,-999,-999,4.5739,-999,5.91583,6,0.985971,0.432685,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,1.76715,4.51604,2.74889,4,8,0.25693,0.00130748,9.25425e-05,0.389795,0.059888,-999,-999,6.50874,-999,10.8905,6,1.81509,0.0918195,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,2.55254,4.12334,1.5708,3,8,0.409516,0.00422601,0.00094856,0.64691,0.104442,-999,-999,6.19398,-999,5.29607,3,1.76536,0.151358,1,0,3,0,1,1,1,0,
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,1.76715,4.51604,2.74889,4,8,0.241448,0.0029365,0.000234249,0.160073,0.0807097,-999,-999,1.98332,-999,22.6363,6,3.77271,0.000927913,1,0,3,0,1,1,1,0,
