run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
23862,signal,LD2,PI-SIDIS,41.981,0.9986,1.0,99.9783,38.0991,1.008054,-1.0,1.0,ps6,1.0
23866,dummy,Dummy,PI-SIDIS,57.43,0.9989,1.0,99.9889,37.8386,1.0,-1.0,1.0,ps6,1.0
