category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,24734,50.571,31.551,1.21261,0.0559843,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24734_-1.root",OK
signal,24736,51.647,32.154,nan,nan,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24736_-1.root",OK
signal,24737,51.705,31.997,1.2337,0.070164,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24737_-1.root",OK
signal,24738,53.277,33.277,1.18484,0.0467427,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24738_-1.root",OK
signal,24739,49.43,30.91,1.26121,0.0491874,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24739_-1.root",OK
signal,24740,52.465,32.784,1.26685,0.0496412,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24740_-1.root",OK
signal,24741,52.564,32.836,1.26633,0.0502437,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24741_-1.root",OK
signal,24742,51.191,32.03,1.26577,0.0454022,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24742_-1.root",OK
signal,24743,49.859,31.138,1.29226,0.0504096,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24743_-1.root",OK
signal,24744,51.183,31.996,1.43808,0.135215,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24744_-1.root",OK
signal,24745,48.415,30.236,1.25755,0.0604836,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24745_-1.root",OK
signal,24746,51.818,32.355,1.21916,0.0501128,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24746_-1.root",OK
signal,24747,35.865,22.664,1.21393,0.0564043,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24747_-1.root",OK
signal,24748,17.239,10.95,1.14458,0.0739864,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24748_-1.root",OK
signal,24766,49.617,30.994,1.25499,0.0512229,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24766_-1.root",OK
signal,24767,51.862,32.374,1.32168,0.0509437,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24767_-1.root",OK
signal,24768,46.046,28.781,1.19676,0.0500952,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24768_-1.root",OK
signal,24769,48.934,30.591,1.31386,0.08051,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24769_-1.root",OK
signal,24770,51.264,32.03,1.31896,0.0410207,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24770_-1.root",OK
signal,24772,55.698,34.764,1.23415,0.0486397,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24772_-1.root",OK
signal,24773,35.073,22.16,1.16983,0.0582923,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24773_-1.root",OK
signal,24774,17.944,11.409,1.21424,0.0792506,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24774_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,0.39746377444
# FIT_aerr,0.0853127251712
# FIT_b,0.616642713854
# FIT_berr,0.00178984005461
# FIT_b_over_berr,344.523921154
# FIT_chi2,0.150655264515
# FIT_ndf,20
# FIT_chi2ndf,0.00753276322573
# FIT_prob,1
