fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,W,10.468,1.002,37.972,0.893,10.810,-0.342,-0.341,-1.112,1.546,-2.138,-0.388,1.214,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Em,-8.475,0.187,7.134,0.173,-8.537,0.063,0.336,-1.112,1.546,-2.138,-0.388,1.214,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Pmz,11.293,0.560,9.323,0.663,10.738,0.556,0.993,-1.112,1.546,-2.138,-0.388,1.214,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_simplex,C,-6.720,1.000,-0.500,2.500,Pmy,12.311,0.435,11.729,0.424,12.310,0.000,0.001,-1.112,1.546,-2.138,-0.388,1.214,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,W,10.468,1.002,37.972,0.893,10.468,-0.000,-0.000,22.080,-51.659,-31.555,75.076,0.000,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Em,-8.475,0.187,7.134,0.173,-8.475,0.000,0.000,22.080,-51.659,-31.555,75.076,0.000,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Pmz,11.293,0.560,9.323,0.663,11.293,0.000,0.000,22.080,-51.659,-31.555,75.076,0.000,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
tminuit_migrad,C,-6.720,1.000,-0.500,2.500,Pmy,12.311,0.435,11.729,0.424,12.311,0.000,0.000,22.080,-51.659,-31.555,75.076,0.000,4,4,0,True,"ok",-1,-1,0.175,0.393,0.238,0.557,0,2,0.000
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,W,10.468,1.002,37.972,0.893,10.639,-0.171,-0.171,-0.862,0.987,-2.457,0.444,2.293,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Em,-8.475,0.187,7.134,0.173,-8.720,0.246,1.316,-0.862,0.987,-2.457,0.444,2.293,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Pmz,11.293,0.560,9.323,0.663,10.898,0.395,0.706,-0.862,0.987,-2.457,0.444,2.293,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,C,-6.720,1.000,-0.500,2.500,Pmy,12.311,0.435,11.729,0.424,12.391,-0.080,-0.184,-0.862,0.987,-2.457,0.444,2.293,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
tminuit_simplex,E,-6.605,3.000,1.500,4.500,W,6.230,1.096,35.317,0.958,5.709,0.520,0.475,-1.983,4.021,0.069,-2.364,1.946,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.001
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Em,-15.955,0.261,7.349,0.248,-15.798,-0.157,-0.602,-1.983,4.021,0.069,-2.364,1.946,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.001
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Pmz,16.511,0.514,9.304,0.555,17.110,-0.599,-1.166,-1.983,4.021,0.069,-2.364,1.946,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.001
tminuit_simplex,E,-6.605,3.000,1.500,4.500,Pmy,9.260,0.547,13.274,0.535,9.263,-0.003,-0.006,-1.983,4.021,0.069,-2.364,1.946,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.001
tminuit_migrad,E,-6.605,3.000,1.500,4.500,W,6.230,1.096,35.317,0.958,6.230,-0.000,-0.000,-31.057,70.710,36.939,-96.936,0.000,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Em,-15.955,0.261,7.349,0.248,-15.955,0.000,0.000,-31.057,70.710,36.939,-96.936,0.000,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Pmz,16.511,0.514,9.304,0.555,16.511,0.000,0.000,-31.057,70.710,36.939,-96.936,0.000,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.000
tminuit_migrad,E,-6.605,3.000,1.500,4.500,Pmy,9.260,0.547,13.274,0.535,9.260,-0.000,-0.000,-31.057,70.710,36.939,-96.936,0.000,4,4,0,True,"ok",-1,-1,0.229,0.517,0.311,0.734,0,2,0.000
julio_reported_reference,E,-6.605,3.000,1.500,4.500,W,6.230,1.096,35.317,0.958,5.157,1.073,0.979,-0.647,1.005,-1.590,1.941,2.640,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Em,-15.955,0.261,7.349,0.248,-15.925,-0.030,-0.116,-0.647,1.005,-1.590,1.941,2.640,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Pmz,16.511,0.514,9.304,0.555,17.171,-0.661,-1.286,-0.647,1.005,-1.590,1.941,2.640,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
