fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Pmy,8.984,0.315,9.955,0.267,9.328,-0.344,-1.091,-0.647,1.005,-1.590,1.941,49.604,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
tminuit_simplex,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.580,0.325,0.298,-2.210,3.994,-0.045,-2.719,0.666,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Em,-14.151,0.387,8.456,0.400,-13.934,-0.217,-0.561,-2.210,3.994,-0.045,-2.719,0.666,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Pmz,16.158,0.359,8.317,0.272,16.342,-0.184,-0.513,-2.210,3.994,-0.045,-2.719,0.666,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Pmy,8.608,0.326,9.555,0.263,8.609,-0.001,-0.002,-2.210,3.994,-0.045,-2.719,0.666,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.905,-0.000,-0.000,-18.029,40.274,20.011,-54.141,0.000,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Em,-14.151,0.387,8.456,0.400,-14.151,0.000,0.000,-18.029,40.274,20.011,-54.141,0.000,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Pmz,16.158,0.359,8.317,0.272,16.158,0.000,0.000,-18.029,40.274,20.011,-54.141,0.000,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Pmy,8.608,0.326,9.555,0.263,8.608,-0.000,-0.000,-18.029,40.274,20.011,-54.141,0.000,4,4,0,True,"ok",-1,-1,0.240,0.545,0.312,0.773,0,2,0.000
julio_reported_reference,D,-6.384,6.000,4.500,7.500,W,11.905,1.091,27.761,1.127,11.845,0.060,0.055,-1.118,1.462,-1.368,0.974,6.599,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Em,-14.151,0.387,8.456,0.400,-14.417,0.266,0.688,-1.118,1.462,-1.368,0.974,6.599,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Pmz,16.158,0.359,8.317,0.272,16.917,-0.759,-2.111,-1.118,1.462,-1.368,0.974,6.599,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Pmy,8.608,0.326,9.555,0.263,8.187,0.421,1.291,-1.118,1.462,-1.368,0.974,6.599,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
