run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,h_EL_CLEAN,p_EL_CLEAN
27106,6.449,LH2,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,38.488,18.024,38.361,17.965,33.843,15.849,217.02,101.63,52.719,24.689,0.0,0.9997,0.9985,0.7674,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,20.14
27107,6.449,DUMMY,1.67,47.91,-5.52,13.01,HEEP,-999,-999,-999,-999,66.466,36.708,66.147,36.532,58.403,32.255,258.74,142.9,90.913,50.21,0.9999,0.9996,0.9971,0.7405,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,14.589
27108,6.449,DUMMY,1.67,47.91,-5.52,13.01,SHMSHEE,-999,-999,-999,-999,21161.96,40.471,21064.59,40.285,18537.92,35.453,78003.43,149.17,28866.29,55.205,-999,-999,0.9956,0.6637,-999,-999,-999,-999,-999,-999,-999,99.8722,-999,-999,-999,-999,-999,-999,-999,1.0,-999,16.077
27109,6.449,LH2,1.67,47.91,-5.52,13.01,SHMSHEE,-999,-999,-999,-999,28033.97,40.145,27914.2,39.973,24514.6,35.105,103357.0,148.0,38185.14,54.681,-999,-999,0.9949,0.658,-999,-999,-999,-999,-999,-999,-999,99.646,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27113,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,15609.013,28.018,15531.802,27.88,13667.126,24.53,84868.901,152.3,21270.025,38.18,0.9997,0.9984,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,1.0,95.6595,-999,-999,-999,-999,-999,-999,-999,1.0,0.798,276.706
27114,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,15086.682,27.763,15016.165,27.634,13176.959,24.24,81873.714,150.6,20509.636,37.74,0.9667,0.9664,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,95.6443,-999,-999,-999,-999,-999,-999,-999,1.0,0.791,273.991
27115,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,15080.453,27.419,15013.289,27.297,13205.295,24.01,81877.975,148.8,20573.95,37.4,0.9998,0.9985,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99731,95.6478,-999,-999,-999,-999,-999,-999,-999,1.0,0.782,271.037
27116,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27118,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,17841.264,27.176,17783.493,27.088,15750.148,23.99,96686.111,147.2,24547.323,37.39,0.9996,0.9988,-999,-999,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,1.0,95.6515,-999,-999,-999,-999,-999,-999,-999,1.0,0.78,270.27
27119,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,17131.353,27.698,17066.098,27.593,15126.993,24.45,93242.892,150.7,23581.328,38.12,0.9998,0.9988,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99895,95.6559,-999,-999,-999,-999,-999,-999,-999,1.0,0.793,275.485
27120,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27121,6.449,LH2,-1.165,31.278,-2.766,8.275,SHMSDIS,0.22,2.2,0.5,2.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999
27122,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.571,27.79,51.346,27.668,45.284,24.402,279.75,150.75,70.482,37.98,0.998,0.997,0.9844,0.9767,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1292.0,445.0,847.0,16.9874,0.730385,51.4063,0.432662,1.0,-999,276.1
27123,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,47.752,27.387,47.57,27.283,41.859,24.007,259.82,149.01,65.202,37.395,0.9978,0.9967,0.9849,0.9763,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1128.0,408.154,719.846,15.5931,0.737578,51.3993,0.43904,1.0,-999,272.5
27124,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.489,27.381,51.317,27.29,45.32,24.101,280.03,148.92,70.655,37.574,0.9979,0.9972,0.9841,0.9767,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1268.0,437.538,830.462,16.6669,0.724076,51.3947,0.443134,1.0,-999,272.8
27125,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,43.855,27.663,43.66,27.54,38.67,24.393,238.03,150.14,60.299,38.036,0.9983,0.9971,0.9853,0.9759,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1107.0,386.692,720.308,16.9986,0.795658,51.4037,0.443728,1.0,-999,275.4
27126,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,20.469,27.956,20.369,27.82,18.068,24.678,110.8,151.34,28.168,38.471,0.9983,0.9966,0.9831,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,506.0,176.462,329.538,16.6983,1.15502,51.3687,0.416803,1.0,0.803,278.2
27127,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,73.935,27.717,73.613,27.596,65.085,24.399,401.93,150.67,101.33,37.987,0.998,0.9968,0.9834,0.9751,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1955.0,645.308,1309.69,18.3519,0.627378,51.3904,0.431992,1.0,-999,275.9
27128,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,16.624,27.519,16.56,27.414,14.533,24.058,90.398,149.64,22.607,37.424,0.9982,0.9976,0.9838,0.9745,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,435.0,145.154,289.846,18.062,1.31628,51.4217,0.481992,1.0,0.79,274.1
27129,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,84.539,27.891,84.236,27.791,74.217,24.486,459.46,151.58,115.73,38.183,0.9978,0.9973,0.9834,0.9746,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,2169.0,739.846,1429.15,17.5129,0.57814,51.4038,0.431815,1.0,-999,278.1
27130,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,50.39,27.904,50.154,27.773,44.412,24.593,273.34,151.36,69.264,38.355,0.9979,0.9967,0.9838,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1261.0,433.462,827.538,17.0367,0.740665,51.2717,0.412867,1.0,-999,278.0
27131,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,52.776,28.031,52.533,27.902,46.516,24.706,286.11,151.96,72.497,38.506,0.998,0.9974,0.9823,0.9744,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1289.0,459.692,829.308,16.2355,0.71245,51.2678,0.425328,1.0,-999,279.3
27132,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,7.83,28.075,7.795,27.952,6.87,24.635,42.485,152.34,10.694,38.346,0.9976,0.9973,0.9719,0.9614,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,174.0,69.9231,104.077,13.9865,1.79986,51.2461,0.359734,1.0,0.805,279.75
27133,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,15.674,27.649,15.607,27.53,13.729,24.218,84.909,149.77,21.368,37.693,0.9998,0.9991,0.9702,0.9618,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-999,400.0,139.692,260.308,18.4571,1.43702,51.3023,0.380472,1.0,0.796,275.5
27134,6.449,LH2,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,16878.711,27.413,16815.155,27.31,14799.398,24.03,91734.49,148.9,23059.794,37.45,0.9998,0.9989,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.9989,95.6235,467.0,148.538,318.462,21.3934,1.46937,51.2661,0.413382,1.0,0.79,273.6
27135,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,81.438,41.304,81.167,41.166,71.899,36.466,298.95,151.62,112.16,56.886,0.999,0.9979,0.9859,0.9773,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,613.0,145.769,467.231,5.9109,0.316074,51.2692,0.408001,1.0,0.418,166.8
27136,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,80.818,41.327,80.462,41.145,71.247,36.432,296.33,151.53,110.97,56.75,0.9988,0.9981,0.9863,0.9765,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,585.0,147.154,437.846,5.59338,0.311955,51.2703,0.449082,1.0,0.418,166.6
27137,6.449,DUMMY,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,79.215,41.355,78.858,41.169,69.384,36.223,290.33,151.57,107.98,56.374,0.9985,0.998,0.986,0.977,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,613.0,143.154,469.846,6.12304,0.325543,51.3404,0.371945,1.0,0.419,166.6
27138,6.449,DUMMY,-1.165,31.278,-2.766,8.275,HMSDIS,0.22,2.2,0.5,2.0,37057.18,40.718,36897.56,40.542,32450.888,35.65,136568.57,150.0,50556.741,55.55,0.9998,0.9989,-999,-999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.99983,97.4543,264.0,67.2308,196.769,1.61792,0.134901,51.3711,0.451769,1.0,0.412,164.15
27139,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,46.425,27.471,46.243,27.363,40.879,24.189,251.75,148.97,63.754,37.725,0.9982,0.997,0.9826,0.9747,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-999,1096.0,395.846,700.154,15.6216,0.748837,51.2507,0.422838,1.0,-999,274.4
