Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:02:014:VMon,1445,1445.5,-0.5,MATCH
hchv13:02:015:IMon,486,486,0,MATCH
hchv13:02:015:V0Set,1345,1345,0,MATCH
hchv13:02:015:VMon,1345,1345,0,MATCH
hchv13:02:016:IMon,523,523,0,MATCH
hchv13:02:016:V0Set,1445,1445,0,MATCH
hchv13:02:016:VMon,1445.5,1445,0.5,MATCH
hchv13:02:017:IMon,493.5,493.5,0.0,MATCH
hchv13:02:017:V0Set,1400,1400,0,MATCH
hchv13:02:017:VMon,1400.5,1400.5,0.0,MATCH
hchv13:02:018:IMon,431,431,0,MATCH
hchv13:02:018:V0Set,1200,1200,0,MATCH
hchv13:02:018:VMon,1200,1200,0,MATCH
hchv13:02:019:IMon,521,521,0,MATCH
hchv13:02:019:V0Set,1445,1445,0,MATCH
hchv13:02:019:VMon,1445.5,1445.5,0.0,MATCH
hchv13:02:020:IMon,519,519,0,MATCH
hchv13:02:020:V0Set,1440,1440,0,MATCH
hchv13:02:020:VMon,1440,1440,0,MATCH
hchv13:02:021:IMon,584.5,584.5,0.0,MATCH
hchv13:02:021:V0Set,1620,1620,0,MATCH
hchv13:02:021:VMon,1620.5,1620.5,0.0,MATCH
hchv13:02:022:IMon,533,533,0,MATCH
hchv13:02:022:V0Set,1480,1480,0,MATCH
hchv13:02:022:VMon,1480.5,1480.5,0.0,MATCH
hchv13:02:023:IMon,531.5,531.5,0.0,MATCH
hchv13:02:023:V0Set,1470,1470,0,MATCH
hchv13:02:023:VMon,1471,1471,0,MATCH
hchv13:04:000:IMon,552,552,0,MATCH
hchv13:04:000:V0Set,1530,1530,0,MATCH
hchv13:04:000:VMon,1531,1531,0,MATCH
hchv13:04:001:IMon,454,453.5,0.5,MATCH
hchv13:04:001:V0Set,1260,1260,0,MATCH
hchv13:04:001:VMon,1261,1260.5,0.5,MATCH
hchv13:04:002:IMon,482,482.5,-0.5,MATCH
hchv13:04:002:V0Set,1335,1335,0,MATCH
hchv13:04:002:VMon,1335.5,1336,-0.5,MATCH
hchv13:04:003:IMon,537.5,537.5,0.0,MATCH
hchv13:04:003:V0Set,1485,1485,0,MATCH
hchv13:04:003:VMon,1485.5,1486,-0.5,MATCH
hchv13:04:004:IMon,469.5,469.5,0.0,MATCH
hchv13:04:004:V0Set,1310,1310,0,MATCH
hchv13:04:004:VMon,1311.5,1311,0.5,MATCH
hchv13:04:005:IMon,464.5,464.5,0.0,MATCH
hchv13:04:005:V0Set,1290,1290,0,MATCH
hchv13:04:005:VMon,1290.5,1291,-0.5,MATCH
hchv13:04:006:IMon,486.5,487,-0.5,MATCH
hchv13:04:006:V0Set,1350,1350,0,MATCH
hchv13:04:006:VMon,1350,1350.5,-0.5,MATCH
hchv13:04:007:IMon,502.5,502.5,0.0,MATCH
hchv13:04:007:V0Set,1400,1400,0,MATCH
hchv13:04:007:VMon,1401,1401,0,MATCH
hchv13:04:008:IMon,478,478,0,MATCH
hchv13:04:008:V0Set,1325,1325,0,MATCH
hchv13:04:008:VMon,1326,1326,0,MATCH
hchv13:04:009:IMon,508,508,0,MATCH
hchv13:04:009:V0Set,1410,1410,0,MATCH
hchv13:04:009:VMon,1410,1410,0,MATCH
hchv13:04:010:IMon,556.5,556,0.5,MATCH
hchv13:04:010:V0Set,1550,1550,0,MATCH
hchv13:04:010:VMon,1550.5,1550.5,0.0,MATCH
hchv13:04:011:IMon,494.5,494,0.5,MATCH
hchv13:04:011:V0Set,1375,1375,0,MATCH
hchv13:04:011:VMon,1376,1376,0,MATCH
hchv13:04:012:IMon,553,552.5,0.5,MATCH
hchv13:04:012:V0Set,1530,1530,0,MATCH
hchv13:04:012:VMon,1530.5,1531,-0.5,MATCH
hchv13:04:013:IMon,521,521,0,MATCH
hchv13:04:013:V0Set,1455,1455,0,MATCH
hchv13:04:013:VMon,1455.5,1455.5,0.0,MATCH
hchv13:04:014:IMon,527.5,527.5,0.0,MATCH
hchv13:04:014:V0Set,1465,1465,0,MATCH
hchv13:04:014:VMon,1465.5,1465.5,0.0,MATCH
hchv13:04:015:IMon,430,430,0,MATCH
hchv13:04:015:V0Set,1190,1190,0,MATCH
hchv13:04:015:VMon,1190.5,1191,-0.5,MATCH
hchv13:04:016:IMon,531,531,0,MATCH
hchv13:04:016:V0Set,1475,1475,0,MATCH
hchv13:04:016:VMon,1475.5,1475.5,0.0,MATCH
hchv13:04:017:IMon,562.5,562,0.5,MATCH
hchv13:04:017:V0Set,1555,1555,0,MATCH
hchv13:04:017:VMon,1555.5,1555.5,0.0,MATCH
hchv13:04:018:IMon,531,531,0,MATCH
hchv13:04:018:V0Set,1475,1475,0,MATCH
hchv13:04:018:VMon,1475,1475.5,-0.5,MATCH
hchv13:04:019:IMon,515.5,515.5,0.0,MATCH
hchv13:04:019:V0Set,1440,1440,0,MATCH
hchv13:04:019:VMon,1439,1439.5,-0.5,MATCH
hchv13:04:020:IMon,540,539.5,0.5,MATCH
hchv13:04:020:V0Set,1500,1500,0,MATCH
hchv13:04:020:VMon,1500,1500.5,-0.5,MATCH
hchv13:04:021:IMon,505,504.5,0.5,MATCH
hchv13:04:021:V0Set,1400,1400,0,MATCH
hchv13:04:021:VMon,1400,1400.5,-0.5,MATCH
hchv13:04:022:IMon,469,469.5,-0.5,MATCH
hchv13:04:022:V0Set,1310,1310,0,MATCH
hchv13:04:022:VMon,1310,1310,0,MATCH
hchv13:04:023:IMon,526.5,526,0.5,MATCH
hchv13:04:023:V0Set,1460,1460,0,MATCH
hchv13:04:023:VMon,1460.5,1460.5,0.0,MATCH
hchv13:06:000:IMon,555,554.5,0.5,MATCH
hchv13:06:000:V0Set,1535,1535,0,MATCH
hchv13:06:000:VMon,1534.5,1535.5,-1.0,MATCH
hchv13:06:001:IMon,520,520.5,-0.5,MATCH
hchv13:06:001:V0Set,1440,1440,0,MATCH
hchv13:06:001:VMon,1439,1439.5,-0.5,MATCH
hchv13:06:002:IMon,566.5,566,0.5,MATCH
hchv13:06:002:V0Set,1565,1565,0,MATCH
hchv13:06:002:VMon,1565,1564.5,0.5,MATCH
hchv13:06:003:IMon,459.5,459.5,0.0,MATCH
hchv13:06:003:V0Set,1270,1270,0,MATCH
hchv13:06:003:VMon,1270.5,1270.5,0.0,MATCH
hchv13:06:004:IMon,482.5,483,-0.5,MATCH
hchv13:06:004:V0Set,1340,1340,0,MATCH
hchv13:06:004:VMon,1339.5,1340,-0.5,MATCH
hchv13:06:005:IMon,454.5,454,0.5,MATCH
hchv13:06:005:V0Set,1260,1260,0,MATCH
hchv13:06:005:VMon,1259.5,1260,-0.5,MATCH
hchv13:06:006:IMon,545.5,545.5,0.0,MATCH
hchv13:06:006:V0Set,1515,1515,0,MATCH
hchv13:06:006:VMon,1514.5,1515.5,-1.0,MATCH
hchv13:06:007:IMon,485,485,0,MATCH
hchv13:06:007:V0Set,1350,1350,0,MATCH
hchv13:06:007:VMon,1350,1350,0,MATCH
hchv13:06:008:IMon,511.5,511,0.5,MATCH
hchv13:06:008:V0Set,1420,1420,0,MATCH
hchv13:06:008:VMon,1420,1420,0,MATCH
hchv13:06:009:IMon,522.5,523,-0.5,MATCH
hchv13:06:009:V0Set,1450,1450,0,MATCH
hchv13:06:009:VMon,1450.5,1450.5,0.0,MATCH
hchv13:06:010:IMon,565.5,565.5,0.0,MATCH
hchv13:06:010:V0Set,1570,1570,0,MATCH
hchv13:06:010:VMon,1569.5,1570.5,-1.0,MATCH
hchv13:06:011:IMon,504.5,504,0.5,MATCH
hchv13:06:011:V0Set,1400,1400,0,MATCH
hchv13:06:011:VMon,1400,1400,0,MATCH
hchv13:06:012:IMon,473.5,473.5,0.0,MATCH
hchv13:06:012:V0Set,1315,1315,0,MATCH
hchv13:06:012:VMon,1315,1315,0,MATCH
hchv13:06:013:IMon,523,523,0,MATCH
hchv13:06:013:V0Set,1455,1455,0,MATCH
hchv13:06:013:VMon,1454.5,1455,-0.5,MATCH
hchv13:06:014:IMon,503,502.5,0.5,MATCH
hchv13:06:014:V0Set,1395,1395,0,MATCH
hchv13:06:014:VMon,1394.5,1394.5,0.0,MATCH
hchv13:06:015:IMon,532,532,0,MATCH
hchv13:06:015:V0Set,1475,1475,0,MATCH
hchv13:06:015:VMon,1475,1475,0,MATCH
hchv13:06:016:IMon,492.5,492.5,0.0,MATCH
hchv13:06:016:V0Set,1360,1360,0,MATCH
hchv13:06:016:VMon,1359.5,1360,-0.5,MATCH
hchv13:06:017:IMon,565.5,565.5,0.0,MATCH
hchv13:06:017:V0Set,1595,1595,0,MATCH
hchv13:06:017:VMon,1594.5,1594,0.5,MATCH
hchv13:06:018:IMon,533,532.5,0.5,MATCH
hchv13:06:018:V0Set,1480,1480,0,MATCH
hchv13:06:018:VMon,1479.5,1480,-0.5,MATCH
hchv13:06:019:IMon,435,435.5,-0.5,MATCH
hchv13:06:019:V0Set,1210,1210,0,MATCH
hchv13:06:019:VMon,1209.5,1210,-0.5,MATCH
hchv13:06:020:IMon,507,507.5,-0.5,MATCH
hchv13:06:020:V0Set,1405,1405,0,MATCH
hchv13:06:020:VMon,1404.5,1404.5,0.0,MATCH
hchv13:06:021:IMon,530,530,0,MATCH
hchv13:06:021:V0Set,1470,1470,0,MATCH
hchv13:06:021:VMon,1469.5,1470,-0.5,MATCH
hchv13:06:022:IMon,530.5,530.5,0.0,MATCH
hchv13:06:022:V0Set,1475,1475,0,MATCH
hchv13:06:022:VMon,1474.5,1475.5,-1.0,MATCH
hchv13:06:023:IMon,509.5,509.5,0.0,MATCH
hchv13:06:023:V0Set,1415,1415,0,MATCH
hchv13:06:023:VMon,1414,1414.5,-0.5,MATCH
hchv13:08:000:IMon,555,554,1,MATCH
hchv13:08:000:V0Set,1540,1540,0,MATCH
hchv13:08:000:VMon,1540,1541,-1,MATCH
hchv13:08:001:IMon,435,434.5,0.5,MATCH
hchv13:08:001:V0Set,1205,1205,0,MATCH
hchv13:08:001:VMon,1205.5,1206,-0.5,MATCH
hchv13:08:002:IMon,506,507,-1,MATCH
hchv13:08:002:V0Set,1400,1400,0,MATCH
hchv13:08:002:VMon,1400.5,1401,-0.5,MATCH
hchv13:08:003:IMon,552.5,552,0.5,MATCH
hchv13:08:003:V0Set,1525,1525,0,MATCH
hchv13:08:003:VMon,1526,1526,0,MATCH
hchv13:08:004:IMon,513,512.5,0.5,MATCH
hchv13:08:004:V0Set,1420,1420,0,MATCH
hchv13:08:004:VMon,1420.5,1421,-0.5,MATCH
hchv13:08:005:IMon,508,508.5,-0.5,MATCH
hchv13:08:005:V0Set,1410,1410,0,MATCH
hchv13:08:005:VMon,1410,1411,-1,MATCH
hchv13:08:006:IMon,493.5,493,0.5,MATCH
hchv13:08:006:V0Set,1370,1370,0,MATCH
hchv13:08:006:VMon,1372,1371.5,0.5,MATCH
hchv13:08:007:IMon,497.5,497,0.5,MATCH
hchv13:08:007:V0Set,1380,1380,0,MATCH
hchv13:08:007:VMon,1381,1380.5,0.5,MATCH
hchv13:08:008:IMon,547,547.5,-0.5,MATCH
hchv13:08:008:V0Set,1520,1520,0,MATCH
hchv13:08:008:VMon,1520,1521,-1,MATCH
hchv13:08:009:IMon,446.5,446,0.5,MATCH
hchv13:08:009:V0Set,1240,1240,0,MATCH
hchv13:08:009:VMon,1241,1241,0,MATCH
hchv13:08:010:IMon,503.5,503,0.5,MATCH
hchv13:08:010:V0Set,1400,1400,0,MATCH
hchv13:08:010:VMon,1401.5,1400.5,1.0,MATCH
hchv13:08:011:IMon,466,466,0,MATCH
hchv13:08:011:V0Set,1300,1300,0,MATCH
hchv13:08:011:VMon,1300,1300.5,-0.5,MATCH
hchv13:08:012:IMon,577,576.5,0.5,MATCH
hchv13:08:012:V0Set,1605,1605,0,MATCH
hchv13:08:012:VMon,1606,1606,0,MATCH
hchv13:08:013:IMon,514.5,514.5,0.0,MATCH
hchv13:08:013:V0Set,1430,1430,0,MATCH
