category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25506,29.553,143.246,23.3016,0.34465,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25506_-1.root",OK
signal,25507,30.177,147.117,23.4074,0.323441,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25507_-1.root",OK
signal,25508,30.165,147.451,22.7458,0.342114,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25508_-1.root",OK
signal,25509,30.168,146.917,22.5802,0.343713,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25509_-1.root",OK
signal,25510,28.821,140.25,23.5483,0.582065,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25510_-1.root",OK
signal,25511,30.036,146.222,22.9018,0.431319,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25511_-1.root",OK
signal,25512,14.977,67.945,24.6319,0.442437,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25512_-1.root",OK
signal,25513,15.139,68.684,24.8703,0.44618,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25513_-1.root",OK
signal,25532,29.829,132.398,23.2246,0.349084,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25532_-1.root",OK
signal,25533,29.887,143.736,23.5316,0.458783,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25533_-1.root",OK
signal,25534,29.281,141.096,23.1233,0.397303,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25534_-1.root",OK
signal,25536,28.169,135.668,23.59,0.690548,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25536_-1.root",OK
signal,25538,27.912,123.537,23.2287,0.356592,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25538_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-8.5449970956
# FIT_aerr,6.84229576254
# FIT_b,5.06998300616
# FIT_berr,0.246661428142
# FIT_b_over_berr,20.5544216797
# FIT_chi2,239.211844111
# FIT_ndf,11
# FIT_chi2ndf,21.7465312828
# FIT_prob,5.05066408999e-45
