schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.31969,4.71239,4.51604,1363,0,322,0,1363,7401,10.198,0,3.19404,0,9.36182,0.431906,8.88136,0.136651,1e-06,0.0163053,0.25,3.3,0.36,0.0171874,0.000835874,0.0461349,0.0153863,0.048633,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.71239,5.10509,4.90874,634,0,161,0,634,3466,4.60111,0,1.55296,0,4.19457,0.295559,3.84453,0.0843805,1e-06,0.0163053,0.25,3.3,0.36,0.0177899,0.00131292,0.0704623,0.0219482,0.0738015,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.10509,5.49779,5.30144,249,0,64,0,249,1523,1.69731,0,0.576406,0,1.54642,0.186104,1.59382,0.0517988,1e-06,0.0163053,0.25,3.3,0.36,0.0158204,0.00197211,0.120345,0.0324999,0.124656,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.49779,5.89049,5.69414,118,0,28,0,118,924,0.812587,0,0.253322,0,0.746273,0.127875,1.00122,0.0399894,1e-06,0.0163053,0.25,3.3,0.36,0.0121534,0.00213832,0.171352,0.0399406,0.175945,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,15,0,0.1,0.05,0,1,0.5,5.89049,6.28319,6.08684,102,0,15,0,102,760,0.837569,0,0.0954584,0,0.81258,0.116711,0.814471,0.0360368,1e-06,0.0163053,0.25,3.3,0.36,0.0162674,0.00244484,0.14363,0.0442457,0.15029,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,0,0.1,0.2,0.15,0,1,0.5,0,0.392699,0.19635,13,0,2,0,13,259,0.133124,0,0.025703,0,0.126396,0.0407575,0.255147,0.0181782,1e-06,0.0163053,0.25,3.3,0.36,0.00807739,0.00266745,0.32246,0.071246,0.330237,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,1,0.1,0.2,0.15,0,1,0.5,0.392699,0.785398,0.589049,13,0,6,0,13,373,0.0832025,0,0.0734249,0,0.0639813,0.0431444,0.356591,0.0212108,1e-06,0.0163053,0.25,3.3,0.36,0.00292557,0.00198046,0.674329,0.0594822,0.676948,256,0,XSEC_BAD_RELERR
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,2,0.1,0.2,0.15,0,1,0.5,0.785398,1.1781,0.981748,83,0,23,0,83,609,0.690571,0,0.268008,0,0.620412,0.105879,0.581885,0.0278246,1e-06,0.0163053,0.25,3.3,0.36,0.0173849,0.00308116,0.170659,0.0478182,0.177232,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,3,0.1,0.2,0.15,0,1,0.5,1.1781,1.5708,1.37445,601,0,128,0,601,3041,4.69817,0,1.25194,0,4.37044,0.285439,3.23263,0.0753292,1e-06,0.0163053,0.25,3.3,0.36,0.0220444,0.00152864,0.0653112,0.0233027,0.0693438,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,4,0.1,0.2,0.15,0,1,0.5,1.5708,1.9635,1.76715,2182,0,529,0,2182,13205,16.047,0,5.00411,0,14.7371,0.547431,16.0539,0.184846,1e-06,0.0163053,0.25,3.3,0.36,0.0149678,0.0005821,0.0371466,0.0115141,0.0388901,0,1,
