setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo,norm_win_hi,fitD_lo,fitD_hi,fitS_lo,fitS_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,-1.500000,W,0.899557,1.003428,0.899557,1.003428,0.907907,0.996478,169738.000000,310.087311,547.387765,242192.000000,179802.000000,948.022611,0.061751,22.032416,0.063290,0,6878.445634,12,946.810249,0.047144,15.666994,0.042069,0,7256.204030,10,1.212362,0.903796,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,-1.500000,Em,-0.000571,0.026465,-0.000571,0.026465,-0.003102,0.017891,123183.000000,262.352328,469.532712,242192.000000,179802.000000,11.865916,0.017564,5.296364,0.016701,0,4369.843585,10,6.081459,0.011091,3.366591,0.008759,0,5735.223968,8,5.784457,0.255530,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,-1.500000,Pmz,-0.057324,0.019203,-0.057324,0.019203,-0.044724,0.019720,161658.000000,323.627779,499.518306,242192.000000,179802.000000,-12.682230,0.033200,9.616018,0.032808,0,26970.840449,10,-5.991220,0.021031,6.735719,0.016346,0,15163.289222,7,-6.691010,0.483051,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-2.000000,-1.000000,-1.500000,Pmy,-0.024268,0.032230,-0.024268,0.032230,-0.024186,0.023814,203191.000000,389.133043,522.163315,242192.000000,179802.000000,3.915848,0.019760,8.667394,0.018223,0,3283.267864,6,-0.182658,0.014859,6.103960,0.010890,0,99.666043,5,4.098506,0.289047,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,-0.500000,W,0.901764,1.000893,0.901764,1.000893,0.910257,0.990176,304718.000000,520.091951,585.892551,374854.000000,219204.000000,948.457644,0.042206,20.756211,0.040042,0,5806.359423,11,945.771068,0.035329,13.854064,0.029037,0,6687.691347,9,2.686577,0.767743,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,-0.500000,Em,-0.000658,0.026158,-0.000658,0.026158,-0.003143,0.017222,256217.000000,454.379284,563.883542,374854.000000,219204.000000,11.753853,0.012889,5.535570,0.012382,0,9132.114118,10,5.758031,0.008837,3.233229,0.007451,0,8571.657510,8,5.995822,0.233068,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,-0.500000,Pmz,-0.050673,0.018157,-0.050673,0.018157,-0.038453,0.017708,309138.000000,528.673507,584.742749,374854.000000,219204.000000,-11.586563,0.020442,9.194574,0.019753,0,27998.527452,8,-5.378583,0.015809,5.895003,0.010833,0,16201.327104,6,-6.207980,0.370870,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,2,b2,-1.000000,0.000000,-0.500000,Pmy,-0.019427,0.030106,-0.019427,0.030106,-0.024577,0.023423,336647.000000,577.374869,583.064865,374854.000000,219204.000000,5.432859,0.015144,8.512218,0.013152,0,2003.090755,5,-0.575335,0.013249,6.098147,0.009778,0,87.434134,5,6.008194,0.275931,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,3,b3,0.000000,1.000000,0.500000,W,0.908281,1.003073,0.908281,1.003073,0.913008,0.983815,355897.000000,557.315271,638.591868,409800.000000,175095.000000,953.718724,0.035943,19.946846,0.034656,0,5820.126790,11,945.018908,0.034195,12.787223,0.031757,0,3538.708618,7,8.699816,0.682925,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,3,b3,0.000000,1.000000,0.500000,Em,0.000511,0.028363,0.000511,0.028363,-0.003541,0.016962,314104.000000,491.287532,639.348609,409800.000000,175095.000000,13.845953,0.013843,6.343910,0.012558,0,9730.299666,11,5.496968,0.009850,3.337621,0.008088,0,4182.005515,7,8.348986,0.261048,1
