run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23898,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,261130,10998,51.3923,0.34152,10998,1,0,1,3,3.16296,3,1.05432,1.66127e-08,51.3923,0.34152,,OK
23899,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,249884,10375,51.3879,0.298234,10375,1,0,1,3,5.67182,3,1.89061,2.78414e-06,51.3879,0.298234,,OK
23900,coin,PI-SIDIS,LD2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,313228,13266,51.3642,0.317432,13266,1,0,1,3,4.91436,3,1.63812,2.80731e-06,51.3642,0.317432,,OK
23901,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,21652,1351,51.3877,0.280552,1351,1,0,1,3,11.8187,3,3.93958,1.19582e-05,51.3877,0.280552,,OK
23902,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,139591,7033,51.3854,0.306225,7033,1,0,1,3,7.98046,3,2.66015,6.96579e-08,51.3854,0.306225,,OK
23903,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,18641,969,51.4684,0.234272,969,1,0,1,3,3.7671,3,1.2557,3.8557e-06,51.4684,0.234272,,OK
23904,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,164471,10479,51.3944,0.292992,10479,1,0,1,3,4.20225,3,1.40075,2.94258e-06,51.3944,0.292992,,OK
23905,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,159016,10096,51.4024,0.307149,10096,1,0,1,3,9.12088,3,3.04029,3.3204e-06,51.4024,0.307149,,OK
23906,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,159122,9913,51.3757,0.296435,9913,1,0,1,3,14.1509,3,4.71698,1.03408e-06,51.3757,0.296435,,OK
23907,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,170681,10867,51.3915,0.305695,10867,1,0,1,3,12.4861,3,4.16202,2.39292e-08,51.3915,0.305695,,OK
23908,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,49291,3303,51.4165,0.292201,3303,1,0,1,3,4.84635,3,1.61545,1.22886e-06,51.4165,0.292201,,OK
23942,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,42321,2851,51.3853,0.296349,2851,1,0,1,3,10.5468,3,3.5156,9.04976e-07,51.3853,0.296349,,OK
23943,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,12782,863,51.4121,0.245092,863,1,0,1,3,0.751323,3,0.250441,3.51444e-08,51.4121,0.245092,,OK
23944,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,165297,10341,51.3367,0.287223,10341,1,0,1,3,5.05765,3,1.68588,6.6524e-06,51.3367,0.287223,,OK
23945,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,103995,6612,51.398,0.269667,6612,1,0,1,3,1.54194,3,0.513978,5.43503e-06,51.398,0.269667,,OK
23946,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,171844,10755,51.4031,0.299921,10755,1,0,1,3,28.6909,3,9.56364,9.80366e-07,51.4031,0.299921,,OK
23947,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,169294,10615,51.3789,0.295481,10615,1,0,1,3,6.66387,3,2.22129,2.32221e-06,51.3789,0.295481,,OK
23948,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,179006,9582,51.3457,0.285633,9582,1,0,1,3,11.5688,3,3.85627,9.65318e-07,51.3457,0.285633,,OK
23949,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,16427,952,51.3258,0.28908,952,1,0,1,3,0.602714,3,0.200905,2.0172e-06,51.3258,0.28908,,OK
23950,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,197254,12178,51.3615,0.312739,12178,1,0,1,3,10.6533,3,3.55109,5.50394e-08,51.3615,0.312739,,OK
23951,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,212616,13129,51.3622,0.278022,13129,1,0,1,3,8.83891,3,2.9463,1.8173e-06,51.3622,0.278022,,OK
23952,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,171038,10635,51.3857,0.283547,10635,1,0,1,3,11.2154,3,3.73848,4.50745e-09,51.3857,0.283547,,OK
23953,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,168930,10579,51.3624,0.28275,10579,1,0,1,3,11.3663,3,3.78876,5.08401e-06,51.3624,0.28275,,OK
23954,coin,PI-SIDIS,LH2,-1.531,-2.615,CTime.ePiCoinTime_ROC2,45636,3106,51.3999,0.292643,3106,1,0,1,3,4.22891,3,1.40964,1.34637e-07,51.3999,0.292643,,OK
23955,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,123353,6774,51.4052,0.285428,6774,1,0,1,3,8.38292,3,2.79431,3.379e-07,51.4052,0.285428,,OK
23956,coin,PI-SIDIS,Dummy,-1.531,-2.615,CTime.ePiCoinTime_ROC2,22409,1372,51.428,0.282657,1372,1,0,1,3,1.65402,3,0.55134,7.45116e-07,51.428,0.282657,,OK
23957,coin,PI-SIDIS,LH2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,66809,379,51.3163,0.18519,379,1,0,1,3,8.20359,3,2.73453,1.4665e-07,51.3163,0.18519,,OK
23960,coin,PI-SIDIS,LH2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,195358,1035,51.3933,0.282334,1035,1,0,1,3,4.59744,3,1.53248,4.17047e-07,51.3933,0.282334,,OK
23961,coin,PI-SIDIS,LH2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,44299,276,51.4129,0.295597,276,1,0,1,3,6.27281,3,2.09094,5.96307e-07,51.4129,0.295597,,OK
23962,coin,PI-SIDIS,LH2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,11015,74,51.4135,0.293981,74,1,0,1,3,1.79536,3,0.598453,8.70312e-06,51.4135,0.293981,,OK
