run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
24468,shms,SHMSDIS,Dummy,-1.531,2.615,P.gtr.beta,2346949,284609,0.982703,0.0447183,284609,1,0,1,3,9.08618,10,0.908618,2.28874e-08,0.982703,0.0447183,,OK
24484,shms,SHMSDIS,C,-1.531,2.615,P.gtr.beta,2373820,287124,0.983096,0.0459293,287124,1,0,1,3,13.6296,10,1.36296,9.24982e-09,0.983096,0.0459293,,OK
24497,shms,SHMSDIS,Cu,-1.531,2.615,P.gtr.beta,2040952,255894,0.98309,0.0458401,255894,1,0,1,3,11.4445,10,1.14445,1.79259e-08,0.98309,0.0458401,,OK
24625,shms,SHMSDIS,LD2,-1.531,3.632,P.gtr.beta,2056606,136604,0.980098,0.0475508,136604,1,0,1,3,14.5286,10,1.45286,1.13325e-07,0.980098,0.0475508,,OK
24640,shms,SHMSDIS,LH2,-1.531,3.632,P.gtr.beta,1872261,115667,0.980057,0.0431056,115667,1,0,1,3,9.16678,10,0.916678,7.82087e-09,0.980057,0.0431056,,OK
24645,shms,SHMSDIS,Dummy,-1.531,3.632,P.gtr.beta,1647446,90726,0.981943,0.0464862,90726,1,0,1,3,16.4848,10,1.64848,1.03498e-08,0.981943,0.0464862,,OK
24653,shms,SHMSDIS,C,-1.531,3.632,P.gtr.beta,2040475,123020,0.980386,0.0467709,123020,1,0,1,3,14.1717,10,1.41717,4.32234e-07,0.980386,0.0467709,,OK
24665,shms,SHMSDIS,Cu,-1.531,3.632,P.gtr.beta,1841291,108279,0.979782,0.0456379,108279,1,0,1,3,8.28162,10,0.828162,4.90537e-07,0.979782,0.0456379,,OK
24706,shms,SHMSDIS,LH2,-1.531,-3.632,P.gtr.beta,2086664,833317,0.990976,0.04497,833317,1,0,1,3,30.5409,10,3.05409,1.28675e-08,0.990976,0.04497,,OK
24712,shms,SHMSDIS,Dummy,-1.531,-3.632,P.gtr.beta,2188621,942233,0.991472,0.0457014,942233,1,0,1,3,19.5957,10,1.95957,1.09937e-05,0.991472,0.0457014,,OK
