setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,nBins,norm_win_lo,norm_win_hi,fitD_lo,fitD_hi,fitS_lo,fitS_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,statusD1,muD1_MeV,muD1_err_MeV,sigD1_MeV,sigD1_err_MeV,chi2D1,ndfD1,statusS1,muS1_MeV,muS1_err_MeV,sigS1_MeV,sigS1_err_MeV,chi2S1,ndfS1,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-999.000000,999.000000,0.000000,W,200,0.917022,0.985985,0.917022,0.985985,0.925787,0.965295,186867.000000,312.754816,597.487202,320277.000000,168084.000000,0,951.503476,0.054238,22.987702,0.055808,21129.911999,197,0,945.540843,0.042782,13.169534,0.032633,16462.508130,145,949.708118,0.055019,19.539875,0.061738,0,461.976423,66,944.266833,0.054105,12.761590,0.066130,0,235.303123,36,5.441285,0.077165,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-999.000000,999.000000,0.000000,Em,200,0.003854,0.020686,0.003854,0.020686,0.000887,0.010312,150489.000000,208.355794,722.269330,320277.000000,168084.000000,0,12.269830,0.016012,5.610587,0.012825,6010.911388,197,0,5.599424,0.010768,3.141506,0.008873,10774.582030,118,11.596231,0.018766,5.496815,0.023457,0,910.145675,65,5.388673,0.012956,2.905379,0.015649,0,380.996093,34,6.207557,0.022804,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-999.000000,999.000000,0.000000,Pmz,200,-0.022844,0.002379,-0.022844,0.002379,-0.013204,0.003113,158902.000000,277.612179,572.388432,320277.000000,168084.000000,0,-10.232466,0.023753,8.407882,0.022046,2472.572801,197,0,-5.045155,0.018283,5.438965,0.013906,6326.524186,144,-10.043943,0.026232,7.995452,0.032280,0,364.242864,98,-4.461003,0.023844,5.369215,0.029798,0,584.677941,62,-5.582940,0.035449,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,1,b1,-999.000000,999.000000,0.000000,Pmx,200,-0.023929,0.004998,-0.023929,0.004998,-0.012885,0.004476,164230.000000,287.182057,571.867203,320277.000000,168084.000000,0,-9.465710,0.024393,9.642381,0.023226,4643.592297,197,0,-4.204927,0.019230,5.786969,0.015282,8447.537642,145,-9.088218,0.027300,8.762257,0.031965,0,675.675926,94,-3.653580,0.023680,5.532351,0.028681,0,446.592237,55,-5.434639,0.036139,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-999.000000,999.000000,0.000000,W,187,0.912340,1.002003,0.912340,1.002003,0.919009,0.977391,7306.000000,2.247117,3251.276363,12153.000000,59127.000000,0,957.171359,0.355159,29.887801,0.335586,535.423117,183,0,948.200045,0.103516,19.460912,0.081196,4465.782838,153,954.866232,0.367016,25.560924,0.413348,0,70.495834,81,946.282794,0.123645,18.306976,0.149163,0,174.141205,51,8.583437,0.387284,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-999.000000,999.000000,0.000000,Em,170,-0.007030,0.013532,-0.007030,0.013532,0.001043,0.010901,6017.000000,1.812085,3320.484399,12153.000000,59127.000000,0,3.250882,0.112741,6.853843,0.089167,762.216567,161,0,5.972133,0.020826,3.285854,0.016208,4444.137233,103,1.858763,0.113168,6.545405,0.141790,0,128.341377,67,5.522224,0.024327,3.146729,0.030621,0,247.032122,30,-3.663461,0.115754,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-999.000000,999.000000,0.000000,Pmz,172,-0.014059,0.012642,-0.014059,0.012642,-0.013258,0.002277,6339.000000,1.880121,3371.591894,12153.000000,59127.000000,0,-0.708916,0.119019,8.900320,0.101359,435.602858,169,0,-5.490330,0.029782,5.178244,0.022956,2511.756890,122,0.236760,0.133913,8.180832,0.159799,0,141.793885,88,-4.930646,0.036165,4.995558,0.044218,0,140.205820,51,5.167407,0.138711,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-999.000000,999.000000,0.000000,Pmx,172,-0.024967,0.004259,-0.024967,0.004259,-0.014667,0.005573,6512.000000,1.987981,3275.685075,12153.000000,59127.000000,0,-10.354299,0.126573,9.742051,0.118914,287.790916,167,0,-4.546697,0.037851,6.746614,0.028485,2651.030354,137,-10.050203,0.145596,9.056156,0.173878,0,112.326429,81,-3.846091,0.044464,6.399416,0.053566,0,243.441089,55,-6.204112,0.152234,1
