fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeDpp,1,1,1,0,0,data_minus_sim,23839,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,12.13734,0.109792,125.805903,1.13587,-8.53503,0.05376,-8.989999,0.064097,0,-3.21965155514934,0,-21.4814288610966,27.7621545644535,67.907623838149,-62.0590151835647,-18.5133894408277,-15.6248145644535,57.898279161851,53.5239851835647,9.5233904408277,6551.85751549609
dpeDpp,1,1,1,0,0,data_minus_sim,23839,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.909854,0.300018,10.599675,0.286065,-8.579061,0.159297,-5.888606,0.191624,0,-0.79095544759634,0,-2.36418234365497,6.82018753074278,10.556463328335,-8.61900797091929,-4.54809036967853,-0.910333530742779,0.0432116716650199,0.0399469709192939,-1.34051563032147,2.62915230138449
dpeDpp,1,1,1,0,0,data_minus_sim,23839,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,7.525456,0.217137,11.193725,0.318568,-8.07552,0.100886,-6.385077,0.119103,0,-0.955769587323811,0,-1.95994133990306,8.24133374583662,10.8700518778761,-8.37473917617701,-5.49579179073747,-0.715877745836618,0.323673122123855,0.299219176177006,-0.88928520926253,1.49760553577467
dpeDpp,1,1,1,0,0,data_minus_sim,23839,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.174744,0.191942,121.302716,2.393276,-8.402599,0.099002,-9.73891,0.110762,0,-3.26842690555193,0,-20.3404705173662,28.182730764585,65.852608963603,-59.6633748021025,-18.7938536592838,-15.007986764585,55.450107036397,51.2607758021025,9.0549436592838,6009.61317758006
dpeDpp,1,1,1,0,0,data_minus_sim,23839,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,19.684561,0.244858,128.867795,8.175958,-9.540285,0.113004,-11.895702,0.140823,0,-3.97544772185612,0,-20.4872796495724,34.2791734529655,71.1533709955323,-62.8943055341457,-22.8593096537615,-14.5946124529655,57.7144240044677,53.3540205341457,10.9636076537615,6510.80965076339
dpeDpp,1,1,1,0,0,data_minus_sim,23839,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.203067,0.551342,23.723824,0.229808,-15.676216,0.326809,-15.047189,0.418119,0,-74.2839183709587,0,178.157206276981,640.529444923784,149.833620177225,100.905813031005,-427.141597913822,322.673622076216,-126.109796177225,-116.582029031005,412.094408913822,303435.118426665
dpeDpp,1,1,1,0,0,data_minus_sim,23840,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.207961,0.07891,134.393091,1.995627,-9.721082,0.03814,-10.03543,0.043538,0,-3.47110180952162,0,-23.010942081821,29.9303397570374,72.8995458394893,-66.5687059311914,-19.9592590961151,-16.7223787570374,61.4935451605106,56.8476239311914,9.92382909611506,7391.22877825264
dpeDpp,1,1,1,0,0,data_minus_sim,23840,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.794793,0.199954,130.231674,3.27481,-9.474083,0.096185,-6.828134,0.112878,0,-2.75830497358052,0,-23.8356048270648,23.7840920673453,69.6009770635872,-65.524048067563,-15.8605902836897,-16.9892990673453,60.6306969364128,56.049965067563,9.03245628368973,7187.90154438664
dpeDpp,1,1,1,0,0,data_minus_sim,23840,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.542232,0.148294,122.038222,1.926731,-9.333021,0.069446,-7.312114,0.076736,0,-2.79030310371975,0,-21.9262420671807,24.0600029910843,65.8115730617406,-61.3116699038836,-16.0445834377621,-15.5177709910843,56.2266489382594,51.9786489038836,8.73246943776208,6180.27323171265
dpeDpp,1,1,1,0,0,data_minus_sim,23840,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.64035,0.142298,123.902669,3.3592,-9.623696,0.07093,-10.831713,0.079626,0,-3.45852483172119,0,-20.7208754431303,29.8218919962569,67.9948039384734,-61.3076455839382,-19.8869399385852,-15.1815419962569,55.9078650615266,51.6839495839382,9.0552269385852,6109.39637262633
