fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeDpp,1,1,1,0,0,data_minus_sim,23840,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.531604,0.32977,186.740051,16.608879,-10.709578,0.094512,-13.239251,0.11857,0,-5.06980331147068,0,-30.6894301352009,43.7154955228995,100.335044513671,-90.5865683684343,-29.1519878738247,-22.1838915228995,86.4050064863291,79.8769903684343,15.9127368738247,14591.4989741369
dpeDpp,1,1,1,0,0,data_minus_sim,23840,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.075773,0.362565,24.962315,0.134675,-16.174635,0.198354,-15.529435,0.268824,0,-74.3870233309386,0,178.027341878704,641.418490146937,150.834709134925,100.187928036877,-427.734464018956,322.657282853063,-125.872394134925,-116.362563036877,412.205029018956,303404.813808409
dpeDpp,1,1,1,0,0,data_minus_sim,23841,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.192509,0.119308,135.191432,1.3861,-10.056658,0.059903,-10.21588,0.071099,0,-3.48670155847401,0,-23.2261295798512,30.0648520277489,73.4622229568731,-67.122141085972,-20.0489595567357,-16.8723430277489,61.7292090431269,57.065483085972,9.83307955673565,7448.33002174054
dpeDpp,1,1,1,0,0,data_minus_sim,23841,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.644117,0.320784,130.23626,2.938709,-10.130305,0.185974,-7.410035,0.222786,0,-2.76700112773759,0,-23.9702524556089,23.8590765716276,69.9455374229452,-65.8659812348638,-15.9105942315672,-17.2149595716276,60.2907225770548,55.7356762348638,8.50055923156716,7110.0511745231
dpeDpp,1,1,1,0,0,data_minus_sim,23841,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.817599,0.236229,122.206936,2.056694,-9.663695,0.114043,-7.495708,0.12679,0,-2.81847132295402,0,-21.9706525512902,24.3028896646239,66.1038529068539,-61.528113626943,-16.2065541366424,-15.4852906646239,56.1030830931461,51.864418626943,8.71084613664236,6153.14691945139
dpeDpp,1,1,1,0,0,data_minus_sim,23841,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.609115,0.208569,129.317225,2.814748,-9.917448,0.106079,-10.968771,0.119934,0,-3.54328921374697,0,-21.7634732114096,30.5527915470473,70.7858469081004,-64.0267006257442,-20.3743454817859,-15.9436765470473,58.5313780918996,54.1092526257442,9.40557448178588,6696.3990942228
dpeDpp,1,1,1,0,0,data_minus_sim,23841,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.582258,0.362477,186.237103,12.592691,-10.949081,0.123922,-13.405001,0.154186,0,-5.07078924111285,0,-30.6335102498216,43.7239969183601,100.224408005866,-90.4633995446849,-29.1576570896122,-22.1417389183601,86.0126949941343,79.5143185446849,15.7526560896122,14459.113329986
dpeDpp,1,1,1,0,0,data_minus_sim,23841,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.195482,0.747266,25.170557,0.261526,-16.223231,0.450374,-15.588218,0.568438,0,-74.3254962562084,0,177.815248072269,640.887959395612,150.846314764163,99.9575518121866,-427.380675829109,322.307522604388,-125.675757764163,-116.180782812187,411.792457829109,302747.537836766
dpeDpp,1,1,1,0,0,data_minus_sim,23842,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.155856,0.099538,131.712951,1.917381,-9.976376,0.048472,-10.153478,0.056268,0,-3.42766559456453,0,-22.5935693006235,29.5558014280667,71.7151356829552,-65.4412745179457,-19.7094955581788,-16.3999454280667,59.9978153170448,55.4648985179457,9.55601755817875,7036.36849204001
dpeDpp,1,1,1,0,0,data_minus_sim,23842,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.941647,0.258656,130.06571,2.13912,-9.965215,0.138097,-6.561971,0.152198,0,-2.67012634908265,0,-24.1377132251366,23.0237524589564,69.6137033528854,-65.8499900733991,-15.3535524295236,-17.0821054589564,60.4520066471146,55.8847750733991,8.79158142952356,7146.64342361005
dpeDpp,1,1,1,0,0,data_minus_sim,23842,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.952156,0.194358,122.475671,1.048177,-9.528166,0.090453,-7.730092,0.103779,0,-2.84677147733526,0,-21.9261445084396,24.5469139780231,66.2100713512343,-61.5428228350726,-16.3692834787221,-15.5947579780231,56.2655996487657,52.0146568350726,8.63919147872212,6189.17433530469
dpeDpp,1,1,1,0,0,data_minus_sim,23842,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.568055,0.174283,126.475553,3.673522,-9.880713,0.089419,-10.87823,0.099029,0,-3.49178852696643,0,-21.2617957573897,30.1087155338246,69.3672061800001,-62.6744463078041,-20.0782102464951,-15.5406605338246,57.1083468199999,52.7937333078041,9.19998024649514,6374.69331945241
dpeDpp,1,1,1,0,0,data_minus_sim,23842,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.571391,0.343003,189.412676,16.592742,-10.964857,0.107664,-13.335843,0.133299,0,-5.1157291455068,0,-31.2199062831274,44.1115011406419,101.774885929187,-91.981492471288,-29.4160670253546,-22.5401101406419,87.6377900708131,81.016635471288,16.0802240253546,15010.7076414413
dpeDpp,1,1,1,0,0,data_minus_sim,23842,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.888122,0.525987,25.656263,0.217889,-16.279669,0.295266,-16.366537,0.395563,0,-74.5007372046613,0,178.136757188608,642.399013065128,151.407506000868,99.9708960362778,-428.388332673061,322.489108934872,-125.751243000868,-116.250565036278,412.021795673061,303088.754478779
dpeDpp,1,1,1,0,0,data_minus_sim,23844,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.412685,0.082722,132.864509,1.916171,-9.965812,0.040152,-10.307015,0.046817,0,-3.47313570057423,0,-22.7288855765519,29.947877430541,72.3207502102906,-65.9354072164482,-19.9709542179294,-16.535192430541,60.5437587897094,55.9695952164482,9.66393921792936,7164.94662700243
dpeDpp,1,1,1,0,0,data_minus_sim,23844,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.263236,0.208748,132.645502,2.867687,-9.925241,0.107127,-6.75564,0.11637,0,-2.74525907685683,0,-24.5043123047528,23.6716009498839,70.9151359647141,-66.991793665795,-15.7855747851137,-17.4083649498839,61.7303660352859,57.066552665795,9.0299347851137,7451.82041646009
dpeDpp,1,1,1,0,0,data_minus_sim,23844,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.811912,0.156973,120.079002,2.314004,-9.649887,0.074603,-7.637423,0.083116,0,-2.79226099130946,0,-21.5671139621926,24.0768853079916,65.0701615764107,-60.5027344838896,-16.0558415303875,-15.2649733079916,55.0088404235893,50.8528474838896,8.41841853038752,5915.87380261412
dpeDpp,1,1,1,0,0,data_minus_sim,23844,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.911205,0.148225,125.353417,3.10565,-9.816783,0.074385,-10.955403,0.082868,0,-3.50527654683379,0,-20.9667934243225,30.2250189554565,68.8420594707839,-62.0586303723804,-20.1557680071139,-15.3138139554565,56.5113575292161,52.2418473723804,9.20036500711392,6241.90376080043
dpeDpp,1,1,1,0,0,data_minus_sim,23844,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.711339,0.332363,189.190617,14.456088,-10.909752,0.096751,-13.418464,0.121321,0,-5.12791959872333,0,-31.1274878728169,44.2166160080774,101.666605362669,-91.8212051536778,-29.4861636193468,-22.5052770080774,87.5240116373313,80.9114531536778,16.0676996193468,14971.7743287994
dpeDpp,1,1,1,0,0,data_minus_sim,23844,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.756246,0.390142,24.943414,0.15076,-15.600727,0.224131,-16.172547,0.294367,0,-74.4795079725973,0,178.400421942764,642.215959336565,150.703134880256,100.657675400312,-428.2662619974,322.540286663435,-125.759720880256,-116.258402400312,412.0937149974,303184.989985842
dpeDpp,1,1,1,0,0,data_minus_sim,23845,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.278694,0.084849,132.235647,1.899293,-9.950759,0.041248,-10.159155,0.047309,0,-3.44582986000674,0,-22.6562867073661,29.7124268069683,71.9752800059753,-65.6583730575442,-19.8139423016472,-16.4337328069683,60.2603669940247,55.7076140575442,9.65478730164717,7097.9325860497
dpeDpp,1,1,1,0,0,data_minus_sim,23845,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.573412,0.22285,129.369477,2.952957,-10.033596,0.111584,-6.688588,0.128074,0,-2.71284551811304,0,-23.8937822645559,23.3921079015166,69.4023491105447,-65.4701255673758,-15.5991928658569,-16.8186959015166,59.9671278894553,55.4365295673758,8.91060486585689,7031.53264868794
dpeDpp,1,1,1,0,0,data_minus_sim,23845,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.659035,0.161996,118.602725,1.530678,-9.596858,0.076807,-7.542345,0.084773,0,-2.75353359732624,0,-21.3285917740044,23.7429498248424,64.2951160983919,-59.8014529600477,-15.8331542878215,-15.0839148248424,54.3076089016081,50.2045949600477,8.29080928782146,5766.07974480261
dpeDpp,1,1,1,0,0,data_minus_sim,23845,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.850757,0.151769,130.990803,3.713531,-9.772593,0.075946,-11.006338,0.085047,0,-3.5917850333058,0,-21.9737239020096,30.9709574309203,71.5704097287394,-64.7036944954673,-20.6532023637701,-16.1202004309203,59.4203932712606,54.9311014954673,9.64686436377014,6901.13190200262
dpeDpp,1,1,1,0,0,data_minus_sim,23845,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.697556,0.333486,184.665238,16.77276,-10.823513,0.097691,-13.391953,0.122877,0,-5.05621344457224,0,-30.2960275042526,43.5983139028135,99.4117774850995,-89.6359582661413,-29.0738444803456,-21.9007579028135,85.2534605149005,78.8124452661413,15.6818914803456,14205.1189757132
dpeDpp,1,1,1,0,0,data_minus_sim,23845,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.085762,0.37772,25.307617,0.16289,-16.371017,0.221748,-15.286332,0.305117,0,-74.3779875998191,0,177.882376640599,641.340577565515,151.075768467013,99.8951790447383,-427.682507462095,322.745184434485,-125.768151467013,-116.266196044738,412.396175462095,303570.515877556
dpeDpp,1,1,1,0,0,data_minus_sim,23846,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.581334,0.079564,134.709368,1.939175,-10.045768,0.03852,-10.365728,0.044172,0,-3.5165754762273,0,-23.042686395421,30.322446462397,73.2873768315503,-66.827243940848,-20.2207382303022,-16.741112462397,61.4219911684497,56.781475940848,9.85501023030217,7374.18308223619
dpeDpp,1,1,1,0,0,data_minus_sim,23846,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.809988,0.201887,130.267326,2.138588,-10.028193,0.101543,-6.943768,0.110753,0,-2.75790647365456,0,-23.9757596136167,23.7806559139762,69.892904633931,-65.8412444661821,-15.8582988604735,-16.9706679139762,60.374421366069,55.8130514661821,8.91453086047352,7127.63989916313
dpeDpp,1,1,1,0,0,data_minus_sim,23846,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.227359,0.149696,123.628445,2.025125,-9.615717,0.070997,-7.793767,0.078448,0,-2.88768114823915,0,-22.0964678349248,24.8996666245008,66.8571049990084,-62.0979048137327,-16.6045190799562,-15.6723076245008,56.7713400009916,52.4821878137327,8.81075207995621,6300.61566171554
dpeDpp,1,1,1,0,0,data_minus_sim,23846,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.924699,0.14327,127.745267,2.078772,-9.910846,0.070881,-11.106537,0.079419,0,-3.5499163037079,0,-21.4007724577762,30.6099350896501,70.0698898579293,-63.2287697154725,-20.4124520579804,-15.6852360896501,57.6753771420707,53.3179237154725,9.30591505798038,6501.87680406345
dpeDpp,1,1,1,0,0,data_minus_sim,23846,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.843965,0.330335,188.578855,14.77815,-11.007439,0.094891,-13.458362,0.11869,0,-5.12910420068228,0,-31.0136101317032,44.2268304993409,101.435488008736,-91.5670057299149,-29.4929752252062,-22.3828654993409,87.1433669912644,80.5595667299149,16.0346132252062,14841.9116915293
dpeDpp,1,1,1,0,0,data_minus_sim,23846,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.40379,0.380003,25.296393,0.145353,-16.581483,0.210578,-15.959466,0.280808,0,-74.4332016686944,0,177.973996975836,641.816673033609,151.272940943068,99.8773648827229,-427.999995097695,322.587116966391,-125.976547943068,-116.458847882723,412.040529097695,303272.59953362
dpeDpp,1,1,1,0,0,data_minus_sim,23847,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.614161,0.08435,131.606765,1.940663,-10.101213,0.04108,-10.461112,0.04792,0,-3.47475190299549,0,-22.4813128914194,29.9618134918377,71.8115238490478,-65.3788421064628,-19.9802475791293,-16.3476524918377,59.7952411509522,55.2776291064628,9.51913557912933,6988.94682809993
dpeDpp,1,1,1,0,0,data_minus_sim,23847,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.924709,0.217407,132.262165,1.822917,-10.175556,0.109953,-7.20245,0.127961,0,-2.8087633136921,0,-24.3197226799355,24.2191802168697,70.9753308407625,-66.8320862280695,-16.1507318984025,-17.2944712168697,61.2868341592375,56.6565302280695,8.94828189840246,7345.20894235045
dpeDpp,1,1,1,0,0,data_minus_sim,23847,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.141215,0.160171,124.168082,2.006817,-9.669834,0.075615,-7.837815,0.084801,0,-2.8909896400697,0,-22.2192081849663,24.9281948239042,67.1385843141415,-62.3906753333168,-16.6235433118247,-15.7869798239042,57.0294976858585,52.7208413333168,8.78572831182466,6358.26847112366
dpeDpp,1,1,1,0,0,data_minus_sim,23847,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.018973,0.151241,129.141385,3.741106,-9.939137,0.075764,-11.150598,0.085417,0,-3.58069454319251,0,-21.6358852380512,30.8753272375759,70.7816392531629,-63.8897243385003,-20.5894306918858,-15.8563542375759,58.3597457468371,53.9505873385003,9.43883269188578,6657.04133009752
dpeDpp,1,1,1,0,0,data_minus_sim,23847,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.993534,0.333327,192.649162,16.457139,-11.06242,0.098195,-13.601666,0.122568,0,-5.21044324713728,0,-31.7136875543322,44.9281943398464,103.482036046602,-93.4928479415502,-29.9606846707699,-22.9346603398464,89.1671259533979,82.4304279415502,16.3590186707699,15539.167938191
dpeDpp,1,1,1,0,0,data_minus_sim,23847,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.379635,0.401656,25.736706,0.16806,-16.508354,0.234245,-16.27102,0.302155,0,-74.5312859604854,0,178.1418577515,642.662426439654,151.612473762005,99.8573277818282,-428.563991747907,322.717208560346,-125.875767762005,-116.365681781828,412.292971747907,303517.572059926
dpeDpp,1,1,1,0,0,data_minus_sim,23848,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.81323,0.091137,131.880272,1.923071,-10.118301,0.044435,-10.456815,0.051027,0,-3.49371623229874,0,-22.4975355456671,30.1253375975708,71.9795400977673,-65.4934508875686,-20.0892947874565,-16.3121075975708,59.9007319022327,55.3751498875686,9.63247978745646,7013.37442862433
dpeDpp,1,1,1,0,0,data_minus_sim,23848,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.278605,0.230064,132.013495,1.608594,-10.378756,0.125188,-7.167607,0.135597,0,-2.75096841900253,0,-24.4589446510744,23.7208310098439,70.8600408431911,-66.9119832667877,-15.8184041993481,-17.4422260098439,61.1534541568089,56.5332272667877,8.65079719934808,7314.81828086992
dpeDpp,1,1,1,0,0,data_minus_sim,23848,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.306108,0.171103,123.003068,2.046696,-9.645421,0.083015,-7.99735,0.092601,0,-2.89384426195307,0,-21.9509554319002,24.9528094297371,66.5946124481627,-61.7921407797764,-16.6399577360963,-15.6467014297371,56.4084555518373,52.1467197797764,8.64260773609632,6220.7081756455
dpeDpp,1,1,1,0,0,data_minus_sim,23848,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.198727,0.161401,126.924855,3.281456,-10.014513,0.081644,-11.231883,0.089835,0,-3.56287439919934,0,-21.2129433324891,30.7216691216509,69.7663835232745,-62.8545839783316,-20.4869626887537,-15.5229421216509,57.1584714767255,52.8400709783316,9.2550796887537,6385.78219470807
dpeDpp,1,1,1,0,0,data_minus_sim,23848,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.978302,0.33741,189.827606,15.603494,-11.02615,0.102122,-13.557468,0.126685,0,-5.16357125817652,0,-31.2048715486726,44.5240302929046,102.08106478,-92.1433203227903,-29.6911650129334,-22.5457282929046,87.74654122,81.1171703227903,16.1336970129334,15048.0568608123
dpeDpp,1,1,1,0,0,data_minus_sim,23848,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.163444,0.450771,25.4066,0.191735,-16.266375,0.256234,-15.908872,0.361283,0,-74.4947606149695,0,178.179563259669,642.347478604348,151.275287528503,100.092761469627,-428.353966552816,322.815965395652,-125.868687528503,-116.359136469627,412.445094552816,303703.478675113
dpeDpp,1,1,1,0,0,data_minus_sim,23849,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.365838,0.294696,3.988586,0.112943,-0.576284,0.134699,-10.071908,0.136234,0,-2.2507429409686,0,2.23009717288456,19.4075266660713,4.64076647460845,0.0563392665753497,-9.67163086307501,-0.0416886660713445,-0.652180474608453,-0.63262326657535,-0.400277136924993,0.987511300096651
dpeDpp,1,1,1,0,0,data_minus_sim,23849,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,10.541527,0.925988,-1.965297,0.23527,4.802919,0.297804,-6.425862,0.402583,0,-1.2771530988035,0,2.53559462439243,11.012533848498,-1.98036483866506,4.78830300690047,-5.48803379649572,-0.471006848498003,0.0150678386650589,0.0146159930995262,-0.937828203504279,1.10180985763641
dpeDpp,1,1,1,0,0,data_minus_sim,23849,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,13.117493,0.815898,0.682134,0.227784,1.654847,0.310792,-7.702907,0.33602,0,-1.56395297231748,0,2.11123674827184,13.4855289168078,1.18462866026382,2.14227314320617,-6.72043686559523,-0.368035916807758,-0.502494660263818,-0.487426143206172,-0.982470134404768,1.59078312973234
dpeDpp,1,1,1,0,0,data_minus_sim,23849,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,15.501274,0.754546,2.585812,0.208907,0.18456,0.293566,-9.803945,0.338664,0,-1.88056035627458,0,2.0546154446668,16.2155458081096,3.18259855878125,0.763450471216765,-8.08092530273289,-0.714271808109585,-0.596786558781254,-0.578890471216765,-1.72301969726711,4.17024946743811
dpeDpp,1,1,1,0,0,data_minus_sim,23849,4,b4,1,2,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,21.683814,0.701176,5.294871,0.218219,-1.429042,0.289818,-11.81723,0.339031,0,-2.54531946466834,0,2.31035280215641,21.9475776131782,6.01683038240761,-0.728732314850914,-10.9374508491307,-0.26376361317816,-0.721959382407609,-0.700309685149086,-0.879779150869338,1.85524160290116
dpeDpp,1,1,1,0,0,data_minus_sim,23849,5,b5,2,3,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,25.624646,0.66583,9.659712,0.276337,-3.836743,0.271012,-12.3718,0.349111,0,-2.95080577071876,0,1.90850236604777,25.4439725831047,9.77194631184343,-3.72787430529881,-12.6798594559811,0.180673416895271,-0.112234311843428,-0.108868694701189,0.308059455981097,0.15199244543289
dpeDpp,1,1,1,0,0,data_minus_sim,23850,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.234531,0.276174,3.887077,0.107656,-0.770276,0.121492,-10.105921,0.131412,0,-2.2370942156261,0,2.19972154993848,19.2898375260896,4.67383778900718,-0.00710813507129515,-9.61298114752493,-0.0553065260896481,-0.786760789007181,-0.763167864928705,-0.492939852475075,1.44746623916529
dpeDpp,1,1,1,0,0,data_minus_sim,23850,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,11.075022,0.769426,-1.777965,0.206645,4.397174,0.288469,-5.703749,0.304632,0,-1.29057135233149,0,2.47170944641733,11.1282356945046,-1.67234889244941,4.49962295326212,-5.54569315536235,-0.0532136945046489,-0.105616107550595,-0.102448953262122,-0.158055844637651,0.0494638975055986
