run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu_GeV,dmu_err_GeV,dmu_MeV,dmu_err_MeV
23839,4,b4,1.000000,2.000000,Em,0.008458,0.035407,12065.000000,6.632135,1819.172903,14310.000000,5564.000000,0.021622,0.000062,0.006162,0.000057,0,156.329304,11,-0.107246,0.008176,0.023040,0.001422,4,168.303066,11,0.128868,0.008176,128.867795,8.175958
23839,4,b4,1.000000,2.000000,Pmz,-0.044113,0.012135,13247.000000,23.719513,558.485329,14310.000000,5564.000000,-0.014235,0.000078,0.008278,0.000074,0,485.256843,6,-0.004695,0.000082,0.005746,0.000067,0,142.716232,6,-0.009540,0.000113,-9.540285,0.113004
23839,4,b4,1.000000,2.000000,Pmx,-0.046965,0.015017,12941.000000,23.700640,546.019004,14310.000000,5564.000000,-0.015680,0.000097,0.010617,0.000096,0,429.805330,8,-0.003784,0.000102,0.007123,0.000078,0,123.440658,8,-0.011896,0.000141,-11.895702,0.140823
23839,4,b4,1.000000,2.000000,Pmy,-0.014922,0.039223,12869.000000,23.544503,546.581941,14310.000000,5564.000000,0.012267,0.000093,0.010071,0.000082,0,72.124707,6,-0.000298,0.000118,0.007123,0.000104,0,8.427047,5,0.012565,0.000150,12.564816,0.150316
23839,5,b5,2.000000,3.000000,W,0.923900,1.000286,655.000000,0.000000,1.000000,787.000000,0.000000,0.963203,0.000551,0.013371,0.000550,0,26.041301,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.963203,0.000551,963.203067,0.551342
23839,5,b5,2.000000,3.000000,Em,0.010440,0.035788,630.000000,0.000000,1.000000,787.000000,0.000000,0.023724,0.000230,0.005401,0.000208,0,7.635735,10,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.023724,0.000230,23.723824,0.229808
23839,5,b5,2.000000,3.000000,Pmz,-0.044882,0.016753,644.000000,0.000000,1.000000,787.000000,0.000000,-0.015676,0.000327,0.007959,0.000351,0,38.438187,7,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.015676,0.000327,-15.676216,0.326809
23839,5,b5,2.000000,3.000000,Pmx,-0.046677,0.017177,629.000000,0.000000,1.000000,787.000000,0.000000,-0.015047,0.000418,0.010244,0.000400,0,20.911527,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.015047,0.000418,-15.047189,0.418119
23839,5,b5,2.000000,3.000000,Pmy,-0.015617,0.048799,625.000000,0.000000,1.000000,787.000000,0.000000,0.017201,0.000483,0.011618,0.000404,0,13.684011,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.017201,0.000483,17.200604,0.482715
23840,0,full,-10.000000,20.000000,W,0.911130,1.011740,190205.000000,202.477405,939.388767,282420.000000,95136.000000,0.958690,0.000052,0.021169,0.000050,0,3363.245917,12,0.945483,0.000059,0.013801,0.000051,0,5105.420217,12,0.013208,0.000079,13.207961,0.078910
23840,0,full,-10.000000,20.000000,Em,0.005039,0.034215,161484.000000,133.623838,1208.496941,282420.000000,95136.000000,0.019061,0.000021,0.007016,0.000021,0,3772.333495,11,-0.115332,0.001996,0.024556,0.000335,4,3699.106547,11,0.134393,0.001996,134.393091,1.995627
23840,0,full,-10.000000,20.000000,Pmz,-0.055634,0.016899,190339.000000,205.874800,924.537631,282420.000000,95136.000000,-0.014974,0.000026,0.009722,0.000027,0,16811.920167,9,-0.005253,0.000027,0.006067,0.000020,0,8556.856903,9,-0.009721,0.000038,-9.721082,0.038140
23840,0,full,-10.000000,20.000000,Pmx,-0.054805,0.020716,193326.000000,204.811230,943.922851,282420.000000,95136.000000,-0.014374,0.000032,0.011959,0.000032,0,12422.423001,9,-0.004339,0.000029,0.006505,0.000023,0,7962.124646,9,-0.010035,0.000044,-10.035430,0.043538
23840,0,full,-10.000000,20.000000,Pmy,-0.022593,0.039523,235868.000000,259.091408,910.365968,282420.000000,95136.000000,0.008433,0.000023,0.010784,0.000022,0,5008.251740,8,-0.000725,0.000022,0.006433,0.000017,0,65.198938,7,0.009158,0.000032,9.158206,0.031634
23840,1,b1,-2.000000,-1.000000,W,0.904062,1.010131,29491.000000,41.400083,712.341573,42105.000000,21789.000000,0.953572,0.000150,0.022539,0.000145,0,1142.796358,13,0.946777,0.000132,0.015159,0.000103,0,1471.412354,13,0.006795,0.000200,6.794793,0.199954
