fit_model,de0_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,det,matrix_ok
full4,1,data_minus_sim,23841,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.192509,0.119308,135.191432,1.3861,-10.056658,0.059903,-10.21588,0.071099,4375.692874979,-7145.49771882953,-10175.7642732398,23926.4864658582,13.1925090000295,135.191431999992,-10.0566580000013,-10.2158799999925,-2.95319324550292e-11,7.64543983677868e-12,1.33404398638959e-12,-7.53352935589646e-12,1.23275984544669,1
full4,1,data_minus_sim,23841,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.644117,0.320784,130.23626,2.938709,-10.130305,0.185974,-7.410035,0.222786,4283.83409855333,-6994.76520456432,-9961.44549815831,23422.7633047074,6.64411700005439,130.236259999998,-10.1303049999988,-7.41003500000807,-5.43938227792751e-11,2.1316282072803e-12,-1.22923893286497e-12,8.06554822929684e-12,1.23275984544669,1
full4,1,data_minus_sim,23841,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.817599,0.236229,122.206936,2.056694,-9.663695,0.114043,-7.495708,0.12679,3978.95407941457,-6497.25540920687,-9252.99674994235,21756.2086979708,8.81759900003817,122.206935999995,-9.66369499999564,-7.4957080000022,-3.8172132121872e-11,4.9595882956055e-12,-4.35917968388821e-12,2.19646523191841e-12,1.23275984544669,1
full4,1,data_minus_sim,23841,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.609115,0.208569,129.317225,2.814748,-9.917448,0.106079,-10.968771,0.119934,4148.26345884239,-6774.34974565378,-9646.92436193831,22683.1627038058,14.6091150000211,129.317224999999,-9.91744800000743,-10.9687709999926,-2.1120882820469e-11,1.13686837721616e-12,7.42517158869305e-12,-7.44293515708705e-12,1.23275984544669,1
full4,1,data_minus_sim,23841,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.582258,0.362477,186.237103,12.592691,-10.949081,0.123922,-13.405001,0.154186,6078.24092257808,-9926.13295957592,-14136.3750683892,33238.1042486601,21.5822580000531,186.237103000007,-10.9490809999988,-13.4050009999955,-5.31166222117463e-11,-6.76436684443615e-12,-1.15818465928896e-12,-4.46398473741283e-12,1.23275984544669,1
full4,1,data_minus_sim,23841,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.195482,0.747266,25.170557,0.261526,-16.223231,0.450374,-15.588218,0.568438,-12864.6663355608,20891.7718890209,29643.3771803425,-70155.4027080704,963.195481999923,25.170557000034,-16.2232309999818,-15.5882180000335,7.71933628129773e-11,-3.40243389018724e-11,-1.82467374543194e-11,3.35216299163221e-11,1.23275984544669,1
full4,1,data_minus_sim,23842,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.155856,0.099538,131.712951,1.917381,-9.976376,0.048472,-10.153478,0.056268,4252.97408840901,-6945.13684379526,-9890.37839750696,23255.4355303601,13.1558560000485,131.712951000001,-9.97637599999871,-10.1534780000002,-4.85158579976996e-11,-1.33582034322899e-12,-1.29141142224398e-12,1.77635683940025e-13,1.23275984544669,1
full4,1,data_minus_sim,23842,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.941647,0.258656,130.06571,2.13912,-9.965215,0.138097,-6.561971,0.152198,4292.83590314711,-7009.38051864183,-9982.54754015638,23471.9148383005,5.94164700002875,130.065709999995,-9.96521499999653,-6.56197099998826,-2.87521118025325e-11,4.68958205601666e-12,-3.46744855050929e-12,-1.17381659947569e-11,1.23275984544669,1
full4,1,data_minus_sim,23842,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.952156,0.194358,122.475671,1.048177,-9.528166,0.090453,-7.730092,0.103779,3991.36776200961,-6517.53819253728,-9281.80320577027,21824.1796843156,8.95215600002848,122.475671,-9.52816600000369,-7.73009199999433,-2.84803292061042e-11,-1.4210854715202e-13,3.69304586911312e-12,-5.6710192097853e-12,1.23275984544669,1
full4,1,data_minus_sim,23842,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.568055,0.174283,126.475553,3.673522,-9.880713,0.089419,-10.87823,0.099029,4047.19829413521,-6609.34110951257,-9411.9085949147,22130.502927825,14.568055000047,126.475552999997,-9.88071299999865,-10.8782299999948,-4.70254946094428e-11,3.42481598636368e-12,-1.35003119794419e-12,-5.19939646892453e-12,1.23275984544669,1
full4,1,data_minus_sim,23842,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.571391,0.343003,189.412676,16.592742,-10.964857,0.107664,-13.335843,0.133299,6192.80685003052,-10113.1775716102,-14402.844042396,33864.5903094616,21.5713910000486,189.412675999993,-10.964856999999,-13.3358429999971,-4.86082285533485e-11,7.36122274247464e-12,-9.71667191151937e-13,-2.88835622086481e-12,1.23275984544669,1
full4,1,data_minus_sim,23842,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.888122,0.525987,25.656263,0.217889,-16.279669,0.295266,-16.366537,0.395563,-12872.2284014092,20903.921783341,29660.8099521687,-70196.4265386834,964.888121999975,25.6562630000408,-16.2796689999814,-16.3665370000381,2.51247911364771e-11,-4.0781600318951e-11,-1.86304305316298e-11,3.80779852093838e-11,1.23275984544669,1
full4,1,data_minus_sim,23844,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.412685,0.082722,132.864509,1.916171,-9.965812,0.040152,-10.307015,0.046817,4291.48145606956,-7008.0356191797,-9979.94135885898,23466.0685032926,13.4126850000393,132.864508999992,-9.96581199999491,-10.3070149999985,-3.93463039927155e-11,8.18545231595635e-12,-5.08748598804232e-12,-1.49924517245381e-12,1.23275984544669,1
full4,1,data_minus_sim,23844,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.263236,0.208748,132.645502,2.867687,-9.925241,0.107127,-6.75564,0.11637,4383.1346992243,-7156.84399451518,-10192.5612615988,23965.7918472153,6.26323600002797,132.645501999992,-9.92524099999719,-6.75563999999213,-2.79731793284554e-11,7.87281351222191e-12,-2.81374923361e-12,-7.87281351222191e-12,1.23275984544669,1
full4,1,data_minus_sim,23844,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.811912,0.156973,120.079002,2.314004,-9.649887,0.074603,-7.637423,0.083116,3902.47055751918,-6372.38405392031,-9075.05787586006,21337.96912062,8.81191200003377,120.079001999999,-9.64988699999958,-7.63742299999649,-3.37720962306776e-11,1.4210854715202e-12,-4.19220214098459e-13,-3.5118574714943e-12,1.23275984544669,1
full4,1,data_minus_sim,23844,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.911205,0.148225,125.353417,3.10565,-9.816783,0.074385,-10.955403,0.082868,4004.00576873387,-6538.86270025219,-9311.52399735046,21894.4075939649,14.9112050000258,125.353416999991,-9.81678300000203,-10.9554029999963,-2.58015830922886e-11,8.82494077814044e-12,2.03392858111329e-12,-3.70548036698892e-12,1.23275984544669,1
full4,1,data_minus_sim,23844,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.711339,0.332363,189.190617,14.456088,-10.909752,0.096751,-13.418464,0.121321,6184.69032952816,-10099.9423779573,-14383.9724551059,33820.2591772575,21.7113390000595,189.190617,-10.9097519999923,-13.4184640000021,-5.95257176883024e-11,-1.98951966012828e-13,-7.70405961247889e-12,2.1316282072803e-12,1.23275984544669,1
full4,1,data_minus_sim,23844,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.756246,0.390142,24.943414,0.15076,-15.600727,0.224131,-16.172547,0.294367,-12873.5006297437,20906.0141788446,29663.7221090928,-70203.1127148497,964.75624599983,24.9434140000085,-15.6007269999827,-16.1725469999947,1.70189196069259e-10,-8.4874329786544e-12,-1.7273293906328e-11,-5.33617594555835e-12,1.23275984544669,1
