fit_model,de0_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,det,matrix_ok
full4,1,data_minus_sim,23849,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.365838,0.294696,3.988586,0.112943,-0.576284,0.134699,-10.071908,0.136234,-49.2558991706486,96.7710179299049,65.2611213255015,-151.912310395289,19.3658380000002,3.98858599999994,-0.576283999999987,-10.071908,-1.66977542903624e-13,5.90638649100583e-14,-1.31006316905768e-14,7.105427357601e-15,3.08260781694624,1
full4,1,data_minus_sim,23849,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,10.541527,0.925988,-1.965297,0.23527,4.802919,0.297804,-6.425862,0.402583,5.61692951260748,-12.5139907816992,-7.11614912845017,20.0436652266385,10.541527,-1.96529699999999,4.802919,-6.425862,-1.59872115546023e-14,-7.54951656745106e-15,-2.66453525910038e-15,1.77635683940025e-15,3.08260781694624,1
full4,1,data_minus_sim,23849,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,13.117493,0.815898,0.682134,0.227784,1.654847,0.310792,-7.702907,0.33602,-34.7630927947443,68.3614162717534,46.2910055876548,-106.726670048861,13.1174930000002,0.682134000000076,1.65484699999996,-7.70290700000007,-1.95399252334028e-13,-7.59392548843607e-14,3.88578058618805e-14,6.75015598972095e-14,3.08260781694624,1
full4,1,data_minus_sim,23849,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,15.501274,0.754546,2.585812,0.208907,0.18456,0.293566,-9.803945,0.338664,-38.6559505572783,75.9106002492567,51.6837603842323,-119.015893631445,15.501274,2.58581200000009,0.184559999999976,-9.803945,3.37507799486048e-14,-8.92619311798626e-14,2.37032615757471e-14,-1.77635683940025e-15,3.08260781694624,1
full4,1,data_minus_sim,23849,4,b4,1,2,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,21.683814,0.701176,5.294871,0.218219,-1.429042,0.289818,-11.81723,0.339031,-52.4608152299941,102.944895122045,69.6577299890327,-161.893703610097,21.6838139999999,5.29487099999994,-1.42904199999998,-11.81723,1.31450406115619e-13,5.59552404411079e-14,-1.86517468137026e-14,-5.32907051820075e-15,3.08260781694624,1
full4,1,data_minus_sim,23849,5,b5,2,3,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,25.624646,0.66583,9.659712,0.276337,-3.836743,0.271012,-12.3718,0.349111,-10.2591399326308,17.6517301717512,13.4630177640518,-30.1689316199077,25.6246459999999,9.65971199999998,-3.836743,-12.3718,9.9475983006414e-14,1.59872115546023e-14,-1.33226762955019e-15,-2.8421709430404e-14,3.08260781694624,1
full4,1,data_minus_sim,23850,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.234531,0.276174,3.887077,0.107656,-0.770276,0.121492,-10.105921,0.131412,-59.3724772210699,117.123149317186,78.668445913668,-183.602450321496,19.2345309999995,3.88707699999998,-0.770276000000081,-10.1059209999999,5.08038056068472e-13,2.35367281220533e-14,8.08242361927114e-14,-1.47437617670221e-13,3.08260781694624,1
full4,1,data_minus_sim,23850,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,11.075022,0.769426,-1.777965,0.206645,4.397174,0.288469,-5.703749,0.304632,-7.53572858441318,13.8643373541664,10.0164772159404,-21.1176098890856,11.075022,-1.77796499999999,4.39717399999999,-5.703749,1.06581410364015e-14,-5.32907051820075e-15,7.105427357601e-15,-1.77635683940025e-15,3.08260781694624,1
full4,1,data_minus_sim,23850,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,11.098082,0.793982,1.189041,0.208835,0.860338,0.296341,-6.815612,0.326782,-25.94563450733,50.8702716460034,34.6603251165954,-79.6068844174403,11.098082,1.18904099999997,0.860338000000013,-6.81561200000002,-3.37507799486048e-14,2.53130849614536e-14,-1.28785870856518e-14,1.59872115546023e-14,3.08260781694624,1
full4,1,data_minus_sim,23850,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,17.241931,0.674502,3.014577,0.212671,-0.351215,0.288571,-10.420918,0.302394,-58.7417528564527,116.086319568739,78.1835083448916,-181.746387389994,17.2419310000001,3.01457699999992,-0.351215000000025,-10.420918,-1.35003119794419e-13,8.26005930321116e-14,2.47024622979097e-14,2.8421709430404e-14,3.08260781694624,1
full4,1,data_minus_sim,23850,4,b4,1,2,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,20.434622,0.573949,5.307053,0.201038,-1.175396,0.25223,-11.380992,0.296426,-30.4775604760299,58.8978156744605,40.6311624504874,-93.2512234908967,20.4346219999996,5.30705299999988,-1.17539600000003,-11.3809919999999,3.5171865420125e-13,1.17239551400417e-13,3.46389583683049e-14,-6.57252030578093e-14,3.08260781694624,1
full4,1,data_minus_sim,23850,5,b5,2,3,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,27.577472,0.711225,9.709577,0.269293,-4.347336,0.281666,-12.379547,0.327918,-46.2623878520952,89.8009710872756,60.8251670149015,-142.624729784205,27.5774720000002,9.70957700000002,-4.34733600000004,-12.3795470000001,-1.70530256582424e-13,-2.48689957516035e-14,4.08562073062058e-14,8.70414851306123e-14,3.08260781694624,1
full4,1,data_minus_sim,23851,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.152572,0.260336,3.857953,0.103753,-0.879353,0.117674,-9.867511,0.122684,-63.8872458731561,126.208491361532,84.5871791123716,-197.753620494348,19.152572,3.85795299999995,-0.879352999999924,-9.86751099999998,3.5527136788005e-14,4.79616346638068e-14,-7.63833440942108e-14,-2.1316282072803e-14,3.08260781694624,1
full4,1,data_minus_sim,23851,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,10.298555,0.745053,-1.800956,0.18206,3.893494,0.31285,-6.096766,0.320211,-20.2330592587826,39.4792609910701,27.0189820064882,-61.0312436705437,10.298555,-1.80095600000001,3.893494,-6.096766,-2.1316282072803e-14,1.35447209004269e-14,-3.99680288865056e-15,2.66453525910038e-15,3.08260781694624,1
full4,1,data_minus_sim,23851,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,10.792934,0.700755,0.66778,0.193478,0.613583,0.311092,-7.310744,0.317076,-52.8845325952022,105.059719723057,70.4640908866886,-163.915741670646,10.7929339999997,0.66777999999988,0.613583000000062,-7.31074399999994,2.8244073746464e-13,1.20348175869367e-13,-6.23945339839338e-14,-5.6843418860808e-14,3.08260781694624,1
full4,1,data_minus_sim,23851,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,16.70917,0.617787,2.725126,0.187754,-0.341301,0.28597,-9.433083,0.283328,-64.6622505667816,128.04981644222,85.821402067596,-200.311393021109,16.7091699999996,2.72512599999982,-0.34130099999993,-9.4330829999999,3.69482222595252e-13,1.81632486828676e-13,-6.96664947952286e-14,-1.03028696685215e-13,3.08260781694624,1
full4,1,data_minus_sim,23851,4,b4,1,2,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,20.687632,0.595168,5.38085,0.195377,-1.449179,0.257137,-11.208582,0.293767,-40.4008847916396,78.8168874678982,53.6766091527119,-124.314717069752,20.6876319999994,5.3808499999999,-1.44917900000002,-11.2085819999999,5.61328761250479e-13,1.03916875104915e-13,1.50990331349021e-14,-1.35003119794419e-13,3.08260781694624,1
full4,1,data_minus_sim,23851,5,b5,2,3,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,27.042452,0.683361,10.140147,0.263854,-4.133434,0.253429,-11.924538,0.31881,-16.1577031464972,29.3449206215708,20.9566746855829,-48.5246244206755,27.0424520000001,10.140147,-4.13343399999999,-11.924538,-5.32907051820075e-14,-1.24344978758018e-14,-6.21724893790088e-15,1.24344978758018e-14,3.08260781694624,1
