category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24082,35.751,143.812,5.46845,0.0167448,2.40812,0.0915683,61.145,1,0.9985,1.02233,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24082_-1.root",OK
positron,24584,37.947,0.3,1.01181,0.0164354,0.00493063,0.0166295,62.66,1,0.9973,1.02706,"ps6",1,79.175,78.175,80.175,"70.175-72.175;66.175-68.175","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24584_-1.root",OK
dummy,23981,39.162,106.275,4.51653,0.0144018,1.53056,0.0650464,69.512,1,0.9989,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23981_-1.root",OK
dummy,23999,35.697,96.9,4.35646,0.0157644,1.52757,0.0686769,63.504,1,0.9989,1,"ps6",1,51.425,50.425,52.425,"42.425-44.425;58.425-60.425;38.425-40.425;62.425-64.425","./Skimmed_ROOTfiles/skimmed_coin_replay_production_23999_-1.root",OK
dummy,24032,33.964,105,4.47807,0.0144691,1.51925,0.0647936,69.189,1,0.9989,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24032_-1.root",OK
dummy,24066,33.866,81.525,3.96615,0.0181282,1.4779,0.0718991,55.24,1,0.9986,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24066_-1.root",OK
dummy,24084,34.904,96.3,4.29404,0.0160014,1.54093,0.0687105,62.601,1,0.9983,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24084_-1.root",OK
dummy,24085,37.657,97.8,4.31038,0.0153019,1.49652,0.0659569,65.43,1,0.9988,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24085_-1.root",OK
dummy,24086,37.475,100.575,4.39854,0.0150543,1.51409,0.066217,66.526,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24086_-1.root",OK
positron_dummy,24585,35.815,1.35,0.653835,0.0315451,0.0425859,0.0206253,31.812,1,0.9965,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24585_-1.root",OK
positron_dummy,24587,34.654,-0.1125,0.380583,0.0422556,-0.00475376,0.0160818,23.751,1,0.9964,1,"ps6",1,63.275,62.275,64.275,"54.275-56.275;70.275-72.275;50.275-52.275;74.275-76.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24587_-1.root",OK
