setting,mode,bin,dp_idx,dp_lo,dp_hi,dpe_b1_fit,dpe_b1_fit_err,dpe_b2_fit,dpe_b2_fit_err,dpe_b3_fit,dpe_b3_fit_err,dpe_b4_fit,dpe_b4_fit_err,dpe_b5_fit,dpe_b5_fit_err,dthp_b1_fit,dthp_b1_fit_err,dthp_b2_fit,dthp_b2_fit_err,dthp_b3_fit,dthp_b3_fit_err,dthp_b4_fit,dthp_b4_fit_err,dthp_b5_fit,dthp_b5_fit_err,dthe_fit,dthe_fit_err,dpp_fit,dpp_fit_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,n_params,ndf,chi2_ndf,fit_prob,fit_valid,fit_note,cov_dthe_dthe,cov_dthe_dpe_b1,cov_dthe_dpe_b2,cov_dthe_dpe_b3,cov_dthe_dpe_b4,cov_dthe_dpe_b5,cov_dthe_dthp_b1,cov_dthe_dthp_b2,cov_dthe_dthp_b3,cov_dthe_dthp_b4,cov_dthe_dthp_b5,cov_dthe_dpp,cov_dpe_b1_dthe,cov_dpe_b1_dpe_b1,cov_dpe_b1_dpe_b2,cov_dpe_b1_dpe_b3,cov_dpe_b1_dpe_b4,cov_dpe_b1_dpe_b5,cov_dpe_b1_dthp_b1,cov_dpe_b1_dthp_b2,cov_dpe_b1_dthp_b3,cov_dpe_b1_dthp_b4,cov_dpe_b1_dthp_b5,cov_dpe_b1_dpp,cov_dpe_b2_dthe,cov_dpe_b2_dpe_b1,cov_dpe_b2_dpe_b2,cov_dpe_b2_dpe_b3,cov_dpe_b2_dpe_b4,cov_dpe_b2_dpe_b5,cov_dpe_b2_dthp_b1,cov_dpe_b2_dthp_b2,cov_dpe_b2_dthp_b3,cov_dpe_b2_dthp_b4,cov_dpe_b2_dthp_b5,cov_dpe_b2_dpp,cov_dpe_b3_dthe,cov_dpe_b3_dpe_b1,cov_dpe_b3_dpe_b2,cov_dpe_b3_dpe_b3,cov_dpe_b3_dpe_b4,cov_dpe_b3_dpe_b5,cov_dpe_b3_dthp_b1,cov_dpe_b3_dthp_b2,cov_dpe_b3_dthp_b3,cov_dpe_b3_dthp_b4,cov_dpe_b3_dthp_b5,cov_dpe_b3_dpp,cov_dpe_b4_dthe,cov_dpe_b4_dpe_b1,cov_dpe_b4_dpe_b2,cov_dpe_b4_dpe_b3,cov_dpe_b4_dpe_b4,cov_dpe_b4_dpe_b5,cov_dpe_b4_dthp_b1,cov_dpe_b4_dthp_b2,cov_dpe_b4_dthp_b3,cov_dpe_b4_dthp_b4,cov_dpe_b4_dthp_b5,cov_dpe_b4_dpp,cov_dpe_b5_dthe,cov_dpe_b5_dpe_b1,cov_dpe_b5_dpe_b2,cov_dpe_b5_dpe_b3,cov_dpe_b5_dpe_b4,cov_dpe_b5_dpe_b5,cov_dpe_b5_dthp_b1,cov_dpe_b5_dthp_b2,cov_dpe_b5_dthp_b3,cov_dpe_b5_dthp_b4,cov_dpe_b5_dthp_b5,cov_dpe_b5_dpp,cov_dthp_b1_dthe,cov_dthp_b1_dpe_b1,cov_dthp_b1_dpe_b2,cov_dthp_b1_dpe_b3,cov_dthp_b1_dpe_b4,cov_dthp_b1_dpe_b5,cov_dthp_b1_dthp_b1,cov_dthp_b1_dthp_b2,cov_dthp_b1_dthp_b3,cov_dthp_b1_dthp_b4,cov_dthp_b1_dthp_b5,cov_dthp_b1_dpp,cov_dthp_b2_dthe,cov_dthp_b2_dpe_b1,cov_dthp_b2_dpe_b2,cov_dthp_b2_dpe_b3,cov_dthp_b2_dpe_b4,cov_dthp_b2_dpe_b5,cov_dthp_b2_dthp_b1,cov_dthp_b2_dthp_b2,cov_dthp_b2_dthp_b3,cov_dthp_b2_dthp_b4,cov_dthp_b2_dthp_b5,cov_dthp_b2_dpp,cov_dthp_b3_dthe,cov_dthp_b3_dpe_b1,cov_dthp_b3_dpe_b2,cov_dthp_b3_dpe_b3,cov_dthp_b3_dpe_b4,cov_dthp_b3_dpe_b5,cov_dthp_b3_dthp_b1,cov_dthp_b3_dthp_b2,cov_dthp_b3_dthp_b3,cov_dthp_b3_dthp_b4,cov_dthp_b3_dthp_b5,cov_dthp_b3_dpp,cov_dthp_b4_dthe,cov_dthp_b4_dpe_b1,cov_dthp_b4_dpe_b2,cov_dthp_b4_dpe_b3,cov_dthp_b4_dpe_b4,cov_dthp_b4_dpe_b5,cov_dthp_b4_dthp_b1,cov_dthp_b4_dthp_b2,cov_dthp_b4_dthp_b3,cov_dthp_b4_dthp_b4,cov_dthp_b4_dthp_b5,cov_dthp_b4_dpp,cov_dthp_b5_dthe,cov_dthp_b5_dpe_b1,cov_dthp_b5_dpe_b2,cov_dthp_b5_dpe_b3,cov_dthp_b5_dpe_b4,cov_dthp_b5_dpe_b5,cov_dthp_b5_dthp_b1,cov_dthp_b5_dthp_b2,cov_dthp_b5_dthp_b3,cov_dthp_b5_dthp_b4,cov_dthp_b5_dthp_b5,cov_dthp_b5_dpp,cov_dpp_dthe,cov_dpp_dpe_b1,cov_dpp_dpe_b2,cov_dpp_dpe_b3,cov_dpp_dpe_b4,cov_dpp_dpe_b5,cov_dpp_dthp_b1,cov_dpp_dthp_b2,cov_dpp_dthp_b3,cov_dpp_dthp_b4,cov_dpp_dthp_b5,cov_dpp_dpp,end_marker
A,unconstrained,b1,1,-2.000000,-1.000000,79.186158,0.286359,79.105903,0.286370,78.753240,0.286398,78.152024,0.286411,nan,nan,109.082822,0.408571,107.899181,0.408540,106.256846,0.408643,103.567193,0.408929,nan,nan,-49.172993,0.175510,-271.256738,0.962474,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,9.771056,0.033013,10.584875,0.019120,-8.344840,0.015047,6.093132,0.026131,3.094474,0.083110,-0.035251,0.028399,1.541624,0.042407,-0.000000,0.036955,9812.318033,16,10,6,1635.386339,0.000000,1,ok_unconstrained,0.030804,-0.050254,-0.050257,-0.050262,-0.050263,nan,-0.071660,-0.071667,-0.071679,-0.071682,nan,0.168916,-0.050254,0.082001,0.081999,0.082007,0.082009,nan,0.116945,0.116939,0.116958,0.116963,nan,-0.275601,-0.050257,0.081999,0.082008,0.082011,0.082013,nan,0.116934,0.116956,0.116965,0.116970,nan,-0.275617,-0.050262,0.082007,0.082011,0.082024,0.082021,nan,0.116945,0.116956,0.116989,0.116981,nan,-0.275643,-0.050263,0.082009,0.082013,0.082021,0.082031,nan,0.116947,0.116959,0.116979,0.117005,nan,-0.275649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.071660,0.116945,0.116934,0.116945,0.116947,nan,0.166930,0.166768,0.166796,0.166802,nan,-0.393018,-0.071667,0.116939,0.116956,0.116956,0.116959,nan,0.166768,0.166905,0.166813,0.166820,nan,-0.393058,-0.071679,0.116958,0.116965,0.116989,0.116979,nan,0.166796,0.166813,0.166989,0.166847,nan,-0.393124,-0.071682,0.116963,0.116970,0.116981,0.117005,nan,0.166802,0.166820,0.166847,0.167223,nan,-0.393140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.168916,-0.275601,-0.275617,-0.275643,-0.275649,nan,-0.393018,-0.393058,-0.393124,-0.393140,nan,0.926357,done
A,unconstrained,b2,2,-1.000000,0.000000,79.186158,0.286359,79.105903,0.286370,78.753240,0.286398,78.152024,0.286411,nan,nan,109.082822,0.408571,107.899181,0.408540,106.256846,0.408643,103.567193,0.408929,nan,nan,-49.172993,0.175510,-271.256738,0.962474,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.318530,0.021922,10.462855,0.029364,11.151476,0.014264,-8.673886,0.012984,8.318530,0.021922,1.598197,0.063980,0.007330,0.021295,0.795818,0.029974,-0.000000,0.031002,9812.318033,16,10,6,1635.386339,0.000000,1,ok_unconstrained,0.030804,-0.050254,-0.050257,-0.050262,-0.050263,nan,-0.071660,-0.071667,-0.071679,-0.071682,nan,0.168916,-0.050254,0.082001,0.081999,0.082007,0.082009,nan,0.116945,0.116939,0.116958,0.116963,nan,-0.275601,-0.050257,0.081999,0.082008,0.082011,0.082013,nan,0.116934,0.116956,0.116965,0.116970,nan,-0.275617,-0.050262,0.082007,0.082011,0.082024,0.082021,nan,0.116945,0.116956,0.116989,0.116981,nan,-0.275643,-0.050263,0.082009,0.082013,0.082021,0.082031,nan,0.116947,0.116959,0.116979,0.117005,nan,-0.275649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.071660,0.116945,0.116934,0.116945,0.116947,nan,0.166930,0.166768,0.166796,0.166802,nan,-0.393018,-0.071667,0.116939,0.116956,0.116956,0.116959,nan,0.166768,0.166905,0.166813,0.166820,nan,-0.393058,-0.071679,0.116958,0.116965,0.116989,0.116979,nan,0.166796,0.166813,0.166989,0.166847,nan,-0.393124,-0.071682,0.116963,0.116970,0.116981,0.117005,nan,0.166802,0.166820,0.166847,0.167223,nan,-0.393140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.168916,-0.275601,-0.275617,-0.275643,-0.275649,nan,-0.393018,-0.393058,-0.393124,-0.393140,nan,0.926357,done
A,unconstrained,b3,3,0.000000,1.000000,79.186158,0.286359,79.105903,0.286370,78.753240,0.286398,78.152024,0.286411,nan,nan,109.082822,0.408571,107.899181,0.408540,106.256846,0.408643,103.567193,0.408929,nan,nan,-49.172993,0.175510,-271.256738,0.962474,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,13.502808,0.029955,13.641275,0.015587,-10.119803,0.013631,10.018819,0.024521,-1.434071,0.060541,0.104820,0.023730,-0.377362,0.030065,0.000000,0.034678,9812.318033,16,10,6,1635.386339,0.000000,1,ok_unconstrained,0.030804,-0.050254,-0.050257,-0.050262,-0.050263,nan,-0.071660,-0.071667,-0.071679,-0.071682,nan,0.168916,-0.050254,0.082001,0.081999,0.082007,0.082009,nan,0.116945,0.116939,0.116958,0.116963,nan,-0.275601,-0.050257,0.081999,0.082008,0.082011,0.082013,nan,0.116934,0.116956,0.116965,0.116970,nan,-0.275617,-0.050262,0.082007,0.082011,0.082024,0.082021,nan,0.116945,0.116956,0.116989,0.116981,nan,-0.275643,-0.050263,0.082009,0.082013,0.082021,0.082031,nan,0.116947,0.116959,0.116979,0.117005,nan,-0.275649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.071660,0.116945,0.116934,0.116945,0.116947,nan,0.166930,0.166768,0.166796,0.166802,nan,-0.393018,-0.071667,0.116939,0.116956,0.116956,0.116959,nan,0.166768,0.166905,0.166813,0.166820,nan,-0.393058,-0.071679,0.116958,0.116965,0.116989,0.116979,nan,0.166796,0.166813,0.166989,0.166847,nan,-0.393124,-0.071682,0.116963,0.116970,0.116981,0.117005,nan,0.166802,0.166820,0.166847,0.167223,nan,-0.393140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.168916,-0.275601,-0.275617,-0.275643,-0.275649,nan,-0.393018,-0.393058,-0.393124,-0.393140,nan,0.926357,done
A,unconstrained,b4,4,1.000000,2.000000,79.186158,0.286359,79.105903,0.286370,78.753240,0.286398,78.152024,0.286411,nan,nan,109.082822,0.408571,107.899181,0.408540,106.256846,0.408643,103.567193,0.408929,nan,nan,-49.172993,0.175510,-271.256738,0.962474,21.041620,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,18.685288,0.034205,17.885858,0.020604,-12.584788,0.015700,12.667341,0.040265,-2.356332,0.076187,-0.158257,0.031564,-1.795917,0.037530,-0.000000,0.056943,9812.318033,16,10,6,1635.386339,0.000000,1,ok_unconstrained,0.030804,-0.050254,-0.050257,-0.050262,-0.050263,nan,-0.071660,-0.071667,-0.071679,-0.071682,nan,0.168916,-0.050254,0.082001,0.081999,0.082007,0.082009,nan,0.116945,0.116939,0.116958,0.116963,nan,-0.275601,-0.050257,0.081999,0.082008,0.082011,0.082013,nan,0.116934,0.116956,0.116965,0.116970,nan,-0.275617,-0.050262,0.082007,0.082011,0.082024,0.082021,nan,0.116945,0.116956,0.116989,0.116981,nan,-0.275643,-0.050263,0.082009,0.082013,0.082021,0.082031,nan,0.116947,0.116959,0.116979,0.117005,nan,-0.275649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.071660,0.116945,0.116934,0.116945,0.116947,nan,0.166930,0.166768,0.166796,0.166802,nan,-0.393018,-0.071667,0.116939,0.116956,0.116956,0.116959,nan,0.166768,0.166905,0.166813,0.166820,nan,-0.393058,-0.071679,0.116958,0.116965,0.116989,0.116979,nan,0.166796,0.166813,0.166989,0.166847,nan,-0.393124,-0.071682,0.116963,0.116970,0.116981,0.117005,nan,0.166802,0.166820,0.166847,0.167223,nan,-0.393140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.168916,-0.275601,-0.275617,-0.275643,-0.275649,nan,-0.393018,-0.393058,-0.393124,-0.393140,nan,0.926357,done
B,unconstrained,b1,1,-2.000000,-1.000000,379.786839,0.109459,379.293679,0.109492,378.925517,0.109356,378.489015,0.109301,377.820807,0.109586,247.087300,0.083481,246.058351,0.083637,245.250349,0.082941,244.445493,0.083038,243.379319,0.086093,-189.453817,0.054460,-591.631823,0.168848,11.161092,0.462163,-1.827742,0.118095,4.380130,0.172748,9.892274,0.142104,9.472104,0.214540,-1.969990,0.101528,3.361831,0.077190,9.892319,0.141964,-1.688988,0.509531,-0.142248,0.155738,-1.018299,0.189209,0.000045,0.200866,80.751212,20,12,8,10.093901,0.000000,1,ok_unconstrained,0.002966,-0.005807,-0.005809,-0.005812,-0.005815,-0.005815,-0.003743,-0.003745,-0.003749,-0.003752,-0.003752,0.009074,-0.005807,0.011981,0.011659,0.011660,0.011660,0.011661,0.008030,0.007661,0.007661,0.007662,0.007663,-0.018232,-0.005809,0.011659,0.011988,0.011659,0.011660,0.011661,0.007658,0.008036,0.007658,0.007659,0.007660,-0.018231,-0.005812,0.011660,0.011659,0.011959,0.011661,0.011662,0.007656,0.007655,0.007999,0.007657,0.007658,-0.018231,-0.005815,0.011660,0.011660,0.011661,0.011947,0.011662,0.007654,0.007654,0.007654,0.007983,0.007656,-0.018232,-0.005815,0.011661,0.011661,0.011662,0.011662,0.012009,0.007654,0.007654,0.007655,0.007656,0.008054,-0.018234,-0.003743,0.008030,0.007658,0.007656,0.007654,0.007654,0.006969,0.005102,0.005099,0.005097,0.005098,-0.011986,-0.003745,0.007661,0.008036,0.007655,0.007654,0.007654,0.005102,0.006995,0.005096,0.005094,0.005095,-0.011985,-0.003749,0.007661,0.007658,0.007999,0.007654,0.007655,0.005099,0.005096,0.006879,0.005092,0.005092,-0.011985,-0.003752,0.007662,0.007659,0.007657,0.007983,0.007656,0.005097,0.005094,0.005092,0.006895,0.005091,-0.011986,-0.003752,0.007663,0.007660,0.007658,0.007656,0.008054,0.005098,0.005095,0.005092,0.005091,0.007412,-0.011987,0.009074,-0.018232,-0.018231,-0.018231,-0.018232,-0.018234,-0.011986,-0.011985,-0.011985,-0.011986,-0.011987,0.028510,done
B,unconstrained,b2,2,-1.000000,0.000000,379.786839,0.109459,379.293679,0.109492,378.925517,0.109356,378.489015,0.109301,377.820807,0.109586,247.087300,0.083481,246.058351,0.083637,245.250349,0.082941,244.445493,0.083038,243.379319,0.086093,-189.453817,0.054460,-591.631823,0.168848,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,13.723142,0.214251,0.821295,0.102809,1.542071,0.078404,11.620001,0.143022,1.601701,0.490333,-0.028814,0.158345,0.504729,0.193199,-0.000012,0.202363,80.751212,20,12,8,10.093901,0.000000,1,ok_unconstrained,0.002966,-0.005807,-0.005809,-0.005812,-0.005815,-0.005815,-0.003743,-0.003745,-0.003749,-0.003752,-0.003752,0.009074,-0.005807,0.011981,0.011659,0.011660,0.011660,0.011661,0.008030,0.007661,0.007661,0.007662,0.007663,-0.018232,-0.005809,0.011659,0.011988,0.011659,0.011660,0.011661,0.007658,0.008036,0.007658,0.007659,0.007660,-0.018231,-0.005812,0.011660,0.011659,0.011959,0.011661,0.011662,0.007656,0.007655,0.007999,0.007657,0.007658,-0.018231,-0.005815,0.011660,0.011660,0.011661,0.011947,0.011662,0.007654,0.007654,0.007654,0.007983,0.007656,-0.018232,-0.005815,0.011661,0.011661,0.011662,0.011662,0.012009,0.007654,0.007654,0.007655,0.007656,0.008054,-0.018234,-0.003743,0.008030,0.007658,0.007656,0.007654,0.007654,0.006969,0.005102,0.005099,0.005097,0.005098,-0.011986,-0.003745,0.007661,0.008036,0.007655,0.007654,0.007654,0.005102,0.006995,0.005096,0.005094,0.005095,-0.011985,-0.003749,0.007661,0.007658,0.007999,0.007654,0.007655,0.005099,0.005096,0.006879,0.005092,0.005092,-0.011985,-0.003752,0.007662,0.007659,0.007657,0.007983,0.007656,0.005097,0.005094,0.005092,0.006895,0.005091,-0.011986,-0.003752,0.007663,0.007660,0.007658,0.007656,0.008054,0.005098,0.005095,0.005092,0.005091,0.007412,-0.011987,0.009074,-0.018232,-0.018231,-0.018231,-0.018232,-0.018234,-0.011986,-0.011985,-0.011985,-0.011986,-0.011987,0.028510,done
B,unconstrained,b3,3,0.000000,1.000000,379.786839,0.109459,379.293679,0.109492,378.925517,0.109356,378.489015,0.109301,377.820807,0.109586,247.087300,0.083481,246.058351,0.083637,245.250349,0.082941,244.445493,0.083038,243.379319,0.086093,-189.453817,0.054460,-591.631823,0.168848,17.015062,0.389060,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,16.896698,0.206838,2.905092,0.098096,0.183554,0.076439,13.058832,0.139561,-0.118364,0.440624,0.129896,0.152408,0.357846,0.183696,-0.000054,0.197467,80.751212,20,12,8,10.093901,0.000000,1,ok_unconstrained,0.002966,-0.005807,-0.005809,-0.005812,-0.005815,-0.005815,-0.003743,-0.003745,-0.003749,-0.003752,-0.003752,0.009074,-0.005807,0.011981,0.011659,0.011660,0.011660,0.011661,0.008030,0.007661,0.007661,0.007662,0.007663,-0.018232,-0.005809,0.011659,0.011988,0.011659,0.011660,0.011661,0.007658,0.008036,0.007658,0.007659,0.007660,-0.018231,-0.005812,0.011660,0.011659,0.011959,0.011661,0.011662,0.007656,0.007655,0.007999,0.007657,0.007658,-0.018231,-0.005815,0.011660,0.011660,0.011661,0.011947,0.011662,0.007654,0.007654,0.007654,0.007983,0.007656,-0.018232,-0.005815,0.011661,0.011661,0.011662,0.011662,0.012009,0.007654,0.007654,0.007655,0.007656,0.008054,-0.018234,-0.003743,0.008030,0.007658,0.007656,0.007654,0.007654,0.006969,0.005102,0.005099,0.005097,0.005098,-0.011986,-0.003745,0.007661,0.008036,0.007655,0.007654,0.007654,0.005102,0.006995,0.005096,0.005094,0.005095,-0.011985,-0.003749,0.007661,0.007658,0.007999,0.007654,0.007655,0.005099,0.005096,0.006879,0.005092,0.005092,-0.011985,-0.003752,0.007662,0.007659,0.007657,0.007983,0.007656,0.005097,0.005094,0.005092,0.006895,0.005091,-0.011986,-0.003752,0.007663,0.007660,0.007658,0.007656,0.008054,0.005098,0.005095,0.005092,0.005091,0.007412,-0.011987,0.009074,-0.018232,-0.018231,-0.018231,-0.018232,-0.018234,-0.011986,-0.011985,-0.011985,-0.011986,-0.011987,0.028510,done
B,unconstrained,b4,4,1.000000,2.000000,379.786839,0.109459,379.293679,0.109492,378.925517,0.109356,378.489015,0.109301,377.820807,0.109586,247.087300,0.083481,246.058351,0.083637,245.250349,0.082941,244.445493,0.083038,243.379319,0.086093,-189.453817,0.054460,-591.631823,0.168848,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,20.659343,0.202935,5.375691,0.095900,-1.427137,0.075676,14.192036,0.141419,-0.284473,0.405825,0.016075,0.151835,-0.084243,0.170607,0.000013,0.200095,80.751212,20,12,8,10.093901,0.000000,1,ok_unconstrained,0.002966,-0.005807,-0.005809,-0.005812,-0.005815,-0.005815,-0.003743,-0.003745,-0.003749,-0.003752,-0.003752,0.009074,-0.005807,0.011981,0.011659,0.011660,0.011660,0.011661,0.008030,0.007661,0.007661,0.007662,0.007663,-0.018232,-0.005809,0.011659,0.011988,0.011659,0.011660,0.011661,0.007658,0.008036,0.007658,0.007659,0.007660,-0.018231,-0.005812,0.011660,0.011659,0.011959,0.011661,0.011662,0.007656,0.007655,0.007999,0.007657,0.007658,-0.018231,-0.005815,0.011660,0.011660,0.011661,0.011947,0.011662,0.007654,0.007654,0.007654,0.007983,0.007656,-0.018232,-0.005815,0.011661,0.011661,0.011662,0.011662,0.012009,0.007654,0.007654,0.007655,0.007656,0.008054,-0.018234,-0.003743,0.008030,0.007658,0.007656,0.007654,0.007654,0.006969,0.005102,0.005099,0.005097,0.005098,-0.011986,-0.003745,0.007661,0.008036,0.007655,0.007654,0.007654,0.005102,0.006995,0.005096,0.005094,0.005095,-0.011985,-0.003749,0.007661,0.007658,0.007999,0.007654,0.007655,0.005099,0.005096,0.006879,0.005092,0.005092,-0.011985,-0.003752,0.007662,0.007659,0.007657,0.007983,0.007656,0.005097,0.005094,0.005092,0.006895,0.005091,-0.011986,-0.003752,0.007663,0.007660,0.007658,0.007656,0.008054,0.005098,0.005095,0.005092,0.005091,0.007412,-0.011987,0.009074,-0.018232,-0.018231,-0.018231,-0.018232,-0.018234,-0.011986,-0.011985,-0.011985,-0.011986,-0.011987,0.028510,done
B,unconstrained,b5,5,2.000000,3.000000,379.786839,0.109459,379.293679,0.109492,378.925517,0.109356,378.489015,0.109301,377.820807,0.109586,247.087300,0.083481,246.058351,0.083637,245.250349,0.082941,244.445493,0.083038,243.379319,0.086093,-189.453817,0.054460,-591.631823,0.168848,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,26.419300,0.213606,9.157751,0.105556,-3.892827,0.080998,15.306229,0.161544,0.371528,0.424606,0.026899,0.171239,0.208474,0.174607,0.000037,0.228571,80.751212,20,12,8,10.093901,0.000000,1,ok_unconstrained,0.002966,-0.005807,-0.005809,-0.005812,-0.005815,-0.005815,-0.003743,-0.003745,-0.003749,-0.003752,-0.003752,0.009074,-0.005807,0.011981,0.011659,0.011660,0.011660,0.011661,0.008030,0.007661,0.007661,0.007662,0.007663,-0.018232,-0.005809,0.011659,0.011988,0.011659,0.011660,0.011661,0.007658,0.008036,0.007658,0.007659,0.007660,-0.018231,-0.005812,0.011660,0.011659,0.011959,0.011661,0.011662,0.007656,0.007655,0.007999,0.007657,0.007658,-0.018231,-0.005815,0.011660,0.011660,0.011661,0.011947,0.011662,0.007654,0.007654,0.007654,0.007983,0.007656,-0.018232,-0.005815,0.011661,0.011661,0.011662,0.011662,0.012009,0.007654,0.007654,0.007655,0.007656,0.008054,-0.018234,-0.003743,0.008030,0.007658,0.007656,0.007654,0.007654,0.006969,0.005102,0.005099,0.005097,0.005098,-0.011986,-0.003745,0.007661,0.008036,0.007655,0.007654,0.007654,0.005102,0.006995,0.005096,0.005094,0.005095,-0.011985,-0.003749,0.007661,0.007658,0.007999,0.007654,0.007655,0.005099,0.005096,0.006879,0.005092,0.005092,-0.011985,-0.003752,0.007662,0.007659,0.007657,0.007983,0.007656,0.005097,0.005094,0.005092,0.006895,0.005091,-0.011986,-0.003752,0.007663,0.007660,0.007658,0.007656,0.008054,0.005098,0.005095,0.005092,0.005091,0.007412,-0.011987,0.009074,-0.018232,-0.018231,-0.018231,-0.018232,-0.018234,-0.011986,-0.011985,-0.011985,-0.011986,-0.011987,0.028510,done
