setting,mode,bin,dp_idx,dp_lo,dp_hi,dpe_b1_fit,dpe_b1_fit_err,dpe_b2_fit,dpe_b2_fit_err,dpe_b3_fit,dpe_b3_fit_err,dpe_b4_fit,dpe_b4_fit_err,dpe_b5_fit,dpe_b5_fit_err,dpp_b1_fit,dpp_b1_fit_err,dpp_b2_fit,dpp_b2_fit_err,dpp_b3_fit,dpp_b3_fit_err,dpp_b4_fit,dpp_b4_fit_err,dpp_b5_fit,dpp_b5_fit_err,dthe_fit,dthe_fit_err,dthp_fit,dthp_fit_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,n_params,ndf,chi2_ndf,fit_prob,fit_valid,fit_note,cov_dthe_dthe,cov_dthe_dpe_b1,cov_dthe_dpe_b2,cov_dthe_dpe_b3,cov_dthe_dpe_b4,cov_dthe_dpe_b5,cov_dthe_dpp_b1,cov_dthe_dpp_b2,cov_dthe_dpp_b3,cov_dthe_dpp_b4,cov_dthe_dpp_b5,cov_dthe_dthp,cov_dpe_b1_dthe,cov_dpe_b1_dpe_b1,cov_dpe_b1_dpe_b2,cov_dpe_b1_dpe_b3,cov_dpe_b1_dpe_b4,cov_dpe_b1_dpe_b5,cov_dpe_b1_dpp_b1,cov_dpe_b1_dpp_b2,cov_dpe_b1_dpp_b3,cov_dpe_b1_dpp_b4,cov_dpe_b1_dpp_b5,cov_dpe_b1_dthp,cov_dpe_b2_dthe,cov_dpe_b2_dpe_b1,cov_dpe_b2_dpe_b2,cov_dpe_b2_dpe_b3,cov_dpe_b2_dpe_b4,cov_dpe_b2_dpe_b5,cov_dpe_b2_dpp_b1,cov_dpe_b2_dpp_b2,cov_dpe_b2_dpp_b3,cov_dpe_b2_dpp_b4,cov_dpe_b2_dpp_b5,cov_dpe_b2_dthp,cov_dpe_b3_dthe,cov_dpe_b3_dpe_b1,cov_dpe_b3_dpe_b2,cov_dpe_b3_dpe_b3,cov_dpe_b3_dpe_b4,cov_dpe_b3_dpe_b5,cov_dpe_b3_dpp_b1,cov_dpe_b3_dpp_b2,cov_dpe_b3_dpp_b3,cov_dpe_b3_dpp_b4,cov_dpe_b3_dpp_b5,cov_dpe_b3_dthp,cov_dpe_b4_dthe,cov_dpe_b4_dpe_b1,cov_dpe_b4_dpe_b2,cov_dpe_b4_dpe_b3,cov_dpe_b4_dpe_b4,cov_dpe_b4_dpe_b5,cov_dpe_b4_dpp_b1,cov_dpe_b4_dpp_b2,cov_dpe_b4_dpp_b3,cov_dpe_b4_dpp_b4,cov_dpe_b4_dpp_b5,cov_dpe_b4_dthp,cov_dpe_b5_dthe,cov_dpe_b5_dpe_b1,cov_dpe_b5_dpe_b2,cov_dpe_b5_dpe_b3,cov_dpe_b5_dpe_b4,cov_dpe_b5_dpe_b5,cov_dpe_b5_dpp_b1,cov_dpe_b5_dpp_b2,cov_dpe_b5_dpp_b3,cov_dpe_b5_dpp_b4,cov_dpe_b5_dpp_b5,cov_dpe_b5_dthp,cov_dpp_b1_dthe,cov_dpp_b1_dpe_b1,cov_dpp_b1_dpe_b2,cov_dpp_b1_dpe_b3,cov_dpp_b1_dpe_b4,cov_dpp_b1_dpe_b5,cov_dpp_b1_dpp_b1,cov_dpp_b1_dpp_b2,cov_dpp_b1_dpp_b3,cov_dpp_b1_dpp_b4,cov_dpp_b1_dpp_b5,cov_dpp_b1_dthp,cov_dpp_b2_dthe,cov_dpp_b2_dpe_b1,cov_dpp_b2_dpe_b2,cov_dpp_b2_dpe_b3,cov_dpp_b2_dpe_b4,cov_dpp_b2_dpe_b5,cov_dpp_b2_dpp_b1,cov_dpp_b2_dpp_b2,cov_dpp_b2_dpp_b3,cov_dpp_b2_dpp_b4,cov_dpp_b2_dpp_b5,cov_dpp_b2_dthp,cov_dpp_b3_dthe,cov_dpp_b3_dpe_b1,cov_dpp_b3_dpe_b2,cov_dpp_b3_dpe_b3,cov_dpp_b3_dpe_b4,cov_dpp_b3_dpe_b5,cov_dpp_b3_dpp_b1,cov_dpp_b3_dpp_b2,cov_dpp_b3_dpp_b3,cov_dpp_b3_dpp_b4,cov_dpp_b3_dpp_b5,cov_dpp_b3_dthp,cov_dpp_b4_dthe,cov_dpp_b4_dpe_b1,cov_dpp_b4_dpe_b2,cov_dpp_b4_dpe_b3,cov_dpp_b4_dpe_b4,cov_dpp_b4_dpe_b5,cov_dpp_b4_dpp_b1,cov_dpp_b4_dpp_b2,cov_dpp_b4_dpp_b3,cov_dpp_b4_dpp_b4,cov_dpp_b4_dpp_b5,cov_dpp_b4_dthp,cov_dpp_b5_dthe,cov_dpp_b5_dpe_b1,cov_dpp_b5_dpe_b2,cov_dpp_b5_dpe_b3,cov_dpp_b5_dpe_b4,cov_dpp_b5_dpe_b5,cov_dpp_b5_dpp_b1,cov_dpp_b5_dpp_b2,cov_dpp_b5_dpp_b3,cov_dpp_b5_dpp_b4,cov_dpp_b5_dpp_b5,cov_dpp_b5_dthp,cov_dthp_dthe,cov_dthp_dpe_b1,cov_dthp_dpe_b2,cov_dthp_dpe_b3,cov_dthp_dpe_b4,cov_dthp_dpe_b5,cov_dthp_dpp_b1,cov_dthp_dpp_b2,cov_dthp_dpp_b3,cov_dthp_dpp_b4,cov_dthp_dpp_b5,cov_dthp_dthp,end_marker
A,constrained,b1,1,-2.000000,-1.000000,-0.350316,0.004327,-0.137736,0.003729,-0.349993,0.001996,-0.834197,0.002708,nan,nan,-4.160756,0.016050,-4.951052,0.013366,-5.000000,0.000147,-5.000000,0.000124,nan,nan,-0.511787,0.002019,-5.000000,0.000029,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,10.225676,0.035210,11.210818,0.018519,-7.938439,0.022492,7.237360,0.022386,3.549094,0.084007,0.590692,0.027998,1.948025,0.045583,1.144228,0.034409,86842.377677,16,10,6,14473.729613,0.000000,1,ok_constrained_parameter_at_limit,0.000004,-0.000004,-0.000004,-0.000001,-0.000001,nan,0.000014,0.000015,0.000000,0.000000,nan,0.000000,-0.000004,0.000019,0.000004,0.000001,0.000001,nan,-0.000058,-0.000015,-0.000000,-0.000000,nan,0.000000,-0.000004,0.000004,0.000014,0.000001,0.000001,nan,-0.000015,-0.000044,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000004,0.000000,nan,-0.000003,-0.000003,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000000,0.000007,nan,-0.000002,-0.000002,-0.000000,-0.000000,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000014,-0.000058,-0.000015,-0.000003,-0.000002,nan,0.000258,0.000053,0.000000,0.000000,nan,-0.000000,0.000015,-0.000015,-0.000044,-0.000003,-0.000002,nan,0.000053,0.000179,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,done
A,constrained,b2,2,-1.000000,0.000000,-0.350316,0.004327,-0.137736,0.003729,-0.349993,0.001996,-0.834197,0.002708,nan,nan,-4.160756,0.016050,-4.951052,0.013366,-5.000000,0.000147,-5.000000,0.000124,nan,nan,-0.511787,0.002019,-5.000000,0.000029,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.318530,0.021922,8.393236,0.028760,11.369623,0.013720,-8.860831,0.016714,8.459695,0.018202,-0.471422,0.063706,0.225477,0.020934,0.608873,0.031768,0.141165,0.028494,86842.377677,16,10,6,14473.729613,0.000000,1,ok_constrained_parameter_at_limit,0.000004,-0.000004,-0.000004,-0.000001,-0.000001,nan,0.000014,0.000015,0.000000,0.000000,nan,0.000000,-0.000004,0.000019,0.000004,0.000001,0.000001,nan,-0.000058,-0.000015,-0.000000,-0.000000,nan,0.000000,-0.000004,0.000004,0.000014,0.000001,0.000001,nan,-0.000015,-0.000044,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000004,0.000000,nan,-0.000003,-0.000003,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000000,0.000007,nan,-0.000002,-0.000002,-0.000000,-0.000000,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000014,-0.000058,-0.000015,-0.000003,-0.000002,nan,0.000258,0.000053,0.000000,0.000000,nan,-0.000000,0.000015,-0.000015,-0.000044,-0.000003,-0.000002,nan,0.000053,0.000179,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,done
A,constrained,b3,3,0.000000,1.000000,-0.350316,0.004327,-0.137736,0.003729,-0.349993,0.001996,-0.834197,0.002708,nan,nan,-4.160756,0.016050,-4.951052,0.013366,-5.000000,0.000147,-5.000000,0.000124,nan,nan,-0.511787,0.002019,-5.000000,0.000029,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,10.222890,0.030222,12.970948,0.014091,-9.842197,0.015449,7.239218,0.012776,-4.713989,0.060674,-0.565507,0.022775,-0.099756,0.030931,-2.779601,0.027650,86842.377677,16,10,6,14473.729613,0.000000,1,ok_constrained_parameter_at_limit,0.000004,-0.000004,-0.000004,-0.000001,-0.000001,nan,0.000014,0.000015,0.000000,0.000000,nan,0.000000,-0.000004,0.000019,0.000004,0.000001,0.000001,nan,-0.000058,-0.000015,-0.000000,-0.000000,nan,0.000000,-0.000004,0.000004,0.000014,0.000001,0.000001,nan,-0.000015,-0.000044,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000004,0.000000,nan,-0.000003,-0.000003,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000000,0.000007,nan,-0.000002,-0.000002,-0.000000,-0.000000,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000014,-0.000058,-0.000015,-0.000003,-0.000002,nan,0.000258,0.000053,0.000000,0.000000,nan,-0.000000,0.000015,-0.000015,-0.000044,-0.000003,-0.000002,nan,0.000053,0.000179,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,done
A,constrained,b4,4,1.000000,2.000000,-0.350316,0.004327,-0.137736,0.003729,-0.349993,0.001996,-0.834197,0.002708,nan,nan,-4.160756,0.016050,-4.951052,0.013366,-5.000000,0.000147,-5.000000,0.000124,nan,nan,-0.511787,0.002019,-5.000000,0.000029,21.041620,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,14.396733,0.034730,16.389432,0.019117,-11.827436,0.016924,4.455042,0.016807,-6.644887,0.076424,-1.654683,0.030615,-1.038565,0.038058,-8.212299,0.043632,86842.377677,16,10,6,14473.729613,0.000000,1,ok_constrained_parameter_at_limit,0.000004,-0.000004,-0.000004,-0.000001,-0.000001,nan,0.000014,0.000015,0.000000,0.000000,nan,0.000000,-0.000004,0.000019,0.000004,0.000001,0.000001,nan,-0.000058,-0.000015,-0.000000,-0.000000,nan,0.000000,-0.000004,0.000004,0.000014,0.000001,0.000001,nan,-0.000015,-0.000044,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000004,0.000000,nan,-0.000003,-0.000003,-0.000000,-0.000000,nan,0.000000,-0.000001,0.000001,0.000001,0.000000,0.000007,nan,-0.000002,-0.000002,-0.000000,-0.000000,nan,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000014,-0.000058,-0.000015,-0.000003,-0.000002,nan,0.000258,0.000053,0.000000,0.000000,nan,-0.000000,0.000015,-0.000015,-0.000044,-0.000003,-0.000002,nan,0.000053,0.000179,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-0.000000,-0.000000,-0.000000,-0.000000,nan,0.000000,done
B,constrained,b1,1,-2.000000,-1.000000,-0.316184,0.110858,-0.041222,0.110860,-0.006993,0.110534,-0.075739,0.110384,-0.251367,0.110965,0.796760,0.173494,-0.368655,0.173603,-0.881505,0.173051,-1.364182,0.172708,-2.040492,0.173583,-0.947244,0.054435,-4.483171,0.074014,11.161092,0.462163,-1.827742,0.118095,4.380130,0.172748,9.892274,0.142104,19.141238,0.270461,-1.102640,0.098897,5.886313,0.108969,11.912140,0.120787,7.980146,0.535485,0.725102,0.154036,1.506183,0.204245,2.019866,0.186502,1985.091996,20,12,8,248.136500,0.000000,1,ok_constrained,0.002963,-0.005791,-0.005796,-0.005804,-0.005814,-0.005822,0.009041,0.009049,0.009061,0.009078,0.009093,-0.003743,-0.005791,0.012292,0.011571,0.011572,0.011572,0.011571,-0.019001,-0.018016,-0.018018,-0.018020,-0.018021,0.007749,-0.005796,0.011571,0.012292,0.011577,0.011577,0.011577,-0.018018,-0.019004,-0.018027,-0.018029,-0.018031,0.007745,-0.005804,0.011572,0.011577,0.012220,0.011581,0.011581,-0.018023,-0.018029,-0.018905,-0.018037,-0.018041,0.007729,-0.005814,0.011572,0.011577,0.011581,0.012187,0.011586,-0.018026,-0.018034,-0.018039,-0.018851,-0.018052,0.007708,-0.005822,0.011571,0.011577,0.011581,0.011586,0.012315,-0.018028,-0.018036,-0.018043,-0.018052,-0.019005,0.007691,0.009041,-0.019001,-0.018018,-0.018023,-0.018026,-0.018028,0.030113,0.028064,0.028071,0.028079,0.028087,-0.012014,0.009049,-0.018016,-0.019004,-0.018029,-0.018034,-0.018036,0.028064,0.030150,0.028083,0.028093,0.028101,-0.012009,0.009061,-0.018018,-0.018027,-0.018905,-0.018039,-0.018043,0.028071,0.028083,0.029959,0.028105,0.028116,-0.011986,0.009078,-0.018020,-0.018029,-0.018037,-0.018851,-0.018052,0.028079,0.028093,0.028105,0.029841,0.028136,-0.011953,0.009093,-0.018021,-0.018031,-0.018041,-0.018052,-0.019005,0.028087,0.028101,0.028116,0.028136,0.030146,-0.011923,-0.003743,0.007749,0.007745,0.007729,0.007708,0.007691,-0.012014,-0.012009,-0.011986,-0.011953,-0.011923,0.005480,done
B,constrained,b2,2,-1.000000,0.000000,-0.316184,0.110858,-0.041222,0.110860,-0.006993,0.110534,-0.075739,0.110384,-0.251367,0.110965,0.796760,0.173494,-0.368655,0.173603,-0.881505,0.173051,-1.364182,0.172708,-2.040492,0.173583,-0.947244,0.054435,-4.483171,0.074014,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,16.771068,0.267462,1.571536,0.100766,2.542267,0.110664,13.094475,0.120670,4.649627,0.515810,0.721427,0.157027,1.504925,0.208388,1.474462,0.187235,1985.091996,20,12,8,248.136500,0.000000,1,ok_constrained,0.002963,-0.005791,-0.005796,-0.005804,-0.005814,-0.005822,0.009041,0.009049,0.009061,0.009078,0.009093,-0.003743,-0.005791,0.012292,0.011571,0.011572,0.011572,0.011571,-0.019001,-0.018016,-0.018018,-0.018020,-0.018021,0.007749,-0.005796,0.011571,0.012292,0.011577,0.011577,0.011577,-0.018018,-0.019004,-0.018027,-0.018029,-0.018031,0.007745,-0.005804,0.011572,0.011577,0.012220,0.011581,0.011581,-0.018023,-0.018029,-0.018905,-0.018037,-0.018041,0.007729,-0.005814,0.011572,0.011577,0.011581,0.012187,0.011586,-0.018026,-0.018034,-0.018039,-0.018851,-0.018052,0.007708,-0.005822,0.011571,0.011577,0.011581,0.011586,0.012315,-0.018028,-0.018036,-0.018043,-0.018052,-0.019005,0.007691,0.009041,-0.019001,-0.018018,-0.018023,-0.018026,-0.018028,0.030113,0.028064,0.028071,0.028079,0.028087,-0.012014,0.009049,-0.018016,-0.019004,-0.018029,-0.018034,-0.018036,0.028064,0.030150,0.028083,0.028093,0.028101,-0.012009,0.009061,-0.018018,-0.018027,-0.018905,-0.018039,-0.018043,0.028071,0.028083,0.029959,0.028105,0.028116,-0.011986,0.009078,-0.018020,-0.018029,-0.018037,-0.018851,-0.018052,0.028079,0.028093,0.028105,0.029841,0.028136,-0.011953,0.009093,-0.018021,-0.018031,-0.018041,-0.018052,-0.019005,0.028087,0.028101,0.028116,0.028136,0.030146,-0.011923,-0.003743,0.007749,0.007745,0.007729,0.007708,0.007691,-0.012014,-0.012009,-0.011986,-0.011953,-0.011923,0.005480,done
B,constrained,b3,3,0.000000,1.000000,-0.316184,0.110858,-0.041222,0.110860,-0.006993,0.110534,-0.075739,0.110384,-0.251367,0.110965,0.796760,0.173494,-0.368655,0.173603,-0.881505,0.173051,-1.364182,0.172708,-2.040492,0.173583,-0.947244,0.054435,-4.483171,0.074014,17.015062,0.389060,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,16.476010,0.252502,3.239441,0.096885,0.750517,0.105787,13.241662,0.116053,-0.539052,0.463816,0.464245,0.151631,0.924809,0.197718,0.182776,0.181615,1985.091996,20,12,8,248.136500,0.000000,1,ok_constrained,0.002963,-0.005791,-0.005796,-0.005804,-0.005814,-0.005822,0.009041,0.009049,0.009061,0.009078,0.009093,-0.003743,-0.005791,0.012292,0.011571,0.011572,0.011572,0.011571,-0.019001,-0.018016,-0.018018,-0.018020,-0.018021,0.007749,-0.005796,0.011571,0.012292,0.011577,0.011577,0.011577,-0.018018,-0.019004,-0.018027,-0.018029,-0.018031,0.007745,-0.005804,0.011572,0.011577,0.012220,0.011581,0.011581,-0.018023,-0.018029,-0.018905,-0.018037,-0.018041,0.007729,-0.005814,0.011572,0.011577,0.011581,0.012187,0.011586,-0.018026,-0.018034,-0.018039,-0.018851,-0.018052,0.007708,-0.005822,0.011571,0.011577,0.011581,0.011586,0.012315,-0.018028,-0.018036,-0.018043,-0.018052,-0.019005,0.007691,0.009041,-0.019001,-0.018018,-0.018023,-0.018026,-0.018028,0.030113,0.028064,0.028071,0.028079,0.028087,-0.012014,0.009049,-0.018016,-0.019004,-0.018029,-0.018034,-0.018036,0.028064,0.030150,0.028083,0.028093,0.028101,-0.012009,0.009061,-0.018018,-0.018027,-0.018905,-0.018039,-0.018043,0.028071,0.028083,0.029959,0.028105,0.028116,-0.011986,0.009078,-0.018020,-0.018029,-0.018037,-0.018851,-0.018052,0.028079,0.028093,0.028105,0.029841,0.028136,-0.011953,0.009093,-0.018021,-0.018031,-0.018041,-0.018052,-0.019005,0.028087,0.028101,0.028116,0.028136,0.030146,-0.011923,-0.003743,0.007749,0.007745,0.007729,0.007708,0.007691,-0.012014,-0.012009,-0.011986,-0.011953,-0.011923,0.005480,done
B,constrained,b4,4,1.000000,2.000000,-0.316184,0.110858,-0.041222,0.110860,-0.006993,0.110534,-0.075739,0.110384,-0.251367,0.110965,0.796760,0.173494,-0.368655,0.173603,-0.881505,0.173051,-1.364182,0.172708,-2.040492,0.173583,-0.947244,0.054435,-4.483171,0.074014,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,17.068605,0.241579,5.380665,0.094884,-1.308371,0.101765,12.946052,0.114953,-3.875211,0.426464,0.021049,0.151195,0.034523,0.183674,-1.245971,0.182354,1985.091996,20,12,8,248.136500,0.000000,1,ok_constrained,0.002963,-0.005791,-0.005796,-0.005804,-0.005814,-0.005822,0.009041,0.009049,0.009061,0.009078,0.009093,-0.003743,-0.005791,0.012292,0.011571,0.011572,0.011572,0.011571,-0.019001,-0.018016,-0.018018,-0.018020,-0.018021,0.007749,-0.005796,0.011571,0.012292,0.011577,0.011577,0.011577,-0.018018,-0.019004,-0.018027,-0.018029,-0.018031,0.007745,-0.005804,0.011572,0.011577,0.012220,0.011581,0.011581,-0.018023,-0.018029,-0.018905,-0.018037,-0.018041,0.007729,-0.005814,0.011572,0.011577,0.011581,0.012187,0.011586,-0.018026,-0.018034,-0.018039,-0.018851,-0.018052,0.007708,-0.005822,0.011571,0.011577,0.011581,0.011586,0.012315,-0.018028,-0.018036,-0.018043,-0.018052,-0.019005,0.007691,0.009041,-0.019001,-0.018018,-0.018023,-0.018026,-0.018028,0.030113,0.028064,0.028071,0.028079,0.028087,-0.012014,0.009049,-0.018016,-0.019004,-0.018029,-0.018034,-0.018036,0.028064,0.030150,0.028083,0.028093,0.028101,-0.012009,0.009061,-0.018018,-0.018027,-0.018905,-0.018039,-0.018043,0.028071,0.028083,0.029959,0.028105,0.028116,-0.011986,0.009078,-0.018020,-0.018029,-0.018037,-0.018851,-0.018052,0.028079,0.028093,0.028105,0.029841,0.028136,-0.011953,0.009093,-0.018021,-0.018031,-0.018041,-0.018052,-0.019005,0.028087,0.028101,0.028116,0.028136,0.030146,-0.011923,-0.003743,0.007749,0.007745,0.007729,0.007708,0.007691,-0.012014,-0.012009,-0.011986,-0.011953,-0.011923,0.005480,done
B,constrained,b5,5,2.000000,3.000000,-0.316184,0.110858,-0.041222,0.110860,-0.006993,0.110534,-0.075739,0.110384,-0.251367,0.110965,0.796760,0.173494,-0.368655,0.173603,-0.881505,0.173051,-1.364182,0.172708,-2.040492,0.173583,-0.947244,0.054435,-4.483171,0.074014,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,18.582518,0.256085,8.829725,0.103992,-4.485838,0.109036,12.190851,0.126168,-7.465254,0.447484,-0.301127,0.170279,-0.384537,0.189251,-3.115341,0.205101,1985.091996,20,12,8,248.136500,0.000000,1,ok_constrained,0.002963,-0.005791,-0.005796,-0.005804,-0.005814,-0.005822,0.009041,0.009049,0.009061,0.009078,0.009093,-0.003743,-0.005791,0.012292,0.011571,0.011572,0.011572,0.011571,-0.019001,-0.018016,-0.018018,-0.018020,-0.018021,0.007749,-0.005796,0.011571,0.012292,0.011577,0.011577,0.011577,-0.018018,-0.019004,-0.018027,-0.018029,-0.018031,0.007745,-0.005804,0.011572,0.011577,0.012220,0.011581,0.011581,-0.018023,-0.018029,-0.018905,-0.018037,-0.018041,0.007729,-0.005814,0.011572,0.011577,0.011581,0.012187,0.011586,-0.018026,-0.018034,-0.018039,-0.018851,-0.018052,0.007708,-0.005822,0.011571,0.011577,0.011581,0.011586,0.012315,-0.018028,-0.018036,-0.018043,-0.018052,-0.019005,0.007691,0.009041,-0.019001,-0.018018,-0.018023,-0.018026,-0.018028,0.030113,0.028064,0.028071,0.028079,0.028087,-0.012014,0.009049,-0.018016,-0.019004,-0.018029,-0.018034,-0.018036,0.028064,0.030150,0.028083,0.028093,0.028101,-0.012009,0.009061,-0.018018,-0.018027,-0.018905,-0.018039,-0.018043,0.028071,0.028083,0.029959,0.028105,0.028116,-0.011986,0.009078,-0.018020,-0.018029,-0.018037,-0.018851,-0.018052,0.028079,0.028093,0.028105,0.029841,0.028136,-0.011953,0.009093,-0.018021,-0.018031,-0.018041,-0.018052,-0.019005,0.028087,0.028101,0.028116,0.028136,0.030146,-0.011923,-0.003743,0.007749,0.007745,0.007729,0.007708,0.007691,-0.012014,-0.012009,-0.011986,-0.011953,-0.011923,0.005480,done
