run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu_GeV,dmu_err_GeV,dmu_MeV,dmu_err_MeV,fit_valid
23839,0,full,-10.000000,20.000000,W,0.910204,1.010681,61420.000000,202.477405,303.342489,90644.000000,95136.000000,0.957620,0.000093,0.021214,0.000089,0,1204.319676,12,0.945327,0.000057,0.013600,0.000047,0,1401.708591,8,0.012293,0.000109,12.293329,0.108912,1
23839,0,full,-10.000000,20.000000,Em,0.003621,0.032317,51661.000000,162.685944,317.550482,90644.000000,95136.000000,0.017489,0.000037,0.006823,0.000035,0,1347.824113,11,0.005647,0.000016,0.003384,0.000013,0,2583.339924,8,0.011842,0.000040,11.841865,0.039806,1
23839,0,full,-10.000000,20.000000,Pmz,-0.054955,0.018162,61660.000000,205.874800,299.502416,90644.000000,95136.000000,-0.013788,0.000046,0.009643,0.000047,0,5749.202101,9,-0.005253,0.000027,0.006067,0.000020,0,5178.062234,6,-0.008535,0.000054,-8.535019,0.053759,1
23839,0,full,-10.000000,20.000000,Pmy,-0.022325,0.039168,75945.000000,259.091408,293.120489,90644.000000,95136.000000,0.008385,0.000040,0.010679,0.000037,0,1569.595609,8,-0.000725,0.000022,0.006433,0.000017,0,62.773445,5,0.009110,0.000045,9.110019,0.045338,1
23839,1,b1,-2.000000,-1.000000,W,0.903795,1.006393,9322.000000,41.400083,225.168633,13280.000000,21789.000000,0.952681,0.000269,0.022074,0.000246,0,287.034900,12,0.946604,0.000128,0.015242,0.000110,0,575.709121,9,0.006077,0.000298,6.076561,0.298431,1
23839,1,b1,-2.000000,-1.000000,Em,0.001918,0.030280,6825.000000,34.779484,196.236378,13280.000000,21789.000000,0.014863,0.000080,0.005373,0.000074,0,374.911542,11,0.006038,0.000031,0.003338,0.000025,0,738.357096,8,0.008825,0.000086,8.825468,0.085937,1
23839,1,b1,-2.000000,-1.000000,Pmz,-0.058921,0.018122,8790.000000,42.355573,207.528773,13280.000000,21789.000000,-0.014448,0.000149,0.010002,0.000146,0,1404.858594,10,-0.005869,0.000058,0.006607,0.000045,0,1872.477551,7,-0.008579,0.000160,-8.579091,0.159808,1
23839,1,b1,-2.000000,-1.000000,Pmy,-0.023878,0.035951,10989.000000,49.074576,223.924501,13280.000000,21789.000000,0.005807,0.000094,0.009687,0.000089,0,237.032131,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006032,0.000103,6.031968,0.103345,1
23839,2,b2,-1.000000,0.000000,W,0.906138,1.003523,16316.000000,61.521432,265.208392,20288.000000,24193.000000,0.953065,0.000191,0.021583,0.000190,0,387.872505,11,0.945509,0.000103,0.013617,0.000085,0,735.973734,9,0.007556,0.000217,7.556202,0.216741,1
23839,2,b2,-1.000000,0.000000,Em,0.002254,0.029572,13764.000000,49.294019,279.222513,20288.000000,24193.000000,0.014935,0.000057,0.005498,0.000050,0,643.761242,11,0.005530,0.000025,0.003159,0.000021,0,646.932141,7,0.009406,0.000062,9.405582,0.061951,1
23839,2,b2,-1.000000,0.000000,Pmz,-0.052465,0.017777,16586.000000,62.438500,265.637388,20288.000000,24193.000000,-0.013252,0.000090,0.009515,0.000094,0,1798.210142,9,-0.005177,0.000047,0.005832,0.000032,0,1749.053969,6,-0.008075,0.000101,-8.075476,0.100934,1
23839,2,b2,-1.000000,0.000000,Pmy,-0.020053,0.035008,18117.000000,66.879036,270.892061,20288.000000,24193.000000,0.007425,0.000071,0.009332,0.000065,0,211.179034,6,-0.000854,0.000040,0.006181,0.000030,0,8.051835,5,0.008279,0.000082,8.278637,0.082030,1
23839,3,b3,0.000000,1.000000,W,0.912470,1.008781,18859.000000,58.459643,322.598615,21681.000000,17090.000000,0.958137,0.000157,0.019567,0.000155,0,270.364091,10,0.944753,0.000107,0.012555,0.000096,0,155.950821,6,0.013383,0.000190,13.383496,0.190347,1
23839,3,b3,0.000000,1.000000,Em,0.003660,0.032067,16764.000000,47.723064,351.276687,21681.000000,17090.000000,0.017207,0.000061,0.006435,0.000060,0,644.279291,11,0.005491,0.000031,0.003366,0.000025,0,357.181009,7,0.011715,0.000068,11.715197,0.068456,1
23839,3,b3,0.000000,1.000000,Pmz,-0.049534,0.017153,19187.000000,58.441747,328.309830,21681.000000,17090.000000,-0.013342,0.000084,0.010120,0.000082,0,1121.966155,8,-0.004939,0.000052,0.005783,0.000036,0,833.786610,5,-0.008403,0.000099,-8.402827,0.098946,1
23839,3,b3,0.000000,1.000000,Pmy,-0.018357,0.036023,19594.000000,59.305980,330.388267,21681.000000,17090.000000,0.008898,0.000073,0.009842,0.000066,0,177.489058,6,-0.001006,0.000050,0.006460,0.000037,0,14.970839,5,0.009903,0.000089,9.903269,0.088704,1
23839,4,b4,1.000000,2.000000,W,0.924383,1.002865,12953.000000,23.035610,562.303321,14310.000000,5564.000000,0.962838,0.000148,0.016066,0.000139,0,182.839795,9,0.943278,0.000170,0.011700,0.000143,0,9.712906,5,0.019560,0.000226,19.559549,0.225517,1
23839,4,b4,1.000000,2.000000,Em,0.008458,0.035407,12065.000000,6.632135,1819.172903,14310.000000,5564.000000,0.021622,0.000062,0.006162,0.000057,0,156.329304,11,0.005406,0.000054,0.003668,0.000046,0,49.963137,7,0.016216,0.000082,16.216247,0.082327,1
23839,4,b4,1.000000,2.000000,Pmz,-0.044113,0.012135,13247.000000,23.719513,558.485329,14310.000000,5564.000000,-0.014235,0.000078,0.008278,0.000074,0,485.256843,6,-0.004707,0.000082,0.005670,0.000059,0,123.683140,5,-0.009528,0.000113,-9.527734,0.113178,1
23839,4,b4,1.000000,2.000000,Pmy,-0.014922,0.039223,12869.000000,23.544503,546.581941,14310.000000,5564.000000,0.012267,0.000093,0.010071,0.000082,0,72.124707,6,-0.000365,0.000097,0.007191,0.000075,0,8.326839,5,0.012633,0.000134,12.632670,0.134459,1
23839,5,b5,2.000000,3.000000,W,0.923900,1.000286,655.000000,0.000000,1.000000,787.000000,0.000000,0.963203,0.000551,0.013371,0.000550,0,26.041301,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23839,5,b5,2.000000,3.000000,Em,0.010440,0.035788,630.000000,0.000000,1.000000,787.000000,0.000000,0.023724,0.000230,0.005401,0.000208,0,7.635735,10,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23839,5,b5,2.000000,3.000000,Pmz,-0.044882,0.016753,644.000000,0.000000,1.000000,787.000000,0.000000,-0.015676,0.000327,0.007959,0.000351,0,38.438187,7,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23839,5,b5,2.000000,3.000000,Pmy,-0.015617,0.048799,625.000000,0.000000,1.000000,787.000000,0.000000,0.017201,0.000483,0.011618,0.000404,0,13.684011,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23840,0,full,-10.000000,20.000000,W,0.911130,1.011740,190205.000000,202.477405,939.388767,282420.000000,95136.000000,0.958690,0.000052,0.021169,0.000050,0,3363.245917,12,0.945327,0.000057,0.013600,0.000047,0,1401.708591,8,0.013364,0.000078,13.363950,0.077681,1
23840,0,full,-10.000000,20.000000,Em,0.005039,0.034215,161484.000000,133.623838,1208.496941,282420.000000,95136.000000,0.019061,0.000021,0.007016,0.000021,0,3772.333495,11,0.005647,0.000016,0.003384,0.000013,0,2583.339924,8,0.013414,0.000026,13.413810,0.026307,1
23840,0,full,-10.000000,20.000000,Pmz,-0.055634,0.016899,190339.000000,205.874800,924.537631,282420.000000,95136.000000,-0.014974,0.000026,0.009722,0.000027,0,16811.920167,9,-0.005253,0.000027,0.006067,0.000020,0,5178.062234,6,-0.009721,0.000038,-9.721071,0.038138,1
23840,0,full,-10.000000,20.000000,Pmy,-0.022593,0.039523,235868.000000,259.091408,910.365968,282420.000000,95136.000000,0.008433,0.000023,0.010784,0.000022,0,5008.251740,8,-0.000725,0.000022,0.006433,0.000017,0,62.773445,5,0.009159,0.000032,9.158502,0.031635,1
23840,1,b1,-2.000000,-1.000000,W,0.904062,1.010131,29491.000000,41.400083,712.341573,42105.000000,21789.000000,0.953572,0.000150,0.022539,0.000145,0,1142.796358,13,0.946604,0.000128,0.015242,0.000110,0,575.709121,9,0.006968,0.000197,6.967559,0.197389,1
23840,1,b1,-2.000000,-1.000000,Em,0.003823,0.030917,21481.000000,32.391463,663.168571,42105.000000,21789.000000,0.016415,0.000043,0.005393,0.000040,0,658.122723,10,0.006038,0.000031,0.003338,0.000025,0,738.357096,8,0.010377,0.000053,10.377317,0.052950,1
23840,1,b1,-2.000000,-1.000000,Pmz,-0.062937,0.018387,28700.000000,43.058421,666.536289,42105.000000,21789.000000,-0.015343,0.000077,0.009780,0.000079,0,4298.615196,10,-0.005869,0.000058,0.006607,0.000045,0,1872.477551,7,-0.009474,0.000097,-9.474113,0.097030,1
23840,1,b1,-2.000000,-1.000000,Pmy,-0.024641,0.036272,35516.000000,49.076705,723.683463,42105.000000,21789.000000,0.005950,0.000053,0.009609,0.000050,0,765.492192,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006175,0.000067,6.174759,0.067402,1
23840,2,b2,-1.000000,0.000000,W,0.906217,1.007823,51353.000000,62.247354,824.982858,63382.000000,24193.000000,0.954082,0.000106,0.021242,0.000104,0,1064.954295,11,0.945509,0.000103,0.013617,0.000085,0,735.973734,9,0.008573,0.000148,8.572978,0.147714,1
23840,2,b2,-1.000000,0.000000,Em,0.003895,0.030763,43388.000000,49.842018,870.510506,63382.000000,24193.000000,0.016463,0.000032,0.005562,0.000029,0,1384.131633,10,0.005530,0.000025,0.003159,0.000021,0,646.932141,7,0.010933,0.000041,10.932950,0.040679,1
23840,2,b2,-1.000000,0.000000,Pmz,-0.056366,0.017404,52673.000000,63.224036,833.116700,63382.000000,24193.000000,-0.014510,0.000052,0.009633,0.000052,0,5237.136881,9,-0.005177,0.000047,0.005832,0.000032,0,1749.053969,6,-0.009333,0.000070,-9.332977,0.069516,1
23840,2,b2,-1.000000,0.000000,Pmy,-0.019516,0.034606,56506.000000,66.879036,844.898536,63382.000000,24193.000000,0.007492,0.000041,0.009360,0.000038,0,776.927068,6,-0.000854,0.000040,0.006181,0.000030,0,8.051835,5,0.008345,0.000057,8.345300,0.057205,1
23840,3,b3,0.000000,1.000000,W,0.913603,1.009918,58690.000000,58.459643,1003.940439,67769.000000,17090.000000,0.959603,0.000090,0.020210,0.000089,0,1042.578493,11,0.944753,0.000107,0.012555,0.000096,0,155.950821,6,0.014849,0.000140,14.849177,0.140135,1
23840,3,b3,0.000000,1.000000,Em,0.005172,0.033872,51428.000000,38.143633,1348.272208,67769.000000,17090.000000,0.018825,0.000035,0.006638,0.000035,0,1630.485261,11,0.005491,0.000031,0.003366,0.000025,0,357.181009,7,0.013334,0.000047,13.333797,0.046546,1
23840,3,b3,0.000000,1.000000,Pmz,-0.052202,0.016564,59753.000000,58.441747,1022.436925,67769.000000,17090.000000,-0.014563,0.000048,0.010171,0.000047,0,4454.087083,9,-0.004939,0.000052,0.005783,0.000036,0,833.786610,5,-0.009624,0.000071,-9.623921,0.070919,1
23840,3,b3,0.000000,1.000000,Pmy,-0.018449,0.036431,61148.000000,59.305980,1031.059597,67769.000000,17090.000000,0.009027,0.000042,0.009988,0.000038,0,447.209531,6,-0.001006,0.000050,0.006460,0.000037,0,14.970839,5,0.010032,0.000065,10.032084,0.065362,1
23840,4,b4,1.000000,2.000000,W,0.925931,1.003766,39229.000000,23.035610,1702.972052,43377.000000,5564.000000,0.964254,0.000086,0.015876,0.000081,0,317.089956,8,0.943278,0.000170,0.011700,0.000143,0,9.712906,5,0.020976,0.000190,20.975933,0.190481,1
23840,4,b4,1.000000,2.000000,Em,0.009829,0.037520,36969.000000,6.698610,5518.905945,43377.000000,5564.000000,0.023380,0.000037,0.006352,0.000036,0,529.022852,11,0.005406,0.000054,0.003668,0.000046,0,49.963137,7,0.017974,0.000065,17.973777,0.065461,1
23840,4,b4,1.000000,2.000000,Pmz,-0.045180,0.011258,39823.000000,23.711129,1679.506670,43377.000000,5564.000000,-0.015404,0.000047,0.008610,0.000044,0,1866.053785,7,-0.004707,0.000082,0.005670,0.000059,0,123.683140,5,-0.010697,0.000095,-10.697048,0.094720,1
23840,4,b4,1.000000,2.000000,Pmy,-0.015789,0.040355,38872.000000,23.544503,1651.001104,43377.000000,5564.000000,0.012365,0.000055,0.010572,0.000049,0,413.109953,7,-0.000365,0.000097,0.007191,0.000075,0,8.326839,5,0.012730,0.000112,12.730378,0.111824,1
23840,5,b5,2.000000,3.000000,W,0.928741,0.998946,1750.000000,0.000000,1.000000,2118.000000,0.000000,0.964076,0.000363,0.014143,0.000311,0,15.396044,7,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23840,5,b5,2.000000,3.000000,Em,0.012389,0.036285,1677.000000,0.000000,1.000000,2118.000000,0.000000,0.024962,0.000135,0.005057,0.000123,0,26.383665,9,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23840,5,b5,2.000000,3.000000,Pmz,-0.046451,0.015428,1737.000000,0.000000,1.000000,2118.000000,0.000000,-0.016175,0.000198,0.007988,0.000191,0,83.998698,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23840,5,b5,2.000000,3.000000,Pmy,-0.015621,0.050707,1634.000000,0.000000,1.000000,2118.000000,0.000000,0.018110,0.000296,0.011538,0.000273,0,24.549674,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0
23841,0,full,-10.000000,20.000000,W,0.911091,1.011695,48387.000000,202.477405,238.974813,71932.000000,95136.000000,0.958675,0.000104,0.021136,0.000099,0,889.555693,12,0.945327,0.000057,0.013600,0.000047,0,1401.708591,8,0.013348,0.000118,13.348498,0.118499,1
23841,0,full,-10.000000,20.000000,Em,0.005407,0.034387,41202.000000,133.623838,308.343185,71932.000000,95136.000000,0.019343,0.000042,0.006959,0.000041,0,996.808443,11,0.005647,0.000016,0.003384,0.000013,0,2583.339924,8,0.013696,0.000045,13.696492,0.044503,1
23841,0,full,-10.000000,20.000000,Pmz,-0.055538,0.016417,48504.000000,205.874800,235.599500,71932.000000,95136.000000,-0.015309,0.000053,0.009766,0.000053,0,4237.497207,9,-0.005253,0.000027,0.006067,0.000020,0,5178.062234,6,-0.010057,0.000060,-10.056647,0.059902,1
23841,0,full,-10.000000,20.000000,Pmy,-0.022689,0.039409,60214.000000,259.091408,232.404465,71932.000000,95136.000000,0.008285,0.000045,0.010794,0.000043,0,1312.473575,8,-0.000725,0.000022,0.006433,0.000017,0,62.773445,5,0.009010,0.000050,9.010021,0.050149,1
23841,1,b1,-2.000000,-1.000000,W,0.905036,1.006064,7631.000000,41.400083,184.323303,10847.000000,21789.000000,0.953397,0.000292,0.022073,0.000300,0,204.831383,11,0.946604,0.000128,0.015242,0.000110,0,575.709121,9,0.006793,0.000319,6.792557,0.319260,1
23841,1,b1,-2.000000,-1.000000,Em,0.004089,0.031233,5556.000000,27.095950,205.049093,10847.000000,21789.000000,0.016741,0.000089,0.005489,0.000084,0,293.233411,11,0.006038,0.000031,0.003338,0.000025,0,738.357096,8,0.010703,0.000094,10.703281,0.093865,1
23841,1,b1,-2.000000,-1.000000,Pmz,-0.062762,0.017831,7395.000000,43.058421,171.743410,10847.000000,21789.000000,-0.015999,0.000177,0.010067,0.000171,0,1118.086777,10,-0.005869,0.000058,0.006607,0.000045,0,1872.477551,7,-0.010130,0.000186,-10.130334,0.186412,1
23841,1,b1,-2.000000,-1.000000,Pmy,-0.024476,0.035811,9093.000000,49.076705,185.281387,10847.000000,21789.000000,0.005785,0.000104,0.009567,0.000099,0,230.771511,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006010,0.000112,6.009902,0.111910,1
23841,2,b2,-1.000000,0.000000,W,0.905846,1.008627,13076.000000,62.247354,210.065154,16131.000000,24193.000000,0.954357,0.000212,0.021434,0.000207,0,248.575053,11,0.945509,0.000103,0.013617,0.000085,0,735.973734,9,0.008848,0.000236,8.848345,0.235865,1
23841,2,b2,-1.000000,0.000000,Em,0.003990,0.031980,10979.000000,49.842018,220.275994,16131.000000,24193.000000,0.016907,0.000065,0.005746,0.000060,0,472.837191,11,0.005530,0.000025,0.003159,0.000021,0,646.932141,7,0.011377,0.000070,11.377082,0.070052,1
23841,2,b2,-1.000000,0.000000,Pmz,-0.056517,0.016927,13404.000000,63.224036,212.007979,16131.000000,24193.000000,-0.014840,0.000104,0.009748,0.000105,0,1328.654552,9,-0.005177,0.000047,0.005832,0.000032,0,1749.053969,6,-0.009664,0.000114,-9.663650,0.114085,1
23841,2,b2,-1.000000,0.000000,Pmy,-0.019610,0.034706,14314.000000,66.879036,214.028203,16131.000000,24193.000000,0.007381,0.000079,0.009256,0.000071,0,140.994512,6,-0.000854,0.000040,0.006181,0.000030,0,8.051835,5,0.008235,0.000089,8.234540,0.089085,1
23841,3,b3,0.000000,1.000000,W,0.913577,1.009861,15013.000000,58.459643,256.809641,17352.000000,17090.000000,0.959571,0.000177,0.019998,0.000175,0,294.660589,11,0.944753,0.000107,0.012555,0.000096,0,155.950821,6,0.014818,0.000207,14.817943,0.207100,1
23841,3,b3,0.000000,1.000000,Em,0.005655,0.034102,13586.000000,38.541564,352.502559,17352.000000,17090.000000,0.019160,0.000067,0.006425,0.000065,0,483.908648,11,0.005491,0.000031,0.003366,0.000025,0,357.181009,7,0.013669,0.000074,13.668670,0.073979,1
23841,3,b3,0.000000,1.000000,Pmz,-0.052212,0.016058,15340.000000,58.441747,262.483598,17352.000000,17090.000000,-0.014857,0.000092,0.010027,0.000088,0,1119.881918,9,-0.004939,0.000052,0.005783,0.000036,0,833.786610,5,-0.009918,0.000106,-9.917673,0.106071,1
23841,3,b3,0.000000,1.000000,Pmy,-0.018492,0.036495,15709.000000,59.305980,264.880539,17352.000000,17090.000000,0.008999,0.000083,0.009999,0.000076,0,144.362697,6,-0.001006,0.000050,0.006460,0.000037,0,14.970839,5,0.010005,0.000097,10.004860,0.097150,1
23841,4,b4,1.000000,2.000000,W,0.925925,1.004193,9691.000000,23.035610,420.696478,10744.000000,5564.000000,0.964305,0.000173,0.015882,0.000165,0,100.863986,8,0.943278,0.000170,0.011700,0.000143,0,9.712906,5,0.021027,0.000243,21.026587,0.242743,1
23841,4,b4,1.000000,2.000000,Em,0.010149,0.037635,9063.000000,3.945909,2296.809064,10744.000000,5564.000000,0.023604,0.000073,0.006263,0.000068,0,105.890468,11,0.005406,0.000054,0.003668,0.000046,0,49.963137,7,0.018198,0.000091,18.197802,0.090801,1
23841,4,b4,1.000000,2.000000,Pmz,-0.044646,0.010628,9889.000000,23.711129,417.061534,10744.000000,5564.000000,-0.015644,0.000093,0.008525,0.000087,0,322.556032,6,-0.004707,0.000082,0.005670,0.000059,0,123.683140,5,-0.010937,0.000124,-10.936529,0.124080,1
23841,4,b4,1.000000,2.000000,Pmy,-0.016050,0.039846,9700.000000,23.544503,411.985766,10744.000000,5564.000000,0.012212,0.000109,0.010503,0.000098,0,122.678421,7,-0.000365,0.000097,0.007191,0.000075,0,8.326839,5,0.012578,0.000146,12.577886,0.146471,1
