setting,mode,bin,dp_idx,dp_lo,dp_hi,dthe_b1_fit,dthe_b1_fit_err,dthe_b2_fit,dthe_b2_fit_err,dthe_b3_fit,dthe_b3_fit_err,dthe_b4_fit,dthe_b4_fit_err,dthe_b5_fit,dthe_b5_fit_err,dpe_b1_fit,dpe_b1_fit_err,dpe_b2_fit,dpe_b2_fit_err,dpe_b3_fit,dpe_b3_fit_err,dpe_b4_fit,dpe_b4_fit_err,dpe_b5_fit,dpe_b5_fit_err,dthp_fit,dthp_fit_err,dpp_fit,dpp_fit_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,n_params,ndf,chi2_ndf,fit_prob,fit_valid,fit_note,cov_dthe_b1_dthe_b1,cov_dthe_b1_dthe_b2,cov_dthe_b1_dthe_b3,cov_dthe_b1_dthe_b4,cov_dthe_b1_dthe_b5,cov_dthe_b1_dpe_b1,cov_dthe_b1_dpe_b2,cov_dthe_b1_dpe_b3,cov_dthe_b1_dpe_b4,cov_dthe_b1_dpe_b5,cov_dthe_b1_dthp,cov_dthe_b1_dpp,cov_dthe_b2_dthe_b1,cov_dthe_b2_dthe_b2,cov_dthe_b2_dthe_b3,cov_dthe_b2_dthe_b4,cov_dthe_b2_dthe_b5,cov_dthe_b2_dpe_b1,cov_dthe_b2_dpe_b2,cov_dthe_b2_dpe_b3,cov_dthe_b2_dpe_b4,cov_dthe_b2_dpe_b5,cov_dthe_b2_dthp,cov_dthe_b2_dpp,cov_dthe_b3_dthe_b1,cov_dthe_b3_dthe_b2,cov_dthe_b3_dthe_b3,cov_dthe_b3_dthe_b4,cov_dthe_b3_dthe_b5,cov_dthe_b3_dpe_b1,cov_dthe_b3_dpe_b2,cov_dthe_b3_dpe_b3,cov_dthe_b3_dpe_b4,cov_dthe_b3_dpe_b5,cov_dthe_b3_dthp,cov_dthe_b3_dpp,cov_dthe_b4_dthe_b1,cov_dthe_b4_dthe_b2,cov_dthe_b4_dthe_b3,cov_dthe_b4_dthe_b4,cov_dthe_b4_dthe_b5,cov_dthe_b4_dpe_b1,cov_dthe_b4_dpe_b2,cov_dthe_b4_dpe_b3,cov_dthe_b4_dpe_b4,cov_dthe_b4_dpe_b5,cov_dthe_b4_dthp,cov_dthe_b4_dpp,cov_dthe_b5_dthe_b1,cov_dthe_b5_dthe_b2,cov_dthe_b5_dthe_b3,cov_dthe_b5_dthe_b4,cov_dthe_b5_dthe_b5,cov_dthe_b5_dpe_b1,cov_dthe_b5_dpe_b2,cov_dthe_b5_dpe_b3,cov_dthe_b5_dpe_b4,cov_dthe_b5_dpe_b5,cov_dthe_b5_dthp,cov_dthe_b5_dpp,cov_dpe_b1_dthe_b1,cov_dpe_b1_dthe_b2,cov_dpe_b1_dthe_b3,cov_dpe_b1_dthe_b4,cov_dpe_b1_dthe_b5,cov_dpe_b1_dpe_b1,cov_dpe_b1_dpe_b2,cov_dpe_b1_dpe_b3,cov_dpe_b1_dpe_b4,cov_dpe_b1_dpe_b5,cov_dpe_b1_dthp,cov_dpe_b1_dpp,cov_dpe_b2_dthe_b1,cov_dpe_b2_dthe_b2,cov_dpe_b2_dthe_b3,cov_dpe_b2_dthe_b4,cov_dpe_b2_dthe_b5,cov_dpe_b2_dpe_b1,cov_dpe_b2_dpe_b2,cov_dpe_b2_dpe_b3,cov_dpe_b2_dpe_b4,cov_dpe_b2_dpe_b5,cov_dpe_b2_dthp,cov_dpe_b2_dpp,cov_dpe_b3_dthe_b1,cov_dpe_b3_dthe_b2,cov_dpe_b3_dthe_b3,cov_dpe_b3_dthe_b4,cov_dpe_b3_dthe_b5,cov_dpe_b3_dpe_b1,cov_dpe_b3_dpe_b2,cov_dpe_b3_dpe_b3,cov_dpe_b3_dpe_b4,cov_dpe_b3_dpe_b5,cov_dpe_b3_dthp,cov_dpe_b3_dpp,cov_dpe_b4_dthe_b1,cov_dpe_b4_dthe_b2,cov_dpe_b4_dthe_b3,cov_dpe_b4_dthe_b4,cov_dpe_b4_dthe_b5,cov_dpe_b4_dpe_b1,cov_dpe_b4_dpe_b2,cov_dpe_b4_dpe_b3,cov_dpe_b4_dpe_b4,cov_dpe_b4_dpe_b5,cov_dpe_b4_dthp,cov_dpe_b4_dpp,cov_dpe_b5_dthe_b1,cov_dpe_b5_dthe_b2,cov_dpe_b5_dthe_b3,cov_dpe_b5_dthe_b4,cov_dpe_b5_dthe_b5,cov_dpe_b5_dpe_b1,cov_dpe_b5_dpe_b2,cov_dpe_b5_dpe_b3,cov_dpe_b5_dpe_b4,cov_dpe_b5_dpe_b5,cov_dpe_b5_dthp,cov_dpe_b5_dpp,cov_dthp_dthe_b1,cov_dthp_dthe_b2,cov_dthp_dthe_b3,cov_dthp_dthe_b4,cov_dthp_dthe_b5,cov_dthp_dpe_b1,cov_dthp_dpe_b2,cov_dthp_dpe_b3,cov_dthp_dpe_b4,cov_dthp_dpe_b5,cov_dthp_dthp,cov_dthp_dpp,cov_dpp_dthe_b1,cov_dpp_dthe_b2,cov_dpp_dthe_b3,cov_dpp_dthe_b4,cov_dpp_dthe_b5,cov_dpp_dpe_b1,cov_dpp_dpe_b2,cov_dpp_dpe_b3,cov_dpp_dpe_b4,cov_dpp_dpe_b5,cov_dpp_dthp,cov_dpp_dpp,end_marker
A,unconstrained,b1,1,-2.000000,-1.000000,-59.525494,0.010609,-59.438075,0.010288,-59.457597,0.010262,-59.454076,0.010512,nan,nan,95.789760,0.016303,95.825966,0.016224,95.616629,0.016245,95.148875,0.016351,nan,nan,131.132205,0.024016,-327.669486,0.054304,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,12.411225,0.053112,11.830214,0.017792,-8.800126,0.026886,9.066489,0.019474,5.734643,0.092943,1.210088,0.027523,1.086338,0.047904,2.973357,0.032590,74968.757395,16,10,6,12494.792899,0.000000,1,ok_unconstrained,0.000113,0.000098,0.000098,0.000098,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,-0.000220,0.000536,0.000098,0.000106,0.000098,0.000098,nan,-0.000159,-0.000160,-0.000159,-0.000159,nan,-0.000221,0.000537,0.000098,0.000098,0.000105,0.000098,nan,-0.000159,-0.000159,-0.000160,-0.000159,nan,-0.000222,0.000537,0.000098,0.000098,0.000098,0.000111,nan,-0.000159,-0.000159,-0.000159,-0.000161,nan,-0.000223,0.000537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,0.000266,0.000260,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000160,-0.000159,-0.000159,nan,0.000260,0.000263,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000160,-0.000159,nan,0.000260,0.000260,0.000264,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000159,-0.000161,nan,0.000260,0.000260,0.000260,0.000267,nan,0.000372,-0.000875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000220,-0.000221,-0.000222,-0.000223,nan,0.000373,0.000373,0.000373,0.000372,nan,0.000577,-0.001245,0.000536,0.000537,0.000537,0.000537,nan,-0.000875,-0.000875,-0.000875,-0.000875,nan,-0.001245,0.002949,done
A,unconstrained,b2,2,-1.000000,0.000000,-59.525494,0.010609,-59.438075,0.010288,-59.457597,0.010262,-59.454076,0.010512,nan,nan,95.789760,0.016303,95.825966,0.016224,95.616629,0.016245,95.148875,0.016351,nan,nan,131.132205,0.024016,-327.669486,0.054304,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.318530,0.021922,10.868268,0.040844,11.574599,0.013461,-9.154340,0.019362,9.633092,0.016830,2.003610,0.069996,0.430453,0.020766,0.315364,0.033238,1.314562,0.027637,74968.757395,16,10,6,12494.792899,0.000000,1,ok_unconstrained,0.000113,0.000098,0.000098,0.000098,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,-0.000220,0.000536,0.000098,0.000106,0.000098,0.000098,nan,-0.000159,-0.000160,-0.000159,-0.000159,nan,-0.000221,0.000537,0.000098,0.000098,0.000105,0.000098,nan,-0.000159,-0.000159,-0.000160,-0.000159,nan,-0.000222,0.000537,0.000098,0.000098,0.000098,0.000111,nan,-0.000159,-0.000159,-0.000159,-0.000161,nan,-0.000223,0.000537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,0.000266,0.000260,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000160,-0.000159,-0.000159,nan,0.000260,0.000263,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000160,-0.000159,nan,0.000260,0.000260,0.000264,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000159,-0.000161,nan,0.000260,0.000260,0.000260,0.000267,nan,0.000372,-0.000875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000220,-0.000221,-0.000222,-0.000223,nan,0.000373,0.000373,0.000373,0.000372,nan,0.000577,-0.001245,0.000536,0.000537,0.000537,0.000537,nan,-0.000875,-0.000875,-0.000875,-0.000875,nan,-0.001245,0.002949,done
A,unconstrained,b3,3,0.000000,1.000000,-59.525494,0.010609,-59.438075,0.010288,-59.457597,0.010262,-59.454076,0.010512,nan,nan,95.789760,0.016303,95.825966,0.016224,95.616629,0.016245,95.148875,0.016351,nan,nan,131.132205,0.024016,-327.669486,0.054304,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,12.947623,0.039677,13.052517,0.014690,-9.900369,0.019499,8.349365,0.017753,-1.989256,0.065895,-0.483938,0.023151,-0.157928,0.033141,-1.669454,0.030273,74968.757395,16,10,6,12494.792899,0.000000,1,ok_unconstrained,0.000113,0.000098,0.000098,0.000098,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,-0.000220,0.000536,0.000098,0.000106,0.000098,0.000098,nan,-0.000159,-0.000160,-0.000159,-0.000159,nan,-0.000221,0.000537,0.000098,0.000098,0.000105,0.000098,nan,-0.000159,-0.000159,-0.000160,-0.000159,nan,-0.000222,0.000537,0.000098,0.000098,0.000098,0.000111,nan,-0.000159,-0.000159,-0.000159,-0.000161,nan,-0.000223,0.000537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,0.000266,0.000260,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000160,-0.000159,-0.000159,nan,0.000260,0.000263,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000160,-0.000159,nan,0.000260,0.000260,0.000264,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000159,-0.000161,nan,0.000260,0.000260,0.000260,0.000267,nan,0.000372,-0.000875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000220,-0.000221,-0.000222,-0.000223,nan,0.000373,0.000373,0.000373,0.000372,nan,0.000577,-0.001245,0.000536,0.000537,0.000537,0.000537,nan,-0.000875,-0.000875,-0.000875,-0.000875,nan,-0.001245,0.002949,done
A,unconstrained,b4,4,1.000000,2.000000,-59.525494,0.010609,-59.438075,0.010288,-59.457597,0.010262,-59.454076,0.010512,nan,nan,95.789760,0.016303,95.825966,0.016224,95.616629,0.016245,95.148875,0.016351,nan,nan,131.132205,0.024016,-327.669486,0.054304,21.041620,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,16.930086,0.051956,16.354865,0.019507,-11.838411,0.025210,5.674213,0.023034,-4.111534,0.085638,-1.689250,0.030859,-1.049540,0.042397,-6.993128,0.046388,74968.757395,16,10,6,12494.792899,0.000000,1,ok_unconstrained,0.000113,0.000098,0.000098,0.000098,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,-0.000220,0.000536,0.000098,0.000106,0.000098,0.000098,nan,-0.000159,-0.000160,-0.000159,-0.000159,nan,-0.000221,0.000537,0.000098,0.000098,0.000105,0.000098,nan,-0.000159,-0.000159,-0.000160,-0.000159,nan,-0.000222,0.000537,0.000098,0.000098,0.000098,0.000111,nan,-0.000159,-0.000159,-0.000159,-0.000161,nan,-0.000223,0.000537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000162,-0.000159,-0.000159,-0.000159,nan,0.000266,0.000260,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000160,-0.000159,-0.000159,nan,0.000260,0.000263,0.000260,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000160,-0.000159,nan,0.000260,0.000260,0.000264,0.000260,nan,0.000373,-0.000875,-0.000159,-0.000159,-0.000159,-0.000161,nan,0.000260,0.000260,0.000260,0.000267,nan,0.000372,-0.000875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000220,-0.000221,-0.000222,-0.000223,nan,0.000373,0.000373,0.000373,0.000372,nan,0.000577,-0.001245,0.000536,0.000537,0.000537,0.000537,nan,-0.000875,-0.000875,-0.000875,-0.000875,nan,-0.001245,0.002949,done
B,unconstrained,b1,1,-2.000000,-1.000000,-245.588825,0.057499,-245.171287,0.057387,-245.091474,0.056806,-245.018856,0.056337,-244.878587,0.056553,491.398559,0.109187,491.011087,0.109227,490.783618,0.109127,490.473055,0.109085,489.940566,0.109335,318.958991,0.073982,-766.026429,0.168705,11.161092,0.462163,-1.827742,0.118095,4.380130,0.172748,9.892274,0.142104,20.198767,0.350368,-0.639906,0.094920,4.353787,0.119265,13.884411,0.099670,9.037675,0.579959,1.187836,0.151513,-0.026343,0.209919,3.992137,0.173573,3301.020185,20,12,8,412.627523,0.000000,1,ok_unconstrained,0.003306,0.002901,0.002898,0.002895,0.002894,-0.005878,-0.005782,-0.005782,-0.005782,-0.005783,-0.003721,0.009062,0.002901,0.003293,0.002896,0.002893,0.002892,-0.005782,-0.005885,-0.005781,-0.005782,-0.005783,-0.003727,0.009060,0.002898,0.002896,0.003227,0.002891,0.002890,-0.005782,-0.005782,-0.005877,-0.005782,-0.005783,-0.003738,0.009057,0.002895,0.002893,0.002891,0.003174,0.002889,-0.005784,-0.005783,-0.005783,-0.005869,-0.005784,-0.003751,0.009057,0.002894,0.002892,0.002890,0.002889,0.003198,-0.005786,-0.005785,-0.005785,-0.005786,-0.005877,-0.003760,0.009058,-0.005878,-0.005782,-0.005782,-0.005784,-0.005786,0.011922,0.011650,0.011649,0.011650,0.011650,0.007719,-0.018202,-0.005782,-0.005885,-0.005782,-0.005783,-0.005785,0.011650,0.011930,0.011649,0.011649,0.011649,0.007718,-0.018201,-0.005782,-0.005781,-0.005877,-0.005783,-0.005785,0.011649,0.011649,0.011909,0.011648,0.011649,0.007716,-0.018200,-0.005782,-0.005782,-0.005782,-0.005869,-0.005786,0.011650,0.011649,0.011648,0.011900,0.011649,0.007715,-0.018201,-0.005783,-0.005783,-0.005783,-0.005784,-0.005877,0.011650,0.011649,0.011649,0.011649,0.011954,0.007714,-0.018202,-0.003721,-0.003727,-0.003738,-0.003751,-0.003760,0.007719,0.007718,0.007716,0.007715,0.007714,0.005473,-0.011965,0.009062,0.009060,0.009057,0.009057,0.009058,-0.018202,-0.018201,-0.018200,-0.018201,-0.018202,-0.011965,0.028461,done
B,unconstrained,b2,2,-1.000000,0.000000,-245.588825,0.057499,-245.171287,0.057387,-245.091474,0.056806,-245.018856,0.056337,-244.878587,0.056553,491.398559,0.109187,491.011087,0.109227,490.783618,0.109127,490.473055,0.109085,489.940566,0.109335,318.958991,0.073982,-766.026429,0.168705,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,16.302822,0.342596,1.553181,0.096606,1.128601,0.120133,13.759003,0.099306,4.181381,0.558476,0.703072,0.154390,0.091259,0.213566,2.138990,0.174233,3301.020185,20,12,8,412.627523,0.000000,1,ok_unconstrained,0.003306,0.002901,0.002898,0.002895,0.002894,-0.005878,-0.005782,-0.005782,-0.005782,-0.005783,-0.003721,0.009062,0.002901,0.003293,0.002896,0.002893,0.002892,-0.005782,-0.005885,-0.005781,-0.005782,-0.005783,-0.003727,0.009060,0.002898,0.002896,0.003227,0.002891,0.002890,-0.005782,-0.005782,-0.005877,-0.005782,-0.005783,-0.003738,0.009057,0.002895,0.002893,0.002891,0.003174,0.002889,-0.005784,-0.005783,-0.005783,-0.005869,-0.005784,-0.003751,0.009057,0.002894,0.002892,0.002890,0.002889,0.003198,-0.005786,-0.005785,-0.005785,-0.005786,-0.005877,-0.003760,0.009058,-0.005878,-0.005782,-0.005782,-0.005784,-0.005786,0.011922,0.011650,0.011649,0.011650,0.011650,0.007719,-0.018202,-0.005782,-0.005885,-0.005782,-0.005783,-0.005785,0.011650,0.011930,0.011649,0.011649,0.011649,0.007718,-0.018201,-0.005782,-0.005781,-0.005877,-0.005783,-0.005785,0.011649,0.011649,0.011909,0.011648,0.011649,0.007716,-0.018200,-0.005782,-0.005782,-0.005782,-0.005869,-0.005786,0.011650,0.011649,0.011648,0.011900,0.011649,0.007715,-0.018201,-0.005783,-0.005783,-0.005783,-0.005784,-0.005877,0.011650,0.011649,0.011649,0.011649,0.011954,0.007714,-0.018202,-0.003721,-0.003727,-0.003738,-0.003751,-0.003760,0.007719,0.007718,0.007716,0.007715,0.007714,0.005473,-0.011965,0.009062,0.009060,0.009057,0.009057,0.009058,-0.018202,-0.018201,-0.018200,-0.018201,-0.018202,-0.011965,0.028461,done
B,unconstrained,b3,3,0.000000,1.000000,-245.588825,0.057499,-245.171287,0.057387,-245.091474,0.056806,-245.018856,0.056337,-244.878587,0.056553,491.398559,0.109187,491.011087,0.109227,490.783618,0.109127,490.473055,0.109085,489.940566,0.109335,318.958991,0.073982,-766.026429,0.168705,17.015062,0.389060,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,16.880448,0.313043,2.840658,0.093055,-0.053957,0.112991,13.075395,0.095695,-0.134614,0.499364,0.065462,0.149213,0.120335,0.201664,0.016509,0.169332,3301.020185,20,12,8,412.627523,0.000000,1,ok_unconstrained,0.003306,0.002901,0.002898,0.002895,0.002894,-0.005878,-0.005782,-0.005782,-0.005782,-0.005783,-0.003721,0.009062,0.002901,0.003293,0.002896,0.002893,0.002892,-0.005782,-0.005885,-0.005781,-0.005782,-0.005783,-0.003727,0.009060,0.002898,0.002896,0.003227,0.002891,0.002890,-0.005782,-0.005782,-0.005877,-0.005782,-0.005783,-0.003738,0.009057,0.002895,0.002893,0.002891,0.003174,0.002889,-0.005784,-0.005783,-0.005783,-0.005869,-0.005784,-0.003751,0.009057,0.002894,0.002892,0.002890,0.002889,0.003198,-0.005786,-0.005785,-0.005785,-0.005786,-0.005877,-0.003760,0.009058,-0.005878,-0.005782,-0.005782,-0.005784,-0.005786,0.011922,0.011650,0.011649,0.011650,0.011650,0.007719,-0.018202,-0.005782,-0.005885,-0.005782,-0.005783,-0.005785,0.011650,0.011930,0.011649,0.011649,0.011649,0.007718,-0.018201,-0.005782,-0.005781,-0.005877,-0.005783,-0.005785,0.011649,0.011649,0.011909,0.011648,0.011649,0.007716,-0.018200,-0.005782,-0.005782,-0.005782,-0.005869,-0.005786,0.011650,0.011649,0.011648,0.011900,0.011649,0.007715,-0.018201,-0.005783,-0.005783,-0.005783,-0.005784,-0.005877,0.011650,0.011649,0.011649,0.011649,0.011954,0.007714,-0.018202,-0.003721,-0.003727,-0.003738,-0.003751,-0.003760,0.007719,0.007718,0.007716,0.007715,0.007714,0.005473,-0.011965,0.009062,0.009060,0.009057,0.009057,0.009058,-0.018202,-0.018201,-0.018200,-0.018201,-0.018202,-0.011965,0.028461,done
B,unconstrained,b4,4,1.000000,2.000000,-245.588825,0.057499,-245.171287,0.057387,-245.091474,0.056806,-245.018856,0.056337,-244.878587,0.056553,491.398559,0.109187,491.011087,0.109227,490.783618,0.109127,490.473055,0.109085,489.940566,0.109335,318.958991,0.073982,-766.026429,0.168705,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,18.299035,0.289823,4.598443,0.091342,-1.512189,0.106695,12.007934,0.094578,-2.644781,0.455531,-0.761173,0.148998,-0.169295,0.186451,-2.184089,0.170246,3301.020185,20,12,8,412.627523,0.000000,1,ok_unconstrained,0.003306,0.002901,0.002898,0.002895,0.002894,-0.005878,-0.005782,-0.005782,-0.005782,-0.005783,-0.003721,0.009062,0.002901,0.003293,0.002896,0.002893,0.002892,-0.005782,-0.005885,-0.005781,-0.005782,-0.005783,-0.003727,0.009060,0.002898,0.002896,0.003227,0.002891,0.002890,-0.005782,-0.005782,-0.005877,-0.005782,-0.005783,-0.003738,0.009057,0.002895,0.002893,0.002891,0.003174,0.002889,-0.005784,-0.005783,-0.005783,-0.005869,-0.005784,-0.003751,0.009057,0.002894,0.002892,0.002890,0.002889,0.003198,-0.005786,-0.005785,-0.005785,-0.005786,-0.005877,-0.003760,0.009058,-0.005878,-0.005782,-0.005782,-0.005784,-0.005786,0.011922,0.011650,0.011649,0.011650,0.011650,0.007719,-0.018202,-0.005782,-0.005885,-0.005782,-0.005783,-0.005785,0.011650,0.011930,0.011649,0.011649,0.011649,0.007718,-0.018201,-0.005782,-0.005781,-0.005877,-0.005783,-0.005785,0.011649,0.011649,0.011909,0.011648,0.011649,0.007716,-0.018200,-0.005782,-0.005782,-0.005782,-0.005869,-0.005786,0.011650,0.011649,0.011648,0.011900,0.011649,0.007715,-0.018201,-0.005783,-0.005783,-0.005783,-0.005784,-0.005877,0.011650,0.011649,0.011649,0.011649,0.011954,0.007714,-0.018202,-0.003721,-0.003727,-0.003738,-0.003751,-0.003760,0.007719,0.007718,0.007716,0.007715,0.007714,0.005473,-0.011965,0.009062,0.009060,0.009057,0.009057,0.009058,-0.018202,-0.018201,-0.018200,-0.018201,-0.018202,-0.011965,0.028461,done
B,unconstrained,b5,5,2.000000,3.000000,-245.588825,0.057499,-245.171287,0.057387,-245.091474,0.056806,-245.018856,0.056337,-244.878587,0.056553,491.398559,0.109187,491.011087,0.109227,490.783618,0.109127,490.473055,0.109085,489.940566,0.109335,318.958991,0.073982,-766.026429,0.168705,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,20.458229,0.304752,7.612333,0.100183,-4.080232,0.113016,10.235823,0.101539,-5.589543,0.477008,-1.518519,0.167980,0.021069,0.191571,-5.070369,0.190941,3301.020185,20,12,8,412.627523,0.000000,1,ok_unconstrained,0.003306,0.002901,0.002898,0.002895,0.002894,-0.005878,-0.005782,-0.005782,-0.005782,-0.005783,-0.003721,0.009062,0.002901,0.003293,0.002896,0.002893,0.002892,-0.005782,-0.005885,-0.005781,-0.005782,-0.005783,-0.003727,0.009060,0.002898,0.002896,0.003227,0.002891,0.002890,-0.005782,-0.005782,-0.005877,-0.005782,-0.005783,-0.003738,0.009057,0.002895,0.002893,0.002891,0.003174,0.002889,-0.005784,-0.005783,-0.005783,-0.005869,-0.005784,-0.003751,0.009057,0.002894,0.002892,0.002890,0.002889,0.003198,-0.005786,-0.005785,-0.005785,-0.005786,-0.005877,-0.003760,0.009058,-0.005878,-0.005782,-0.005782,-0.005784,-0.005786,0.011922,0.011650,0.011649,0.011650,0.011650,0.007719,-0.018202,-0.005782,-0.005885,-0.005782,-0.005783,-0.005785,0.011650,0.011930,0.011649,0.011649,0.011649,0.007718,-0.018201,-0.005782,-0.005781,-0.005877,-0.005783,-0.005785,0.011649,0.011649,0.011909,0.011648,0.011649,0.007716,-0.018200,-0.005782,-0.005782,-0.005782,-0.005869,-0.005786,0.011650,0.011649,0.011648,0.011900,0.011649,0.007715,-0.018201,-0.005783,-0.005783,-0.005783,-0.005784,-0.005877,0.011650,0.011649,0.011649,0.011649,0.011954,0.007714,-0.018202,-0.003721,-0.003727,-0.003738,-0.003751,-0.003760,0.007719,0.007718,0.007716,0.007715,0.007714,0.005473,-0.011965,0.009062,0.009060,0.009057,0.009057,0.009058,-0.018202,-0.018201,-0.018200,-0.018201,-0.018202,-0.011965,0.028461,done
