setting,source_bin,target_bin,dthe_fix,dthe_fix_err,dthp_fix,dthp_fix_err,dpp_fix,dpp_fix_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred_err_from_fixed,dEm_pred_err_from_fixed,dPmz_pred_err_from_fixed,dPmy_pred_err_from_fixed,dW_sigma_total,dEm_sigma_total,dPmz_sigma_total,dPmy_sigma_total,dpe_fit,dpe_fit_err,dW_pred,dEm_pred,dPmz_pred,dPmy_pred,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,ndf,chi2_ndf,fit_prob,sse_unweighted,source_guess_trivial,fit_valid,fit_note
A,full,full,-0.50959,0.001478,-5,1.7e-05,-5,4.1e-05,13.465625,0.02949,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,0.01991212696,0,0.008131727984,0.005798275606,0.03558304231,0.010195,0.01667426907,0.01342203505,-0.3559700314,0.001130666479,10.24348887,13.01314842,-9.879334629,7.21385332,-3.22213613,0.03558304231,-0.5707685786,0.010195,-0.004863628571,0.01667426907,-1.89970568,0.01342203505,31366.72554,4,3,10455.57518,0,14.31684334,0,1,ok
A,full,b1,-0.50959,0.001478,-5,1.7e-05,-5,4.1e-05,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,0.01991212696,0,0.008131727984,0.005798275606,0.07882836281,0.020999,0.04047331101,0.02676656797,-0.1671666575,0.002347895139,8.616003788,11.6801966,-9.105240796,8.299472719,1.939421788,0.07882836281,1.060070602,0.020999,0.7812232042,0.04047331101,2.206340719,0.02676656797,10320.85013,4,3,3440.283378,0,10.36335562,0,1,ok
A,full,b2,-0.50959,0.001478,-5,1.7e-05,-5,4.1e-05,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.31853,0.021922,0.01991212696,0,0.008131727984,0.005798275606,0.06023066608,0.015812,0.02821328155,0.02267584803,-0.1249668521,0.001809945702,8.252241465,11.38226598,-8.932221594,8.5421216,-0.6124165347,0.06023066608,0.238119976,0.015812,0.5374824063,0.02821328155,0.2235916003,0.02267584803,790.3271895,4,3,263.4423965,5.420300354e-171,0.7706356757,0,1,ok
A,full,b3,-0.50959,0.001478,-5,1.7e-05,-5,4.1e-05,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,0.01991212696,0,0.008131727984,0.005798275606,0.05625308988,0.017893,0.02800364635,0.02519721098,-0.3488687759,0.001989381675,10.18227605,12.96301356,-9.850219481,7.254685539,-4.754602952,0.05625308988,-0.5734414423,0.017893,-0.1077784811,0.02800364635,-2.764133461,0.02519721098,20219.90177,4,3,6739.967255,0,30.58713431,0,1,ok
A,full,b4,-0.50959,0.001478,-5,1.7e-05,-5,4.1e-05,21.04162,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,0.01991212696,0,0.008131727984,0.005798275606,0.07092933617,0.023912,0.03504449663,0.040680342,-0.8331429894,0.002715549025,14.35671977,16.3819895,-11.83574376,4.470108811,-6.684900232,0.07092933617,-1.662125495,0.023912,-1.046872756,0.03504449663,-8.197232189,0.040680342,55210.25819,4,3,18403.4194,0,115.7411104,0,1,ok
A,b1,full,-0.38589,0.022358,-3.487577,0.049008,-4.999986,1.647919,13.465625,0.02949,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,0.3148383712,0.02057571384,0.1068332972,0.1986723982,0.3162164766,0.02296297074,0.1078204974,0.1990408321,-0.4289312963,0.00320174109,9.130718974,13.52822555,-10.88971903,3.868295836,-4.334906026,0.3162164766,-0.05569144828,0.02296297074,-1.015248035,0.1078204974,-5.245263164,0.1990408321,976.9370593,4,3,325.6456864,1.81188323e-211,47.33802602,0,1,ok
A,b1,b1,-0.38589,0.022358,-3.487577,0.049008,-4.999986,1.647919,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,0.3148383712,0.02057571384,0.1068332972,0.1986723982,0.3239453935,0.02939928572,0.1139531364,0.2003835097,-0.02242650287,0.004065775779,5.626647655,10.65830171,-9.223049382,6.205698398,-1.049934345,0.3239453935,0.03817571028,0.02939928572,0.6634146182,0.1139531364,0.1125663985,0.2003835097,46.39994863,4,3,15.46664954,4.662860456e-10,1.556609664,0,1,ok
A,b1,b2,-0.38589,0.022358,-3.487577,0.049008,-4.999986,1.647919,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.31853,0.021922,0.3148383712,0.02057571384,0.1068332972,0.1986723982,0.3199288051,0.02594955383,0.1101962688,0.1998782026,-0.08929014895,0.003604734861,6.203012284,11.13035905,-9.497190331,5.821232434,-2.661645716,0.3199288051,-0.01378694844,0.02594955383,-0.02748633068,0.1101962688,-2.497297566,0.1998782026,225.6609199,4,3,75.22030663,1.199317048e-48,13.32179863,0,1,ok
A,b1,b3,-0.38589,0.022358,-3.487577,0.049008,-4.999986,1.647919,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,0.3148383712,0.02057571384,0.1068332972,0.1986723982,0.3192038805,0.02726755304,0.1101427828,0.2001799222,-0.4189145525,0.003780255807,9.044374643,13.45750734,-10.84865039,3.925892113,-5.892504357,0.3192038805,-0.07894765912,0.02726755304,-1.106209385,0.1101427828,-6.092926887,0.2001799222,1376.450914,4,3,458.8169713,3.794174724e-298,73.07529759,0,1,ok
A,b1,b4,-0.38589,0.022358,-3.487577,0.049008,-4.999986,1.647919,21.04162,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,0.3148383712,0.02057571384,0.1068332972,0.1986723982,0.3221143864,0.031545899,0.1121398464,0.2027115982,-1.028866783,0.004346006378,14.30216287,17.76377009,-13.34945453,0.418666786,-6.739457128,0.3221143864,-0.2803449098,0.031545899,-2.560583532,0.1121398464,-12.24867421,0.2027115982,4689.191429,4,3,1563.06381,0,202.0854837,0,1,ok
