setting,source_bin,target_bin,dthe_fix,dthe_fix_err,dthp_fix,dthp_fix_err,dpp_fix,dpp_fix_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred_err_from_fixed,dEm_pred_err_from_fixed,dPmz_pred_err_from_fixed,dPmy_pred_err_from_fixed,dW_sigma_total,dEm_sigma_total,dPmz_sigma_total,dPmy_sigma_total,dpe_fit,dpe_fit_err,dW_pred,dEm_pred,dPmz_pred,dPmy_pred,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,ndf,chi2_ndf,fit_prob,sse_unweighted,source_guess_trivial,fit_valid,fit_note
A,b2,full,-0.495321,0.01714,-4.855103,0.038603,-4.999992,0.900844,13.465625,0.02949,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,0.241421709,0.01169230516,0.08632699404,0.03667464928,0.2432161625,0.0155128342,0.08754573747,0.0386207318,-0.3939176444,0.002072841854,10.36968978,13.28104177,-10.11694843,6.725241254,-3.095935225,0.2432161625,-0.3028752303,0.0155128342,-0.2424774322,0.08754573747,-2.388317746,0.0386207318,4375.118945,4,3,1458.372982,0,15.43940528,0,1,ok
A,b2,b1,-0.495321,0.01714,-4.855103,0.038603,-4.999992,0.900844,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,0.241421709,0.01169230516,0.08632699404,0.03667464928,0.2531834505,0.0240347249,0.09499638837,0.04503175614,-0.09726530856,0.003077138421,7.81254664,11.18667628,-8.900673855,8.430992186,1.13596464,0.2531834505,0.5665502784,0.0240347249,0.9857901449,0.09499638837,2.337860186,0.04503175614,3378.713654,4,3,1126.237885,0,8.048767339,0,1,ok
A,b2,b2,-0.495321,0.01714,-4.855103,0.038603,-4.999992,0.900844,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.31853,0.021922,0.241421709,0.01169230516,0.08632699404,0.03667464928,0.2480235512,0.01966543526,0.09045559218,0.04272708724,-0.09733425615,0.002579772605,7.813140968,11.18716305,-8.90095654,8.430595737,-1.051517032,0.2480235512,0.04301704841,0.01966543526,0.5687474598,0.09045559218,0.1120657371,0.04272708724,69.17197479,4,3,23.05732493,6.420211586e-15,1.443570938,0,1,ok
A,b2,b3,-0.495321,0.01714,-4.855103,0.038603,-4.999992,0.900844,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,0.241421709,0.01169230516,0.08632699404,0.03667464928,0.2470877555,0.02137450465,0.09039042598,0.04411699606,-0.3527423001,0.002780354648,10.01475831,12.99034384,-9.94812952,6.961999484,-4.922120693,0.2470877555,-0.5461111614,0.02137450465,-0.2056885204,0.09039042598,-3.056819516,0.04411699606,5855.746691,4,3,1951.915564,0,33.91196284,0,1,ok
A,b2,b4,-0.495321,0.01714,-4.855103,0.038603,-4.999992,0.900844,21.04162,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,0.241421709,0.01169230516,0.08632699404,0.03667464928,0.2508364398,0.02661754579,0.09281347771,0.05446375056,-0.839700342,0.00343746346,14.21233663,16.42826761,-11.94465749,4.161990744,-6.829283372,0.2508364398,-1.615847386,0.02661754579,-1.155786492,0.09281347771,-8.505350256,0.05446375056,28969.17396,4,3,9656.391321,0,122.9268996,0,1,ok
A,b3,full,-0.55463,0.002712,-5,4.6e-05,-5,0.000107,13.465625,0.02949,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,0.03725217846,0,0.01521307004,0.01084758038,0.04751194481,0.010195,0.0210557296,0.01625426175,-0.364316527,0.001216688012,10.94959886,13.07207468,-9.654575261,6.98119697,-2.516026137,0.04751194481,-0.5118423193,0.010195,0.2198957393,0.0210557296,-2.13236203,0.01625426175,22644.19147,4,3,7548.063824,0,11.18769205,0,1,ok
A,b3,b1,-0.55463,0.002712,-5,4.6e-05,-5,0.000107,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,0.03725217846,0,0.01521307004,0.01084758038,0.08488311248,0.020999,0.04246647388,0.02829309387,-0.1489757553,0.002397515473,9.09336141,11.55176883,-8.771678097,8.219406407,2.41677941,0.08488311248,0.9316428323,0.020999,1.114785903,0.04246647388,2.126274407,0.02829309387,9115.886144,4,3,3038.628715,0,12.47257155,0,1,ok
A,b3,b2,-0.55463,0.002712,-5,4.6e-05,-5,0.000107,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.31853,0.021922,0.03725217846,0,0.01521307004,0.01084758038,0.06796296886,0.015812,0.03100486665,0.02445902868,-0.1145800182,0.001862748489,8.796870157,11.30893493,-8.630655575,8.417181895,-0.0677878427,0.06796296886,0.1647889288,0.015812,0.8390484252,0.03100486665,0.09865189507,0.02445902868,858.2185829,4,3,286.072861,1.021990292e-185,0.7454850389,0,1,ok
A,b3,b3,-0.55463,0.002712,-5,4.6e-05,-5,0.000107,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,0.03725217846,0,0.01521307004,0.01084758038,0.06446427011,0.017893,0.030814229,0.02681323257,-0.3415402971,0.002053015871,10.75326776,12.9112745,-9.561192718,7.112160292,-4.183611239,0.06446427011,-0.6251805028,0.017893,0.1812482821,0.030814229,-2.906658708,0.02681323257,17218.56947,4,3,5739.523157,0,26.37496945,0,1,ok
A,b3,b4,-0.55463,0.002712,-5,4.6e-05,-5,0.000107,21.04162,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,0.03725217846,0,0.01521307004,0.01084758038,0.07760285258,0.023912,0.03732866518,0.04170060221,-0.8266315706,0.002767257096,14.93475454,16.33601889,-11.55006694,4.322885469,-6.106865461,0.07760285258,-1.708096111,0.023912,-0.7611959395,0.03732866518,-8.344455531,0.04170060221,51752.74975,4,3,17250.91658,0,110.4207555,0,1,ok
A,b4,full,-0.569805,0.003568,-5,4.3e-05,-5,0.0001,13.465625,0.02949,13.583917,0.010195,-9.874471,0.014557,9.113559,0.012105,0.05076616196,0,0.02073191983,0.01478276023,0.05870999319,0.010195,0.02533216826,0.01910657021,-0.3771360379,0.001272187845,11.27376705,13.16258043,-9.619879006,6.845267282,-2.191857953,0.05870999319,-0.4213365721,0.010195,0.2545919944,0.02533216826,-2.268291718,0.01910657021,17296.72823,4,3,5765.576077,0,10.1917302,0,1,ok
A,b4,b1,-0.569805,0.003568,-5,4.3e-05,-5,0.0001,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,0.05076616196,0,0.02073191983,0.01478276023,0.09162216535,0.020999,0.04474121594,0.03002264414,-0.1370685733,0.00244730411,9.204385502,11.46770413,-8.635602401,8.225655204,2.527803502,0.09162216535,0.8475781275,0.020999,1.250861599,0.04474121594,2.132523204,0.03002264414,8217.2952,4,3,2739.0984,0,13.22048918,0,1,ok
A,b4,b2,-0.569805,0.003568,-5,4.3e-05,-5,0.0001,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.31853,0.021922,0.05076616196,0,0.02073191983,0.01478276023,0.07621314543,0.015812,0.03405402702,0.02644057647,-0.1098520417,0.001910612568,8.969778999,11.27555541,-8.524014621,8.38215026,0.1051209991,0.07621314543,0.1314094141,0.015812,0.9456893792,0.03405402702,0.06362026047,0.02644057647,847.9481331,4,3,282.6493777,1.725990501e-183,0.926694798,0,1,ok
A,b4,b3,-0.569805,0.003568,-5,4.3e-05,-5,0.0001,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,0.05076616196,0,0.02073191983,0.01478276023,0.07311033115,0.017893,0.0338805506,0.02863231463,-0.3429845066,0.002110255264,10.97938085,12.92147062,-9.479857727,7.041638587,-3.957498153,0.07311033115,-0.6149843836,0.017893,0.2625832731,0.0338805506,-2.977180413,0.02863231463,14983.26595,4,3,4994.421984,0,24.97255061,0,1,ok
A,b4,b4,-0.569805,0.003568,-5,4.3e-05,-5,0.0001,21.04162,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,0.05076616196,0,0.02073191983,0.01478276023,0.08492161756,0.023912,0.03989742152,0.04289289248,-0.827622745,0.002817108174,15.15696246,16.34301658,-11.4668745,4.254968716,-5.884657538,0.08492161756,-1.70109842,0.023912,-0.6780035046,0.03989742152,-8.412372284,0.04289289248,48616.54667,4,3,16205.51556,0,108.7506264,0,1,ok
B,b1,full,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,2.127217792,1.376229659,0.9039218457,1.053789361,2.133125799,1.377637563,0.9067529066,1.055307856,-0.5377357517,0.1227454069,17.46123251,2.541555355,1.715431376,6.623618778,-2.45083149,2.133125799,-1.393176645,1.377637563,2.471142376,0.9067529066,-5.150896222,1.055307856,33.59341179,4,3,11.19780393,2.414043539e-07,40.5857927,0,1,ok
B,b1,b1,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,11.161092,0.462163,-1.827742,0.118095,4.38013,0.172748,9.892274,0.142104,2.127217792,1.376229659,0.9039218457,1.053789361,2.176844086,1.381287264,0.9202807043,1.06332759,0.2089817132,0.1241288138,11.02452796,-1.684865497,4.470818822,9.834503877,-0.1365640378,2.176844086,0.1428765033,1.381287264,0.09068882173,0.9202807043,-0.05777012322,1.06332759,0.02729768809,4,3,0.009099229362,0.9988102552,0.05062528113,0,1,ok
B,b1,b2,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,2.127217792,1.376229659,0.9039218457,1.053789361,2.172459177,1.381488944,0.9210067502,1.063469633,-0.06313690038,0.1241013238,13.37019041,-0.1446741439,3.466701138,8.664393838,1.248749411,2.172459177,-0.9947831439,1.381488944,2.429359138,0.9210067502,-2.955619162,1.063469633,15.53057506,4,3,5.176858354,0.001415047835,17.18643904,0,1,ok
B,b1,b3,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,17.015062,0.38906,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,2.127217792,1.376229659,0.9039218457,1.053789361,2.162503924,1.381163796,0.9192257952,1.063008856,-0.2865805527,0.1238824571,15.29627469,1.120016928,2.642194061,7.703586133,-1.718787306,2.162503924,-1.655179072,1.381163796,2.816486061,0.9192257952,-5.355299867,1.063008856,36.83595752,4,3,12.27865251,4.984172063e-08,42.30567795,0,1,ok
B,b1,b4,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,2.127217792,1.376229659,0.9039218457,1.053789361,2.156053574,1.381254912,0.9167631331,1.06325476,-0.5294477682,0.1237191624,17.38979009,2.494645368,1.746014035,6.659257107,-3.554025908,2.156053574,-2.864970632,1.381254912,3.088908035,0.9167631331,-7.532765893,1.06325476,68.56400575,4,3,22.85466858,8.663722472e-15,87.12307173,0,1,ok
B,b1,b5,-0.740101,0.122735,-3.11948,0.166289,0.1383,0.378764,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,2.127217792,1.376229659,0.9039218457,1.053789361,2.158638023,1.382819157,0.9170613576,1.066123914,-0.9684234246,0.1238848785,21.17376025,4.979247583,0.1261938634,4.771661784,-4.87401175,2.158638023,-4.151604417,1.382819157,4.227494863,0.9170613576,-10.53453022,1.066123914,132.9994552,4,3,44.33315172,1.220758029e-28,169.8398495,0,1,ok
B,b2,full,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,2.147661809,1.391393726,0.9136791752,1.065281199,2.15351373,1.392786301,0.9164800956,1.066783337,-0.4716710888,0.12403966,15.75462984,4.107240003,-0.3213255377,9.357538128,-4.157434164,2.15351373,0.1725080027,1.392786301,0.4343854623,0.9164800956,-2.416976872,1.066783337,9.100207695,4,3,3.033402565,0.02798781676,23.34448577,0,1,ok
B,b2,b1,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,11.161092,0.462163,-1.827742,0.118095,4.38013,0.172748,9.892274,0.142104,2.147661809,1.391393726,0.9136791752,1.065281199,2.196826321,1.396396409,0.9298663919,1.074717442,0.2751929072,0.1254105933,9.31666219,-0.1200102147,2.434602608,12.56905331,-1.84442981,2.196826321,1.707731785,1.396396409,-1.945527392,0.9298663919,2.676779311,1.074717442,12.78160221,4,3,4.26053407,0.005133514995,17.26849349,0,1,ok
B,b2,b2,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,2.147661809,1.391393726,0.9136791752,1.065281199,2.192481376,1.396595907,0.930584959,1.074857981,0.002737443931,0.1253830899,11.66522828,1.422087707,1.429241948,11.39749482,-0.4562127167,2.192481376,0.5719787074,1.396595907,0.3918999481,0.930584959,-0.2225181811,1.074857981,0.4312410105,4,3,0.1437470035,0.9337158441,0.7383895948,0,1,ok
B,b2,b3,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,17.015062,0.38906,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,2.147661809,1.391393726,0.9136791752,1.065281199,2.182617449,1.396274277,0.9288223698,1.074402087,-0.2209577469,0.1251659326,13.59348083,2.688202487,0.6038066939,10.4356055,-3.421581172,2.182617449,-0.08699351252,1.396274277,0.7780986939,0.9288223698,-2.623280502,1.074402087,9.124697705,4,3,3.041565902,0.0276780928,19.20182375,0,1,ok
B,b2,b4,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,2.147661809,1.391393726,0.9136791752,1.065281199,2.176226717,1.396364407,0.9263852191,1.074645384,-0.4634231342,0.1250039568,15.68353247,4.06055658,-0.2908905852,9.393004333,-5.260283533,2.176226717,-1.29905942,1.396364407,1.052003415,0.9263852191,-4.799018667,1.074645384,27.93999414,4,3,9.313331382,3.73890693e-06,53.49542958,0,1,ok
B,b2,b5,-0.674485,0.123915,-3.709779,0.167916,-0.396028,0.382927,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,2.147661809,1.391393726,0.9136791752,1.065281199,2.178787237,1.397911746,0.9266803471,1.077484208,-0.9017470666,0.1251679335,19.46188476,6.541470037,-1.908305896,7.508211424,-6.585887236,2.178787237,-2.589381963,1.397911746,2.192995104,0.9266803471,-7.797980576,1.077484208,70.54557275,4,3,23.51519092,3.261585966e-15,115.6965382,0,1,ok
B,b3,full,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,2.054537099,1.333727406,0.8754505832,1.021495668,2.060653496,1.335180127,0.8783734138,1.023062097,-0.3910855556,0.1188602808,18.64188558,4.994146025,-0.5189242402,11.68996678,-1.270178421,2.060653496,1.059414025,1.335180127,0.2367867598,0.8783734138,-0.08454821907,1.023062097,1.089025059,4,3,0.3630083529,0.7797241171,2.798927667,0,1,ok
B,b3,b1,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,11.161092,0.462163,-1.827742,0.118095,4.38013,0.172748,9.892274,0.142104,2.054537099,1.333727406,0.8754505832,1.021495668,2.105876855,1.338945563,0.89233155,1.031332607,0.3543245731,0.1202915831,12.21645027,0.7751246964,2.231639135,14.89523033,1.05535827,2.105876855,2.602866696,1.338945563,-2.148490865,0.89233155,5.002956334,1.031332607,33.3591522,4,3,11.1197174,2.705066308e-07,37.5342812,0,1,ok
B,b3,b2,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,2.054537099,1.333727406,0.8754505832,1.021495668,2.101343862,1.33915362,0.8930803179,1.031479056,0.08222341364,0.1202626859,14.56196226,2.315217259,1.227585856,13.72519535,2.440521264,2.101343862,1.465108259,1.33915362,0.1902438563,0.8930803179,2.105182349,1.031479056,6.756625534,4,3,2.252208511,0.08007307348,12.5706717,0,1,ok
B,b3,b3,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,17.015062,0.38906,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,2.054537099,1.333727406,0.8754505832,1.021495668,2.091050065,1.338818191,0.8912435598,1.031003981,-0.1410584259,0.1200359132,16.48665172,3.578992471,0.4036758684,12.76508344,-0.5284102786,2.091050065,0.8037964707,1.338818191,0.5779678684,0.8912435598,-0.2938025614,1.031003981,0.9260645145,4,3,0.3086881715,0.8191337185,1.345672991,0,1,ok
B,b3,b4,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,2.054537099,1.333727406,0.8754505832,1.021495668,2.084378605,1.338912189,0.8887033603,1.031257517,-0.3832434885,0.1198667512,18.57428696,4.949759925,-0.4899870125,11.72368767,-2.369529039,2.084378605,-0.4098560752,1.338912189,0.8529069875,0.8887033603,-2.46833533,1.031257517,8.036027461,4,3,2.67867582,0.04527296524,12.6027795,0,1,ok
B,b3,b5,-0.881173,0.118541,-4.444696,0.160855,-0.766006,0.367079,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,2.054537099,1.333727406,0.8754505832,1.021495668,2.087051812,1.340525844,0.8890109977,1.034215443,-0.8215284081,0.1200376326,22.35230297,7.43045257,-2.107258366,9.839062515,-3.695469032,2.087051812,-1.70039943,1.340525844,1.994042634,0.8890109977,-5.467129485,1.034215443,37.71976209,4,3,12.57325403,3.240183028e-08,50.41356042,0,1,ok
B,b4,full,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,1.61401762,1.039334358,0.6821008172,0.2303231456,1.621796232,1.04119791,0.6858481284,0.2371737883,1.780761729,0.04906146071,23.87538773,8.045373343,-2.369874359,12.39083262,3.963323735,1.621796232,4.110641343,1.04119791,-1.614163359,0.6858481284,0.6163176154,0.2371737883,33.85050776,4,3,11.28350259,2.130504937e-07,35.59067803,0,1,ok
B,b4,b1,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,11.161092,0.462163,-1.827742,0.118095,4.38013,0.172748,9.892274,0.142104,1.61401762,1.039334358,0.6821008172,0.2303231456,1.678882818,1.046022149,0.7036358407,0.2706331432,1.761615958,0.05458765317,24.04042428,8.15373841,-2.440522256,12.3085058,12.87933228,1.678882818,9.98148041,1.046022149,-6.820652256,0.7036358407,2.416231798,0.2706331432,323.5790757,4,3,107.8596919,7.833624386e-70,317.8666246,0,1,ok
B,b4,b2,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,1.61401762,1.039334358,0.6821008172,0.2303231456,1.673193419,1.046288456,0.7045851655,0.2711907004,1.941079376,0.05466478523,22.49344962,7.13797546,-1.778302241,13.0801985,10.37200862,1.673193419,6.28786646,1.046288456,-2.815644241,0.7045851655,1.460185498,0.2711907004,119.5036907,4,3,39.83456357,9.870146485e-26,157.1758215,0,1,ok
B,b4,b3,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,17.015062,0.38906,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,1.61401762,1.039334358,0.6821008172,0.2303231456,1.660247139,1.045859103,0.702255569,0.2693781023,2.090037146,0.05433964375,21.20943365,6.294874486,-1.228648073,13.72071691,4.194371646,1.660247139,3.519678486,1.045859103,-1.054356073,0.702255569,0.6618309057,0.2693781023,25.99846106,4,3,8.666153685,9.54448562e-06,31.53057703,0,1,ok
B,b4,b4,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,1.61401762,1.039334358,0.6821008172,0.2303231456,1.651836662,1.045979429,0.6990289435,0.270346849,2.186501357,0.05444415052,20.37791214,5.748887048,-0.8726951316,14.13551302,-0.5659038598,1.651836662,0.3892710478,1.045979429,0.4701988684,0.6990289435,-0.05650998369,0.270346849,0.7520159079,4,3,0.2506719693,0.860906314,0.6960594812,0,1,ok
B,b4,b5,-2.263448,0.093126,-3.498845,0.129093,-4.992971,6.203579,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,1.61401762,1.039334358,0.6821008172,0.2303231456,1.655208584,1.048044205,0.6994200135,0.2814195001,2.19891371,0.0561134276,20.27091766,5.678633134,-0.8268935516,14.18888613,-5.776854337,1.655208584,-3.452218866,1.048044205,3.274407448,0.6994200135,-1.117305869,0.2814195001,60.71133898,4,3,20.23711299,4.142473537e-13,57.25997767,0,1,ok
B,b5,full,-1.895254,0.128343,-4.956256,0.174495,-3.995829,0.398077,19.912064,0.158651,3.934732,0.062267,-0.755711,0.071597,11.774515,0.056592,2.22445925,1.449279489,0.9502890316,0.2712840246,2.23010966,1.450616495,0.9529823577,0.277123937,0.3090080025,0.05913954784,30.18110284,12.75587398,-5.654568731,12.87164459,10.26903884,2.23010966,8.821141976,1.450616495,-4.898857731,0.9529823577,1.097129591,0.277123937,100.2804291,4,3,33.4268097,1.352687437e-21,208.4682048,0,1,ok
