setting,mode,bin,dp_idx,dp_lo,dp_hi,dthe_fit,dthe_fit_err,dpe_b1_fit,dpe_b1_fit_err,dpe_b2_fit,dpe_b2_fit_err,dpe_b3_fit,dpe_b3_fit_err,dpe_b4_fit,dpe_b4_fit_err,dpe_b5_fit,dpe_b5_fit_err,dthp_fit,dthp_fit_err,dpp_fit,dpp_fit_err,dW_measured,dW_err,dEm_measured,dEm_err,dPmz_measured,dPmz_err,dPmy_measured,dPmy_err,dW_pred,dW_pred_err,dEm_pred,dEm_pred_err,dPmz_pred,dPmz_pred_err,dPmy_pred,dPmy_pred_err,dW_resid,dW_resid_err,dEm_resid,dEm_resid_err,dPmz_resid,dPmz_resid_err,dPmy_resid,dPmy_resid_err,chi2_min,n_obs_used,n_params,ndf,chi2_ndf,fit_prob,fit_valid,fit_note,cov_dthe_dthe,cov_dthe_dpe_b1,cov_dthe_dpe_b2,cov_dthe_dpe_b3,cov_dthe_dpe_b4,cov_dthe_dpe_b5,cov_dthe_dthp,cov_dthe_dpp,cov_dpe_b1_dthe,cov_dpe_b1_dpe_b1,cov_dpe_b1_dpe_b2,cov_dpe_b1_dpe_b3,cov_dpe_b1_dpe_b4,cov_dpe_b1_dpe_b5,cov_dpe_b1_dthp,cov_dpe_b1_dpp,cov_dpe_b2_dthe,cov_dpe_b2_dpe_b1,cov_dpe_b2_dpe_b2,cov_dpe_b2_dpe_b3,cov_dpe_b2_dpe_b4,cov_dpe_b2_dpe_b5,cov_dpe_b2_dthp,cov_dpe_b2_dpp,cov_dpe_b3_dthe,cov_dpe_b3_dpe_b1,cov_dpe_b3_dpe_b2,cov_dpe_b3_dpe_b3,cov_dpe_b3_dpe_b4,cov_dpe_b3_dpe_b5,cov_dpe_b3_dthp,cov_dpe_b3_dpp,cov_dpe_b4_dthe,cov_dpe_b4_dpe_b1,cov_dpe_b4_dpe_b2,cov_dpe_b4_dpe_b3,cov_dpe_b4_dpe_b4,cov_dpe_b4_dpe_b5,cov_dpe_b4_dthp,cov_dpe_b4_dpp,cov_dpe_b5_dthe,cov_dpe_b5_dpe_b1,cov_dpe_b5_dpe_b2,cov_dpe_b5_dpe_b3,cov_dpe_b5_dpe_b4,cov_dpe_b5_dpe_b5,cov_dpe_b5_dthp,cov_dpe_b5_dpp,cov_dthp_dthe,cov_dthp_dpe_b1,cov_dthp_dpe_b2,cov_dthp_dpe_b3,cov_dthp_dpe_b4,cov_dthp_dpe_b5,cov_dthp_dthp,cov_dthp_dpp,cov_dpp_dthe,cov_dpp_dpe_b1,cov_dpp_dpe_b2,cov_dpp_dpe_b3,cov_dpp_dpe_b4,cov_dpp_dpe_b5,cov_dpp_dthp,cov_dpp_dpp,end_marker
A,unconstrained,b1,1,-2.000000,-1.000000,-60.147303,0.010059,96.895540,0.016345,96.949664,0.016276,96.737072,0.016297,96.269494,0.016401,nan,nan,132.735826,0.024081,-331.430286,0.054498,6.676582,0.076272,10.620126,0.020999,-9.886464,0.039648,6.093132,0.026131,11.634465,0.031168,11.921087,0.017087,-9.228044,0.014093,9.235090,0.017267,4.957883,0.082395,1.300961,0.027072,0.658420,0.042078,3.141958,0.031320,75336.349741,16,7,9,8370.705527,0.000000,1,ok_unconstrained,0.000101,-0.000160,-0.000160,-0.000160,-0.000161,nan,-0.000223,0.000540,-0.000160,0.000267,0.000262,0.000262,0.000262,nan,0.000376,-0.000881,-0.000160,0.000262,0.000265,0.000262,0.000262,nan,0.000375,-0.000881,-0.000160,0.000262,0.000262,0.000266,0.000262,nan,0.000375,-0.000881,-0.000161,0.000262,0.000262,0.000262,0.000269,nan,0.000374,-0.000881,nan,nan,nan,nan,nan,nan,nan,nan,-0.000223,0.000376,0.000375,0.000375,0.000374,nan,0.000580,-0.001254,0.000540,-0.000881,-0.000881,-0.000881,-0.000881,nan,-0.001254,0.002970,done
A,unconstrained,b2,2,-1.000000,0.000000,-60.147303,0.010059,96.895540,0.016345,96.949664,0.016276,96.737072,0.016297,96.269494,0.016401,nan,nan,132.735826,0.024081,-331.430286,0.054498,8.864658,0.056844,11.144146,0.015812,-9.469704,0.027016,8.318530,0.021922,11.167914,0.028419,11.538970,0.013203,-9.006135,0.012518,9.546304,0.015460,2.303256,0.063552,0.394824,0.020599,0.463569,0.029775,1.227774,0.026825,75336.349741,16,7,9,8370.705527,0.000000,1,ok_unconstrained,0.000101,-0.000160,-0.000160,-0.000160,-0.000161,nan,-0.000223,0.000540,-0.000160,0.000267,0.000262,0.000262,0.000262,nan,0.000376,-0.000881,-0.000160,0.000262,0.000265,0.000262,0.000262,nan,0.000375,-0.000881,-0.000160,0.000262,0.000262,0.000266,0.000262,nan,0.000375,-0.000881,-0.000161,0.000262,0.000262,0.000262,0.000269,nan,0.000374,-0.000881,nan,nan,nan,nan,nan,nan,nan,nan,-0.000223,0.000376,0.000375,0.000375,0.000374,nan,0.000580,-0.001254,0.000540,-0.000881,-0.000881,-0.000881,-0.000881,nan,-0.001254,0.002970,done
A,unconstrained,b3,3,0.000000,1.000000,-60.147303,0.010059,96.895540,0.016345,96.949664,0.016276,96.737072,0.016297,96.269494,0.016401,nan,nan,132.735826,0.024081,-331.430286,0.054498,14.936879,0.052611,13.536455,0.017893,-9.742441,0.026797,10.018819,0.024521,13.000464,0.028933,13.039875,0.014343,-9.877765,0.013064,8.323895,0.016226,-1.936415,0.060042,-0.496580,0.022932,-0.135324,0.029812,-1.694924,0.029403,75336.349741,16,7,9,8370.705527,0.000000,1,ok_unconstrained,0.000101,-0.000160,-0.000160,-0.000160,-0.000161,nan,-0.000223,0.000540,-0.000160,0.000267,0.000262,0.000262,0.000262,nan,0.000376,-0.000881,-0.000160,0.000262,0.000265,0.000262,0.000262,nan,0.000375,-0.000881,-0.000160,0.000262,0.000262,0.000266,0.000262,nan,0.000375,-0.000881,-0.000161,0.000262,0.000262,0.000262,0.000269,nan,0.000374,-0.000881,nan,nan,nan,nan,nan,nan,nan,nan,-0.000223,0.000376,0.000375,0.000375,0.000374,nan,0.000580,-0.001254,0.000540,-0.000881,-0.000881,-0.000881,-0.000881,nan,-0.001254,0.002970,done
A,unconstrained,b4,4,1.000000,2.000000,-60.147303,0.010059,96.895540,0.016345,96.949664,0.016276,96.737072,0.016297,96.269494,0.016401,nan,nan,132.735826,0.024081,-331.430286,0.054498,21.041620,0.068077,18.044115,0.023912,-10.788871,0.034088,12.667341,0.040265,17.030985,0.032868,16.340975,0.019181,-11.794835,0.015002,5.635322,0.019962,-4.010635,0.075596,-1.703140,0.030654,-1.005964,0.037243,-7.032019,0.044942,75336.349741,16,7,9,8370.705527,0.000000,1,ok_unconstrained,0.000101,-0.000160,-0.000160,-0.000160,-0.000161,nan,-0.000223,0.000540,-0.000160,0.000267,0.000262,0.000262,0.000262,nan,0.000376,-0.000881,-0.000160,0.000262,0.000265,0.000262,0.000262,nan,0.000375,-0.000881,-0.000160,0.000262,0.000262,0.000266,0.000262,nan,0.000375,-0.000881,-0.000161,0.000262,0.000262,0.000262,0.000269,nan,0.000374,-0.000881,nan,nan,nan,nan,nan,nan,nan,nan,-0.000223,0.000376,0.000375,0.000375,0.000374,nan,0.000580,-0.001254,0.000540,-0.000881,-0.000881,-0.000881,-0.000881,nan,-0.001254,0.002970,done
B,unconstrained,b1,1,-2.000000,-1.000000,-239.608393,0.054460,480.221447,0.109195,479.931787,0.109218,479.725540,0.109121,479.436343,0.109086,478.943754,0.109325,311.707463,0.074020,-748.761116,0.168848,11.161092,0.462163,-1.827742,0.118095,4.380130,0.172748,9.892274,0.142104,12.904574,0.203493,-0.050538,0.091950,1.966654,0.072132,15.011339,0.088303,1.743482,0.504979,1.777204,0.149671,-2.413476,0.187203,5.119065,0.167305,4071.989367,20,8,12,339.332447,0.000000,1,ok_unconstrained,0.002966,-0.005808,-0.005810,-0.005812,-0.005814,-0.005815,-0.003748,0.009074,-0.005808,0.011924,0.011675,0.011674,0.011674,0.011674,0.007736,-0.018232,-0.005810,0.011675,0.011929,0.011674,0.011674,0.011674,0.007735,-0.018232,-0.005812,0.011674,0.011674,0.011907,0.011674,0.011674,0.007730,-0.018232,-0.005814,0.011674,0.011674,0.011674,0.011900,0.011674,0.007725,-0.018232,-0.005815,0.011674,0.011674,0.011674,0.011674,0.011952,0.007721,-0.018233,-0.003748,0.007736,0.007735,0.007730,0.007725,0.007721,0.005479,-0.011986,0.009074,-0.018232,-0.018232,-0.018232,-0.018232,-0.018233,-0.011986,0.028510,done
B,unconstrained,b2,2,-1.000000,0.000000,-239.608393,0.054460,480.221447,0.109195,479.931787,0.109218,479.725540,0.109121,479.436343,0.109086,478.943754,0.109325,311.707463,0.074020,-748.761116,0.168848,12.121441,0.441048,0.850109,0.120431,1.037342,0.176575,11.620013,0.143163,15.401443,0.203204,1.588937,0.092995,0.897808,0.073112,13.765801,0.088789,3.280002,0.485608,0.738828,0.152157,-0.139534,0.191113,2.145788,0.168461,4071.989367,20,8,12,339.332447,0.000000,1,ok_unconstrained,0.002966,-0.005808,-0.005810,-0.005812,-0.005814,-0.005815,-0.003748,0.009074,-0.005808,0.011924,0.011675,0.011674,0.011674,0.011674,0.007736,-0.018232,-0.005810,0.011675,0.011929,0.011674,0.011674,0.011674,0.007735,-0.018232,-0.005812,0.011674,0.011674,0.011907,0.011674,0.011674,0.007730,-0.018232,-0.005814,0.011674,0.011674,0.011674,0.011900,0.011674,0.007725,-0.018232,-0.005815,0.011674,0.011674,0.011674,0.011674,0.011952,0.007721,-0.018233,-0.003748,0.007736,0.007735,0.007730,0.007725,0.007721,0.005479,-0.011986,0.009074,-0.018232,-0.018232,-0.018232,-0.018232,-0.018233,-0.011986,0.028510,done
B,unconstrained,b3,3,0.000000,1.000000,-239.608393,0.054460,480.221447,0.109195,479.931787,0.109218,479.725540,0.109121,479.436343,0.109086,478.943754,0.109325,311.707463,0.074020,-748.761116,0.168848,17.015062,0.389060,2.775196,0.116642,-0.174292,0.167037,13.058886,0.139699,17.179290,0.197449,2.756294,0.089233,0.136758,0.071623,12.878940,0.086982,0.164228,0.436295,-0.018902,0.146860,0.311050,0.181745,-0.179946,0.164565,4071.989367,20,8,12,339.332447,0.000000,1,ok_unconstrained,0.002966,-0.005808,-0.005810,-0.005812,-0.005814,-0.005815,-0.003748,0.009074,-0.005808,0.011924,0.011675,0.011674,0.011674,0.011674,0.007736,-0.018232,-0.005810,0.011675,0.011929,0.011674,0.011674,0.011674,0.007735,-0.018232,-0.005812,0.011674,0.011674,0.011907,0.011674,0.011674,0.007730,-0.018232,-0.005814,0.011674,0.011674,0.011674,0.011900,0.011674,0.007725,-0.018232,-0.005815,0.011674,0.011674,0.011674,0.011674,0.011952,0.007721,-0.018233,-0.003748,0.007736,0.007735,0.007730,0.007725,0.007721,0.005479,-0.011986,0.009074,-0.018232,-0.018232,-0.018232,-0.018232,-0.018233,-0.011986,0.028510,done
B,unconstrained,b4,4,1.000000,2.000000,-239.608393,0.054460,480.221447,0.109195,479.931787,0.109218,479.725540,0.109121,479.436343,0.109086,478.943754,0.109325,311.707463,0.074020,-748.761116,0.168848,20.943816,0.351442,5.359616,0.117716,-1.342894,0.152905,14.192023,0.141558,19.672169,0.194617,4.393150,0.087716,-0.930379,0.071187,11.635392,0.086821,-1.271647,0.401730,-0.966466,0.146803,0.412515,0.168664,-2.556631,0.166062,4071.989367,20,8,12,339.332447,0.000000,1,ok_unconstrained,0.002966,-0.005808,-0.005810,-0.005812,-0.005814,-0.005815,-0.003748,0.009074,-0.005808,0.011924,0.011675,0.011674,0.011674,0.011674,0.007736,-0.018232,-0.005810,0.011675,0.011929,0.011674,0.011674,0.011674,0.007735,-0.018232,-0.005812,0.011674,0.011674,0.011907,0.011674,0.011674,0.007730,-0.018232,-0.005814,0.011674,0.011674,0.011674,0.011900,0.011674,0.007725,-0.018232,-0.005815,0.011674,0.011674,0.011674,0.011674,0.011952,0.007721,-0.018233,-0.003748,0.007736,0.007735,0.007730,0.007725,0.007721,0.005479,-0.011986,0.009074,-0.018232,-0.018232,-0.018232,-0.018232,-0.018233,-0.011986,0.028510,done
B,unconstrained,b5,5,2.000000,3.000000,-239.608393,0.054460,480.221447,0.109195,479.931787,0.109218,479.725540,0.109121,479.436343,0.109086,478.943754,0.109325,311.707463,0.074020,-748.761116,0.168848,26.047772,0.366964,9.130852,0.134836,-4.101301,0.154683,15.306192,0.161704,23.918287,0.203926,7.181204,0.096547,-2.748033,0.075935,9.517259,0.092753,-2.129485,0.419819,-1.949648,0.165837,1.353268,0.172316,-5.788933,0.186417,4071.989367,20,8,12,339.332447,0.000000,1,ok_unconstrained,0.002966,-0.005808,-0.005810,-0.005812,-0.005814,-0.005815,-0.003748,0.009074,-0.005808,0.011924,0.011675,0.011674,0.011674,0.011674,0.007736,-0.018232,-0.005810,0.011675,0.011929,0.011674,0.011674,0.011674,0.007735,-0.018232,-0.005812,0.011674,0.011674,0.011907,0.011674,0.011674,0.007730,-0.018232,-0.005814,0.011674,0.011674,0.011674,0.011900,0.011674,0.007725,-0.018232,-0.005815,0.011674,0.011674,0.011674,0.011674,0.011952,0.007721,-0.018233,-0.003748,0.007736,0.007735,0.007730,0.007725,0.007721,0.005479,-0.011986,0.009074,-0.018232,-0.018232,-0.018232,-0.018232,-0.018233,-0.011986,0.028510,done
