toy,success,message,nit,nfev,chi2,max_abs_pull,exact_inversion_flag,physical_branch_flag,dpe_C,dpe_E,dpe_D,dtheta_e_C,dtheta_e_E,dtheta_e_D,dtheta_p_common,dpp_common
32,True,Optimization terminated successfully.,2907,4378,40.213346,2.888111,0,1,2.432298,2.554080,2.602686,-1.074731,-1.299891,-1.510359,-0.642748,-0.590227
33,True,Optimization terminated successfully.,3118,4619,25.873848,2.469164,0,1,0.917056,0.993163,1.019748,-0.515710,-0.607482,-0.764017,-1.452266,1.592994
34,True,Optimization terminated successfully.,2922,4368,55.604300,3.531063,0,1,-1.665248,-1.557259,-1.522484,0.591498,0.499044,0.274599,-2.928453,5.268988
35,True,Optimization terminated successfully.,2570,3821,48.770392,2.698173,0,1,1.297271,1.423424,1.411364,-0.619314,-0.780220,-0.999372,-1.266333,1.052491
36,True,Optimization terminated successfully.,2844,4272,21.711926,2.418163,0,1,1.041612,1.197625,1.148948,-0.568840,-0.702007,-0.942073,-1.486679,1.369697
37,True,Optimization terminated successfully.,2604,3888,28.963164,2.869125,0,1,1.376419,1.533424,1.467338,-0.681544,-0.810922,-0.991747,-1.211146,0.885055
38,True,Optimization terminated successfully.,2674,4001,53.158867,3.351516,0,1,7.897274,8.060985,8.026923,-3.553704,-3.717924,-3.909262,2.307069,-8.332267
39,True,Optimization terminated successfully.,2966,4446,42.255521,2.727301,0,1,-1.652880,-1.438380,-1.539932,0.629342,0.517915,0.241272,-2.817655,5.161645
40,True,Optimization terminated successfully.,2867,4286,46.903393,3.805738,0,1,1.512702,1.602577,1.519901,-0.766187,-0.875571,-1.064223,-1.200627,0.809172
41,True,Optimization terminated successfully.,2887,4284,38.639802,2.565094,0,1,1.989359,2.091812,2.095071,-0.987238,-1.091034,-1.239650,-0.859931,0.107399
42,True,Optimization terminated successfully.,3039,4523,22.865659,2.137816,0,1,1.421484,1.605418,1.533093,-0.828856,-0.884114,-1.095699,-1.225775,0.792174
