schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.31969,4.71239,4.51604,401,5,137,5,401,551,0.585165,0.0337861,0.356454,0.021416,0.463672,0.0597149,0.498437,0.0325009,1e-05,0.00324496,0.25,3.3,0.36,0.00301863,0.000435749,0.128787,0.0652056,0.144353,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.71239,5.10509,4.90874,117,0,35,2,117,141,0.195676,-0.00563174,0.0659147,0.0085625,0.186294,0.0288788,0.115765,0.0141592,1e-05,0.00324496,0.25,3.3,0.36,0.00522191,0.00103111,0.155018,0.12231,0.197459,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.10509,5.49779,5.30144,35,1,17,0,35,82,0.0502819,0.00844892,0.0646913,-0.0021416,0.0243375,0.019771,0.0623863,0.0102997,1e-05,0.00324496,0.25,3.3,0.36,0.00126589,0.00104939,0.812369,0.165096,0.828975,256,0,XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.49779,5.89049,5.69414,18,0,8,0,18,54,0.0175694,0,0.028073,0,0.0102204,0.011639,0.040439,0.00758929,1e-05,0.00324496,0.25,3.3,0.36,0.000820119,0.000946547,1.1388,0.187672,1.15416,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,15,0,0.1,0.05,0,1,0.5,5.89049,6.28319,6.08684,15,0,4,0,15,49,0.0254438,0,0.0073247,0,0.0235263,0.0101115,0.0424965,0.00801094,1e-05,0.00324496,0.25,3.3,0.36,0.00179643,0.000843095,0.429794,0.188508,0.469317,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,0,0.1,0.2,0.15,0,1,0.5,0,0.392699,0.19635,2,0,1,0,2,18,0.00424056,0,0.00488143,0,0.0029627,0.00370722,0.0157328,0.00465873,1e-05,0.00324496,0.25,3.3,0.36,0.00061107,0.00078575,1.2513,0.296116,1.28586,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,1,0.1,0.2,0.15,0,1,0.5,0.392699,0.785398,0.589049,2,0,0,0,2,28,0.00181738,0,0,0,0.00181738,0.0036849,0.0257665,0.00571955,1e-05,0.00324496,0.25,3.3,0.36,0.000228876,0.000466839,2.02759,0.221977,2.0397,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,2,0.1,0.2,0.15,0,1,0.5,0.785398,1.1781,0.981748,8,0,3,0,8,61,0.0175694,-0.00281631,0.013431,0,0.0168697,0.00781151,0.0330879,0.00609306,1e-05,0.00324496,0.25,3.3,0.36,0.00165442,0.000824438,0.46305,0.184148,0.498323,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,3,0.1,0.2,0.15,0,1,0.5,1.1781,1.5708,1.37445,70,1,25,0,70,94,0.125398,0.00563348,0.0854541,0,0.0973945,0.0249897,0.0630194,0.00935546,1e-05,0.00324496,0.25,3.3,0.36,0.00501498,0.00148661,0.256582,0.148454,0.296433,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,4,0.1,0.2,0.15,0,1,0.5,1.5708,1.9635,1.76715,463,4,148,4,463,549,0.733642,0.0112609,0.39064,0.0064209,0.6218,0.0620671,0.51309,0.0331995,1e-05,0.00324496,0.25,3.3,0.36,0.00393248,0.00046779,0.0998183,0.0647051,0.118956,0,1,
