run,label,plane,paddle,side,selected_bump,selected_control,accepted_bump,accepted_control,two_sided_bump,two_sided_control,pos_valid_bump,pos_valid_control,neg_valid_bump,neg_valid_control,bump_occupancy,control_occupancy,bump_two_sided_fraction,control_two_sided_fraction,beta_bump_n,beta_bump_mean,beta_bump_sigma,beta_control_n,beta_control_mean,beta_control_sigma,beta_shift,pos_minus_neg_shift,pos_neg_mean_shift,track_along_bump_mean,track_along_control_mean,raw_bump_mean,raw_control_mean,uncorrected_bump_mean,uncorrected_control_mean,time_walk_bump_mean,time_walk_control_mean,tof_bump_mean,tof_control_mean,corrected_bump_mean,corrected_control_mean,side_adc_used_bump,side_adc_used_control,raw_adc_bump_n,raw_adc_control_n,raw_tdc_bump_n,raw_tdc_control_n,uncorrected_bump_n,uncorrected_control_n,time_walk_bump_n,time_walk_control_n,tof_bump_n,tof_control_n,corrected_bump_n,corrected_control_n,raw_adc_amp_bump_mean,raw_adc_amp_control_mean,adc_amp_bump_mean,adc_amp_control_mean,adc_int_bump_mean,adc_int_control_mean,score,candidate_stage
28425,baseline,1x,1,pos,12811,23918,13,17,9,10,11,12,11,15,0.001014752947,0.0007107617694,0.6923076923,0.5882352941,13,0.9634813555,0.2921241912,17,1.023807403,0.0325313953,-0.06032604742,0,-4.158674481,-0.01856289751,3.008245007,5018.818182,5526.333333,67.26998364,71.20227833,66.50778347,70.42361603,64.48185725,68.64053173,66.17354884,70.82044206,12,14,12,14,11,12,11,12,11,12,9,10,11,12,522.4166667,515.4285714,67.98299154,66.81169782,20.57373047,22.45152065,0,insufficient_statistics
28425,baseline,1x,1,neg,12811,23918,13,17,9,10,11,12,11,15,0.001014752947,0.0007107617694,0.6923076923,0.5882352941,13,0.9634813555,0.2921241912,17,1.023807403,0.0325313953,-0.06032604742,0,-4.158674481,-0.01856289751,3.008245007,5016.363636,5571.625,66.11582,73.77887467,66.14154911,73.82128676,64.48185725,68.64053173,68.69564773,75.72368994,11,16,11,16,11,16,11,15,11,15,9,10,11,15,851.1818182,687.6875,143.1274414,103.4088135,46.24778054,32.8503418,0,insufficient_statistics
28425,baseline,1x,2,pos,12811,23918,29,42,14,28,20,36,23,34,0.00226367965,0.001755999666,0.4827586207,0.6666666667,29,0.9234828585,0.326358246,42,0.9425242869,0.2658579326,-0.01904142843,0,-1.207161433,3.400918467,-0.3646999471,5499.25,5400.589744,73.562395,74.04526944,72.53789169,73.23200681,69.20434752,70.41150896,72.12309746,73.25757977,21,38,21,38,20,39,20,36,20,36,14,28,20,36,532.8095238,722.7105263,71.67271205,95.50717002,22.73344494,31.39674137,0.1391587929,raw
28425,baseline,1x,2,neg,12811,23918,29,42,14,28,20,36,23,34,0.00226367965,0.001755999666,0.4827586207,0.6666666667,29,0.9234828585,0.326358246,42,0.9425242869,0.2658579326,-0.01904142843,0,-1.207161433,3.400918467,-0.3646999471,5256.086957,5276.675676,72.04760348,73.64712941,71.26056357,72.94795764,69.20434752,70.41150896,72.88949008,74.16649856,24,40,24,40,23,37,23,34,23,34,14,28,23,34,488.8333333,552.35,62.6856486,78.16314697,22.33581543,27.83508301,0.1391587929,raw
28425,baseline,1x,3,pos,12811,23918,19,52,10,29,15,41,14,40,0.001483100461,0.002174094824,0.5263157895,0.5576923077,19,0.9079871567,0.3208939454,52,0.9353353021,0.2767372453,-0.02734814544,0,1.854597434,1.292374564,2.338388757,5467,5488.560976,73.674704,72.13977463,72.75321933,71.16877593,70.20280054,68.3482031,73.73277468,71.46691069,17,49,17,49,15,41,15,41,15,41,10,29,15,41,639.1176471,607.9795918,97.2218233,89.61206553,29.30922564,28.1120456,0,insufficient_statistics
28425,baseline,1x,3,neg,12811,23918,19,52,10,29,15,41,14,40,0.001483100461,0.002174094824,0.5263157895,0.5576923077,19,0.9079871567,0.3208939454,52,0.9353353021,0.2767372453,-0.02734814544,0,1.854597434,1.292374564,2.338388757,5436.428571,5477.268293,69.56182286,70.344498,69.31329019,70.14299054,70.20280054,68.3482031,69.9101876,71.46183976,16,45,16,45,14,41,14,40,14,40,10,29,14,40,457,536.2888889,49.88861084,69.31559245,15.57067871,21.93630642,0,insufficient_statistics
28425,baseline,1x,4,pos,12811,23918,21,62,14,38,17,52,18,48,0.001639216298,0.002592189982,0.6666666667,0.6129032258,21,0.9609795917,0.2336143709,62,0.9647724952,0.2219969786,-0.003792903519,-1.37811088,-3.536308091,3.781453458,2.069323308,5470.529412,5535.811321,69.43051529,71.01222431,68.33796695,69.81461695,64.16748832,66.44851993,68.50110752,71.08738866,19,56,19,56,17,53,17,51,17,51,14,37,17,52,451.5789474,569.2321429,62.04384252,90.75382778,19.15244655,28.30383301,0.01664432242,insufficient_statistics
28425,baseline,1x,4,neg,12811,23918,21,62,14,38,17,52,18,48,0.001639216298,0.002592189982,0.6666666667,0.6129032258,21,0.9609795917,0.2336143709,62,0.9647724952,0.2219969786,-0.003792903519,-1.37811088,-3.536308091,3.781453458,2.069323308,5501.666667,5510,70.93913889,70.91540208,70.00888998,70.11308848,64.16748832,66.44851993,70.82698855,71.21790245,19,51,19,51,18,48,18,48,18,48,14,37,18,48,427.7368421,597.6078431,44.8255037,68.10925054,14.21926398,26.70180377,0.01664432242,insufficient_statistics
28425,baseline,1x,5,pos,12811,23918,26,63,15,32,20,42,21,53,0.002029505893,0.002633999498,0.5769230769,0.5079365079,26,1.004002334,0.06906672468,63,1.002496523,0.1329208092,0.00150581113,0,-2.935720297,1.737990225,1.877203669,5553.9,5527.347826,66.882451,69.8943319,65.79910937,68.65751845,63.47660551,66.41232581,66.27574301,69.2491169,23,55,23,55,20,46,20,42,20,42,15,32,20,42,438.5652174,480.0727273,50.48403533,60.53355824,16.33322011,20.2134233,0.22810237,uncorrected
28425,baseline,1x,5,neg,12811,23918,26,63,15,32,20,42,21,53,0.002029505893,0.002633999498,0.5769230769,0.5079365079,26,1.004002334,0.06906672468,63,1.002496523,0.1329208092,0.00150581113,0,-2.935720297,1.737990225,1.877203669,5528.52381,5517.584906,66.10651905,69.49706717,65.45517009,68.80631953,63.47660551,66.41232581,67.35065706,70.55713639,23,54,23,54,21,53,21,53,21,53,15,32,21,53,544.0434783,571.0740741,75.67828635,82.62916848,24.82464334,30.94120732,0.22810237,uncorrected
