setting,run,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,used_in_fit,used_in_summary,fit_valid,y_obs_MeV,y_err_MeV,coeff_dthe,coeff_dpe,coeff_dthp,coeff_dpp,fixed_dthe_mrad,fixed_dthp_mrad,fixed_dpp_tenthpct,fixed_term_MeV,dpe_fit_tenthpct,dpe_fit_err_tenthpct,y_pred_MeV,resid_MeV
A,23841,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.0099,0.11191,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.45785
A,23842,1,b1,-2,-1,-1.5,W,1,1,1,6.09009,0.256763,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-5.09925
A,23842,1,b1,-2,-1,-1.5,Em,1,1,1,10.8581,0.074423,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-1.7767
A,23842,1,b1,-2,-1,-1.5,Pmz,1,1,1,-9.96524,0.138057,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-0.886259
A,23842,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.1894,0.089126,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.27835
A,23844,1,b1,-2,-1,-1.5,W,1,1,1,6.42994,0.206461,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-4.7594
A,23844,1,b1,-2,-1,-1.5,Em,1,1,1,10.7208,0.057019,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-1.914
A,23844,1,b1,-2,-1,-1.5,Pmz,1,1,1,-9.92526,0.107076,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-0.846285
A,23844,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.06555,0.070951,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.40219
A,23845,1,b1,-2,-1,-1.5,W,1,1,1,6.74618,0.220551,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-4.44316
A,23845,1,b1,-2,-1,-1.5,Em,1,1,1,10.5546,0.057644,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-2.08022
A,23845,1,b1,-2,-1,-1.5,Pmz,1,1,1,-10.0336,0.112313,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-0.954646
A,23845,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.06062,0.073466,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.40713
A,23846,1,b1,-2,-1,-1.5,W,1,1,1,6.95843,0.199456,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-4.23091
A,23846,1,b1,-2,-1,-1.5,Em,1,1,1,10.8444,0.054171,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-1.79038
A,23846,1,b1,-2,-1,-1.5,Pmz,1,1,1,-10.0282,0.10149,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-0.949237
A,23846,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.06755,0.067668,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.40019
A,23847,1,b1,-2,-1,-1.5,W,1,1,1,7.09748,0.21505,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-4.09186
A,23847,1,b1,-2,-1,-1.5,Em,1,1,1,10.993,0.059364,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-1.64179
A,23847,1,b1,-2,-1,-1.5,Pmz,1,1,1,-10.1756,0.109903,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-1.0966
A,23847,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.13976,0.07359,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.32799
A,23848,1,b1,-2,-1,-1.5,W,1,1,1,6.42704,0.227934,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.808044,0.00232542,11.1893,-4.76229
A,23848,1,b1,-2,-1,-1.5,Em,1,1,1,10.9568,0.063411,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.808044,0.00232542,12.6348,-1.67797
A,23848,1,b1,-2,-1,-1.5,Pmz,1,1,1,-10.3788,0.125838,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.808044,0.00232542,-9.07898,-1.29981
A,23848,1,b1,-2,-1,-1.5,Pmy,1,1,1,6.03469,0.079545,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.808044,0.00232542,10.4677,-4.43306
A,23839,2,b2,-1,0,-0.5,W,1,1,1,7.5562,0.216741,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-3.07394
A,23839,2,b2,-1,0,-0.5,Em,1,1,1,9.40558,0.061951,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-2.77121
A,23839,2,b2,-1,0,-0.5,Pmz,1,1,1,-8.07548,0.100934,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,0.737529
A,23839,2,b2,-1,0,-0.5,Pmy,1,1,1,8.27864,0.08203,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.56212
A,23840,2,b2,-1,0,-0.5,W,1,1,1,8.57298,0.147714,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-2.05716
