setting,dp_idx,dp_label,run,var,y_obs,y_err,y_pred,resid,pull
A,0,full,23846,Pmz,-10.0458,0.038518,-9.87447,-0.171286,-4.44691
A,0,full,23846,Pmy,9.11653,0.031888,9.11356,0.00297015,0.0931432
A,0,full,23847,W,13.7701,0.083202,13.4656,0.304525,3.66006
A,0,full,23847,Em,13.8916,0.028485,13.5839,0.307674,10.8013
A,0,full,23847,Pmz,-10.1012,0.041079,-9.87447,-0.226732,-5.51941
A,0,full,23847,Pmy,9.16361,0.034163,9.11356,0.0500552,1.46519
A,0,full,23848,W,13.8731,0.089642,13.4656,0.407464,4.54545
A,0,full,23848,Em,13.8988,0.030691,13.5839,0.314838,10.2583
A,0,full,23848,Pmz,-10.1183,0.044433,-9.87447,-0.243819,-5.48734
A,0,full,23848,Pmy,9.11525,0.036613,9.11356,0.00169315,0.0462445
A,1,b1,23839,W,6.07656,0.298431,6.67658,-0.600021,-2.01059
A,1,b1,23839,Em,8.82547,0.085937,10.6201,-1.79466,-20.8834
A,1,b1,23839,Pmz,-8.57909,0.159808,-9.88646,1.30737,8.1809
A,1,b1,23839,Pmy,6.03197,0.103345,6.09313,-0.0611639,-0.591842
A,1,b1,23840,W,6.96756,0.197389,6.67658,0.290977,1.47413
A,1,b1,23840,Em,10.3773,0.05295,10.6201,-0.242809,-4.58562
A,1,b1,23840,Pmz,-9.47411,0.09703,-9.88646,0.412351,4.24973
A,1,b1,23840,Pmy,6.17476,0.067402,6.09313,0.0816271,1.21105
A,1,b1,23841,W,6.79256,0.31926,6.67658,0.115975,0.363261
A,1,b1,23841,Em,10.7033,0.093865,10.6201,0.0831552,0.885903
A,1,b1,23841,Pmz,-10.1303,0.186412,-9.88646,-0.24387,-1.30823
A,1,b1,23841,Pmy,6.0099,0.11191,6.09313,-0.0832299,-0.743722
A,1,b1,23842,W,6.09009,0.256763,6.67658,-0.586495,-2.28419
A,1,b1,23842,Em,10.8581,0.074423,10.6201,0.237967,3.1975
A,1,b1,23842,Pmz,-9.96524,0.138057,-9.88646,-0.0787748,-0.570596
A,1,b1,23842,Pmy,6.1894,0.089126,6.09313,0.0962661,1.08011
A,1,b1,23844,W,6.42994,0.206461,6.67658,-0.246639,-1.1946
A,1,b1,23844,Em,10.7208,0.057019,10.6201,0.100668,1.76552
A,1,b1,23844,Pmz,-9.92526,0.107076,-9.88646,-0.0388008,-0.362367
A,1,b1,23844,Pmy,6.06555,0.070951,6.09313,-0.0275779,-0.38869
A,1,b1,23845,W,6.74618,0.220551,6.67658,0.0695958,0.315554
A,1,b1,23845,Em,10.5546,0.057644,10.6201,-0.0655518,-1.13718
A,1,b1,23845,Pmz,-10.0336,0.112313,-9.88646,-0.147162,-1.31028
A,1,b1,23845,Pmy,6.06062,0.073466,6.09313,-0.0325129,-0.442558
A,1,b1,23846,W,6.95843,0.199456,6.67658,0.281846,1.41307
A,1,b1,23846,Em,10.8444,0.054171,10.6201,0.224287,4.14036
A,1,b1,23846,Pmz,-10.0282,0.10149,-9.88646,-0.141753,-1.39672
A,1,b1,23846,Pmy,6.06755,0.067668,6.09313,-0.0255779,-0.377992
A,1,b1,23847,W,7.09748,0.21505,6.67658,0.420894,1.95719
A,1,b1,23847,Em,10.993,0.059364,10.6201,0.37287,6.28108
A,1,b1,23847,Pmz,-10.1756,0.109903,-9.88646,-0.289117,-2.63065
A,1,b1,23847,Pmy,6.13976,0.07359,6.09313,0.0466301,0.633647
A,1,b1,23848,W,6.42704,0.227934,6.67658,-0.249537,-1.09478
A,1,b1,23848,Em,10.9568,0.063411,10.6201,0.336698,5.30978
A,1,b1,23848,Pmz,-10.3788,0.125838,-9.88646,-0.492322,-3.91235
A,1,b1,23848,Pmy,6.03469,0.079545,6.09313,-0.0584409,-0.73469
A,2,b2,23839,W,7.5562,0.216741,8.86466,-1.30846,-6.03696
A,2,b2,23839,Em,9.40558,0.061951,11.1441,-1.73856,-28.0635
A,2,b2,23839,Pmz,-8.07548,0.100934,-9.4697,1.39423,13.8133
A,2,b2,23839,Pmy,8.27864,0.08203,8.31853,-0.0398927,-0.486318
A,2,b2,23840,W,8.57298,0.147714,8.86466,-0.29168,-1.97463
A,2,b2,23840,Em,10.9329,0.040679,11.1441,-0.211196,-5.19177
A,2,b2,23840,Pmz,-9.33298,0.069516,-9.4697,0.136727,1.96685
A,2,b2,23840,Pmy,8.3453,0.057205,8.31853,0.0267703,0.467972
A,2,b2,23841,W,8.84835,0.235865,8.86466,-0.0163132,-0.0691632
A,2,b2,23841,Em,11.3771,0.070052,11.1441,0.232936,3.32519
A,2,b2,23841,Pmz,-9.66365,0.114085,-9.4697,-0.193946,-1.70001
A,2,b2,23841,Pmy,8.23454,0.089085,8.31853,-0.0839897,-0.942804
A,2,b2,23842,W,8.9829,0.193916,8.86466,0.118244,0.609768
A,2,b2,23842,Em,11.194,0.052756,11.1441,0.0498949,0.945768
A,2,b2,23842,Pmz,-9.52812,0.090506,-9.4697,-0.0584176,-0.645455
A,2,b2,23842,Pmy,8.30777,0.074128,8.31853,-0.0107567,-0.145109
A,2,b2,23844,W,8.84266,0.156425,8.86466,-0.0220002,-0.140644
A,2,b2,23844,Em,11.1282,0.042859,11.1441,-0.0159601,-0.372386
A,2,b2,23844,Pmz,-9.64984,0.074668,-9.4697,-0.180138,-2.41251
A,2,b2,23844,Pmy,8.2944,0.060475,8.31853,-0.0241327,-0.399052
A,2,b2,23845,W,8.68978,0.161465,8.86466,-0.174877,-1.08307
A,2,b2,23845,Em,11.0894,0.044152,11.1441,-0.0547181,-1.23931
A,2,b2,23845,Pmz,-9.59681,0.07687,-9.4697,-0.127109,-1.65355
A,2,b2,23845,Pmy,8.2169,0.062246,8.31853,-0.101628,-1.63268
A,2,b2,23846,W,9.25811,0.149121,8.86466,0.393447,2.63844
A,2,b2,23846,Em,11.431,0.041283,11.1441,0.286839,6.94811
A,2,b2,23846,Pmz,-9.61567,0.071065,-9.4697,-0.145968,-2.054
A,2,b2,23846,Pmy,8.33786,0.057979,8.31853,0.0193323,0.333437
A,2,b2,23847,W,9.17196,0.159633,8.86466,0.307303,1.92506
A,2,b2,23847,Em,11.5255,0.04465,11.1441,0.381319,8.54018
A,2,b2,23847,Pmz,-9.66979,0.075679,-9.4697,-0.200086,-2.64387
A,2,b2,23847,Pmy,8.39743,0.061663,8.31853,0.0789053,1.27962
A,2,b2,23848,W,9.33685,0.1706,8.86466,0.472197,2.76786
A,2,b2,23848,Em,11.596,0.04846,11.1441,0.451857,9.32433
A,2,b2,23848,Pmz,-9.64538,0.083073,-9.4697,-0.175673,-2.11468
A,2,b2,23848,Pmy,8.39181,0.066412,8.31853,0.0732763,1.10336
A,3,b3,23839,W,13.3835,0.190347,14.9369,-1.55338,-8.1608
A,3,b3,23839,Em,11.7152,0.068456,13.5365,-1.82126,-26.6048
A,3,b3,23839,Pmz,-8.40283,0.098946,-9.74244,1.33961,13.5388
A,3,b3,23839,Pmy,9.90327,0.088704,10.0188,-0.11555,-1.30264
A,3,b3,23840,W,14.8492,0.140135,14.9369,-0.0877019,-0.625838
A,3,b3,23840,Em,13.3338,0.046546,13.5365,-0.202658,-4.35393
A,3,b3,23840,Pmz,-9.62392,0.070919,-9.74244,0.11852,1.67121
A,3,b3,23840,Pmy,10.0321,0.065362,10.0188,0.0132654,0.202953
A,3,b3,23841,W,14.8179,0.2071,14.9369,-0.118936,-0.574292
A,3,b3,23841,Em,13.6687,0.073979,13.5365,0.132215,1.7872
A,3,b3,23841,Pmz,-9.91767,0.106071,-9.74244,-0.175232,-1.65202
A,3,b3,23841,Pmy,10.0049,0.09715,10.0188,-0.0139586,-0.14368
A,3,b3,23842,W,14.7768,0.172525,14.9369,-0.160072,-0.927818
A,3,b3,23842,Em,13.689,0.061161,13.5365,0.152501,2.49344
A,3,b3,23842,Pmz,-9.88094,0.08941,-9.74244,-0.138497,-1.54901
A,3,b3,23842,Pmy,9.99931,0.080422,10.0188,-0.0195096,-0.24259
A,3,b3,23844,W,15.12,0.146151,14.9369,0.183154,1.25318
A,3,b3,23844,Em,13.5898,0.049562,13.5365,0.0533612,1.07666
