setting,dp_idx,dp_label,dp_lo,dp_hi,n_runs,n_vars,n_rows,n_valid,n_invalid,statusD_summary,statusS_summary,entriesS_mean,entriesS_min,entriesS_max,diagnosis,usable_for_next_stage
A,0,full,-10,20,9,4,36,36,0,"0","0",95136.000,95136.000,95136.000,"usable",1
A,1,b1,-2.000,-1.000,9,4,36,36,0,"0","0",21789.000,21789.000,21789.000,"usable",1
A,2,b2,-1.000,0.000,9,4,36,36,0,"0","0",24193.000,24193.000,24193.000,"usable",1
A,3,b3,0.000,1.000,9,4,36,36,0,"0","0",17090.000,17090.000,17090.000,"usable",1
A,4,b4,1.000,2.000,9,4,36,36,0,"0","0",5564.000,5564.000,5564.000,"usable",1
A,5,b5,2.000,3.000,9,4,36,0,36,"0","-999",0.000,0.000,0.000,"unusable: SIM has zero entries",0
B,0,full,-10.000,20.000,3,4,12,12,0,"0","0",95796.000,95796.000,95796.000,"usable",1
B,1,b1,-2.000,-1.000,3,4,12,12,0,"0","0",13720.000,13720.000,13720.000,"usable",1
B,2,b2,-1.000,0.000,3,4,12,12,0,"0","0",13365.000,13365.000,13365.000,"usable",1
B,3,b3,0.000,1.000,3,4,12,12,0,"0","0",11973.000,11973.000,11973.000,"usable",1
B,4,b4,1.000,2.000,3,4,12,12,0,"0","0",9683.000,9683.000,9683.000,"usable",1
B,5,b5,2.000,3.000,3,4,12,12,0,"0","0",6306.000,6306.000,6306.000,"usable",1
