run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
25126,signal,LH2,PI-SIDIS,28.226,4.982,0.9983,1.0,1.020102,-1.0,1.0,ps6,1.0,54.6746,3.51868
25127,signal,LH2,PI-SIDIS,41.762,67.229,0.9991,1.0,1.029534,-1.0,1.0,ps6,1.0,58.169,0.986085
25128,signal,LH2,PI-SIDIS,41.91,64.578,0.999,1.0,1.030821,-1.0,1.0,ps6,1.0,58.3321,1.00592
25129,signal,LH2,PI-SIDIS,42.351,70.064,0.9989,1.0,1.031798,1.0,-1.0,ps5,1.0,61.2595,1.0037
25130,signal,LH2,PI-SIDIS,21.968,2.695,0.9969,1.0,1.016083,1.0,-1.0,ps5,1.0,68.0837,5.31766
25131,signal,LH2,PI-SIDIS,24.267,43.851,0.9991,1.0,1.017794,-1.0,1.0,ps6,1.0,60.4371,1.22471
25134,dummy,Dummy,PI-SIDIS,38.788,61.19,0.9989,1.0,1.0,-1.0,1.0,ps6,1.0,41.1088,0.858733
25135,dummy,Dummy,PI-SIDIS,39.578,64.588,0.9992,1.0,1.0,-1.0,1.0,ps6,1.0,41.771,0.844202
