# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2/manifest.json
# rel_under_settings: pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 4
# N_valid_for_fit1: 4
# N_valid_for_fit2: 4
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000189826498974
# fit1_a_err: 3.91328392931e-06
# fit1_b_per_kHz: -3.8925667711e-08
# fit1_b_err_per_kHz: 7.88388620276e-09
# fit1_chi2: 1.60251083372
# fit1_ndf: 2
# fit1_prob: 0.4487652229
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -0.00020504974158
# fit2_m_err_per_kHz: 2.06609709103e-05
# tau_ns: 205.04974158
# tau_ns_err: 20.6609709103
# fit2_chi2: 0.241304300915
# fit2_ndf: 3
# fit2_prob: 0.970661035968

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
25138,460.27,45.0674,0.386687,264511.1494,66.84605941,0.0001703799636,1.462526967e-06,0.8975562658,0.02004313923,OK,OK,OK,1,""
25139,550.221,44.5639,0.374087,264429.3609,63.71293725,0.0001685285622,1.415278039e-06,0.887803142,0.01976243549,OK,OK,OK,1,""
25140,566.011,44.5411,0.364004,264370.6372,61.90236497,0.0001684797543,1.377435033e-06,0.8875460234,0.0196831643,OK,OK,OK,1,""
25141,312.126,47.3925,0.453454,265450.2843,80.31294859,0.0001785362563,1.70909837e-06,0.9405233584,0.02137740978,OK,OK,OK,1,""
