dataset,method,init,parameter,value,error
radwan_rangescan_k1p5,tminuit_simplex,zero_init,dtheta_p_common,-0.786841,0.180059
radwan_rangescan_k1p5,tminuit_simplex,zero_init,dpp_common,0.001643,0.442768
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dpe_C,129.986586,0.313595
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dpe_E,130.140916,0.313420
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dpe_D,130.134786,0.314241
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dtheta_e_C,-56.771268,0.141885
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dtheta_e_E,-56.924679,0.141384
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dtheta_e_D,-57.093318,0.142462
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dtheta_p_common,69.910509,0.180059
radwan_rangescan_k1p5,tminuit_migrad,zero_init,dpp_common,-181.348259,0.442768
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dpe_C,2.106674,0.313595
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dpe_E,2.250999,0.313420
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dpe_D,2.225130,0.314241
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dtheta_e_C,-0.997411,0.141886
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dtheta_e_E,-1.138126,0.141384
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dtheta_e_D,-1.297943,0.142462
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dtheta_p_common,-0.765507,0.180059
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,dpp_common,-0.051505,0.442768
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dpe_C,129.986588,5.852112
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dpe_E,130.140918,5.852787
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dpe_D,130.134788,5.853735
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dtheta_e_C,-56.771269,2.552665
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dtheta_e_E,-56.924680,2.553297
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dtheta_e_D,-57.093319,2.553789
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dtheta_p_common,69.910510,3.234762
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,dpp_common,-181.348262,8.296775
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dpe_C,97.264202,0.287880
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dpe_E,97.406315,0.287896
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dpe_D,97.380778,0.288627
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dtheta_e_C,-42.506307,0.130155
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dtheta_e_E,-42.652362,0.129475
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dtheta_e_D,-42.868746,0.129928
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dtheta_p_common,51.791927,0.165011
radwan_rangescan_k2p0,tminuit_simplex,zero_init,dpp_common,-135.014819,0.406636
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dpe_C,97.273384,0.287879
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dpe_E,97.415511,0.287895
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dpe_D,97.389981,0.288629
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dtheta_e_C,-42.510309,0.130155
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dtheta_e_E,-42.656360,0.129475
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dtheta_e_D,-42.872763,0.129932
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dtheta_p_common,51.797010,0.165009
radwan_rangescan_k2p0,tminuit_migrad,zero_init,dpp_common,-135.027846,0.406636
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dpe_C,97.277762,0.287880
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dpe_E,97.419887,0.287896
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dpe_D,97.394387,0.288627
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dtheta_e_C,-42.512224,0.130155
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dtheta_e_E,-42.658277,0.129475
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dtheta_e_D,-42.874661,0.129928
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dtheta_p_common,51.799409,0.165011
radwan_rangescan_k2p0,tminuit_simplex,julio_like_init,dpp_common,-135.034071,0.406636
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dpe_C,97.273253,0.287880
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dpe_E,97.415381,0.287896
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dpe_D,97.389850,0.288628
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dtheta_e_C,-42.510252,0.130156
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dtheta_e_E,-42.656303,0.129475
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dtheta_e_D,-42.872706,0.129929
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dtheta_p_common,51.796938,0.165010
radwan_rangescan_k2p0,tminuit_migrad,julio_like_init,dpp_common,-135.027661,0.406636
