category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,25076,8.098,14.298,3803231,265997.4122,136.3958195,61.3005,1.01932,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25076_-1.root",OK
signal,25077,8.102,13.742,3655994,266045.2627,139.1402544,58.3033,1.01958,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25077_-1.root",OK
signal,25078,8.065,15.07,4010474,266123.0259,132.8876435,58.405,0.978109,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25078_-1.root",OK
signal,25079,5.074,9.253,2466774,266591.8081,169.7391875,61.6953,1.17666,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25079_-1.root",OK
signal,25080,5.052,9.261,2470580,266772.4868,169.7233427,59.0149,1.16647,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25080_-1.root",OK
signal,25108,10.112,18.042,4793405,265680.3569,121.3493303,57.7913,0.924826,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25108_-1.root",OK
signal,25109,10.082,18.919,5027554,265741.0011,118.5168758,58.6104,0.904599,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25109_-1.root",OK
signal,25110,10.141,19.183,5095836,265643.33,117.6768933,58.2906,0.900617,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25110_-1.root",OK
signal,25111,6.141,11.289,3003128,266022.4998,153.5081538,61.3089,1.09673,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25111_-1.root",OK
signal,25112,6.12,11.162,2966819,265796.3627,154.3133529,59.7863,1.09334,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25112_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,265967.800712
# FIT_cerr,43.5523003234
# FIT_chi2,55.9519836255
# FIT_ndf,9
# FIT_chi2ndf,6.2168870695
# FIT_prob,8.01691474277e-09
