category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24187,45.333,20.7721,0.548384,"LH2","PI+SIDIS",75.733,1,0.9985,1.02849,"ps6",1
signal,24188,47.438,20.4452,0.527954,"LH2","PI+SIDIS",80.697,1,0.9984,1.02636,"ps5",1
signal,24189,42.729,19.6271,0.542166,"LH2","PI+SIDIS",73.412,1,0.999,1.02527,"ps6",1
signal,24190,46.466,19.4247,0.510811,"LH2","PI+SIDIS",81.653,1,0.9989,1.0264,"ps6",1
signal,24191,38.999,19.7505,0.55117,"LH2","PI+SIDIS",70.886,1,0.9985,1.02355,"ps6",1
signal,24192,44.543,20.0159,0.524619,"LH2","PI+SIDIS",79.901,1,0.9988,1.03181,"ps6",1
signal,24193,42.421,20.0289,0.555008,"LH2","PI+SIDIS",71.236,1,0.9982,1.03102,"ps6",1
signal,24194,45.369,19.443,0.521988,"LH2","PI+SIDIS",78.593,1,0.9986,1.03263,"ps6",1
signal,24195,41.848,19.6334,0.51395,"LH2","PI+SIDIS",81.907,1,0.9984,1.03005,"ps6",1
signal,24196,30.717,19.305,0.642793,"LH2","PI+SIDIS",49.772,1,0.9992,1.02271,"ps6",1
signal,24197,16.919,19.5434,0.801263,"LH2","PI+SIDIS",31.497,1,0.9997,1.01235,"ps6",1
positron,24543,46.843,0.0496446,0.0640909,"LH2","PI+SIDIS",40.535,1,0.9911,1.02996,"ps6",1
dummy,24206,36.363,8.37127,0.371531,"Dummy","PI+SIDIS",64.777,1,0.9984,1,"ps6",1
positron_dummy,24545,40.906,0.109051,0.0657207,"Dummy","PI+SIDIS",38.037,1,1,1,"ps6",1
