category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,25280,20.201,8.274,87.2942,0.717699,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25280_-1.root",OK
signal,25281,20.303,8.351,91.3032,0.72782,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25281_-1.root",OK
signal,25282,10.064,2.902,94.5104,1.00436,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25282_-1.root",OK
signal,25283,10.129,2.938,92.695,0.958983,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25283_-1.root",OK
signal,25309,19.738,7.911,89.1835,0.729947,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25309_-1.root",OK
signal,25310,20.215,8.289,92.3589,1.4229,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25310_-1.root",OK
signal,25311,19.449,7.7,90.6699,0.89667,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25311_-1.root",OK
signal,25312,10.024,2.865,94.1973,0.976502,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25312_-1.root",OK
signal,25313,10.132,2.914,95.7932,0.974986,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25313_-1.root",OK
signal,25314,19.043,7.732,87.9311,1.10215,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25314_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-2.42041215946
# FIT_aerr,0.0823660305406
# FIT_b,0.527816555102
# FIT_berr,0.00495207365423
# FIT_b_over_berr,106.584956516
# FIT_chi2,0.0448987287071
# FIT_ndf,8
# FIT_chi2ndf,0.00561234108839
# FIT_prob,0.999999989605
