category,run,BCM2_I,shms_elclean_kHz,yield,yield_err,rootfile,status
signal,23861,39.922,73.663,nan,nan,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23861_-1.root",OK
signal,23867,39.111,72.86,2.49635,0.0881788,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23867_-1.root",OK
signal,23868,40.465,75.65,2.46646,0.082131,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_23868_-1.root",OK
# FIT_MODEL,pol1
# FIT_a,-4.6934795674
# FIT_aerr,29.1122022769
# FIT_b,1.97704931214
# FIT_berr,0.730791215663
# FIT_b_over_berr,2.70535451134
# FIT_chi2,0.495939526307
# FIT_ndf,1
# FIT_chi2ndf,0.495939526307
# FIT_prob,0.481289713228
