category,run,BCM2_I,normyield,normyield_err,target_raw,run_type_raw,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor
signal,24442,16.031,37.8535,1.4465,"LH2","PI+SIDIS",28.924,1,0.9985,1.01174,"ps6",1
signal,24443,15.95,43.7288,1.58738,"LH2","PI+SIDIS",26.971,1,0.9987,1.01164,"ps5",1
signal,24444,15.896,36.3411,1.47923,"LH2","PI+SIDIS",26.509,1,0.999,1.0116,"ps6",1
signal,24445,16.252,38.7038,3.63115,"LH2","PI+SIDIS",4.618,1,0.999,1.01186,"ps6",1
signal,24446,16.022,33.3447,1.90997,"LH2","PI+SIDIS",15.082,1,0.9985,1.0117,"ps6",1
signal,24447,15.956,36.8975,1.53623,"LH2","PI+SIDIS",24.499,1,0.9985,1.01164,"ps6",1
signal,24448,16.234,39.8661,2.47207,"LH2","PI+SIDIS",9.922,1,0.9989,1.0118,"ps6",1
signal,24449,15.751,36.7402,1.43956,"LH2","PI+SIDIS",28.492,1,0.999,1.01143,"ps6",1
signal,24450,15.964,37.7531,1.43557,"LH2","PI+SIDIS",28.79,1,0.9985,1.01161,"ps6",1
signal,24451,15.996,38.1307,1.51205,"LH2","PI+SIDIS",26.282,1,0.9986,1.01162,"ps6",1
signal,24452,16.331,36.9682,1.40567,"LH2","PI+SIDIS",29.503,1,0.9988,1.01188,"ps6",1
signal,24453,16.1,39.1722,1.47659,"LH2","PI+SIDIS",28.126,1,0.9987,1.0117,"ps6",1
signal,24454,8.084,42.7016,1.86426,"LH2","PI+SIDIS",15.504,1,0.9988,1.00579,"ps6",1
signal,24508,15.863,36.2058,1.74321,"LH2","PI+SIDIS",19.163,1,0.999,1.01157,"ps6",1
signal,24509,16.186,34.3535,1.42328,"LH2","PI+SIDIS",28.165,1,0.9984,1.01163,"ps6",1
signal,24510,15.99,35.2265,1.50327,"LH2","PI+SIDIS",25.465,1,0.9987,1.01148,"ps6",1
signal,24511,16.307,37.1467,1.4278,"LH2","PI+SIDIS",28.926,1,0.9988,1.0118,"ps6",1
signal,24512,8.186,39.8969,1.82765,"LH2","PI+SIDIS",15.425,1,0.9983,1.0059,"ps6",1
positron,24566,15.674,0.670942,0.247205,"LH2","PI+SIDIS",43.898,1,0.9951,-999,"ps6",1
positron,24609,15.754,0.864627,0.216863,"LH2","PI+SIDIS",44.805,1,0.9948,1.01143,"ps6",1
dummy,24460,20.271,18.0415,0.993583,"Dummy","PI+SIDIS",34.736,1,0.9987,1,"ps6",1
dummy,24461,18.571,21.3117,1.96925,"Dummy","PI+SIDIS",9.852,1,0.9988,1,"ps6",1
dummy,24463,20.184,22.1366,1.25175,"Dummy","PI+SIDIS",24.771,1,0.9985,1,"ps6",1
dummy,24464,20.387,18.9009,1.00749,"Dummy","PI+SIDIS",35.203,1,0.9989,1,"ps6",1
dummy,24513,19.587,17.8544,1.04852,"Dummy","PI+SIDIS",32.095,1,0.9979,1,"ps6",1
dummy,24514,19.894,20.2089,1.04273,"Dummy","PI+SIDIS",34.199,1,0.9988,1,"ps6",1
dummy,24515,19.485,20.4554,1.06301,"Dummy","PI+SIDIS",33.037,1,0.999,1,"ps6",1
positron_dummy,24567,19.848,0.489672,0.185515,"Dummy","PI+SIDIS",58.641,1,0.9983,1,"ps6",1
positron_dummy,24608,19.48,0.448206,0.184416,"Dummy","PI+SIDIS",57.617,1,0.9974,1,"ps6",1
