# OutlierByCurrent output
# source = results/pass4/**/tables/yield_vs_current_signal.csv ; results/pass5/**/tables/yield_vs_current_signal.csv
# flag_type=outlier_by_pull => status==OK && fit_included==1 && yield_err>0 && abs((yield-fit_const)/yield_err)>3
# flag_type=excluded_from_fit => fit_included!=1 or status!=OK or invalid yield/yield_err
# threshold = abs_pull > 3
# sort = flag_type, then abs_pull descending within outlier_by_pull, then reason/setting/run
setting,run,flag_type,reason,BCM2_I,yield,yield_err,fit_const,abs_pull
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24948,"outlier_by_pull","abs_pull>3",35.994000,50.430100,0.365719,52.626800,6.006524
"pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh11p075_thpq5p2",24699,"outlier_by_pull","abs_pull>3",50.824000,1.997190,0.065493,2.389110,5.984133
"pass5/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",25073,"outlier_by_pull","abs_pull>3",12.049000,24.632900,0.436728,22.169000,5.641727
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24947,"outlier_by_pull","abs_pull>3",9.499000,97.978600,0.998023,92.456500,5.533039
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2",25280,"outlier_by_pull","abs_pull>3",20.201000,87.294200,0.717699,91.114200,5.322566
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24921,"outlier_by_pull","abs_pull>3",12.745000,55.930000,0.639696,52.626800,5.163703
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2",25258,"outlier_by_pull","abs_pull>3",24.859000,95.781600,0.571230,92.874300,5.089544
"pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2",24619,"outlier_by_pull","abs_pull>3",25.560000,7.286640,0.263261,8.600460,4.990561
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24951,"outlier_by_pull","abs_pull>3",12.417000,55.532700,0.588774,52.626800,4.935510
"pass5/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh13p51_thpq5p2",25360,"outlier_by_pull","abs_pull>3",30.161000,43.781200,0.377675,41.960400,4.821076
"pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2",25141,"outlier_by_pull","abs_pull>3",24.177000,47.392500,0.453454,45.209800,4.813498
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2",25313,"outlier_by_pull","abs_pull>3",10.132000,95.793200,0.974986,91.114200,4.799043
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2",25257,"outlier_by_pull","abs_pull>3",47.370000,89.722700,0.666842,92.874300,4.726157
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24909,"outlier_by_pull","abs_pull>3",9.396000,96.979200,0.982948,92.456500,4.601159
"pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24216,"outlier_by_pull","abs_pull>3",36.640000,9.882090,0.185566,10.723700,4.535367
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p305_thpq2",25202,"outlier_by_pull","abs_pull>3",15.038000,56.196500,0.653672,53.248300,4.510213
