category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,25356,808.717,764.929,668.28,512.884,50,0.04043585,0.03824645,0.033414,0.0256442,0.95956415,0.96175355,0.966586,0.9743558,0.993263298557,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25356_-1.report",OK
signal,25357,822.725,778.261,680.12,522.113,50,0.04113625,0.03891305,0.034006,0.02610565,0.95886375,0.96108695,0.965994,0.97389435,0.99302992886,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25357_-1.report",OK
signal,25358,807.572,764.111,667.686,512.621,50,0.0403786,0.03820555,0.0333843,0.02563105,0.9596214,0.96179445,0.9666157,0.97436895,0.9932765768,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25358_-1.report",OK
signal,25359,449.996,426.36,372.345,283.56,50,0.0224998,0.021318,0.01861725,0.014178,0.9775002,0.978682,0.98138275,0.985822,0.997873590787,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25359_-1.report",OK
signal,25360,453.868,430.026,375.448,285.952,50,0.0226934,0.0215013,0.0187724,0.0142976,0.9773066,0.9784987,0.9812276,0.9857024,0.997837746447,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25360_-1.report",OK
signal,25381,843.555,794.793,694.866,534.195,50,0.04217775,0.03973965,0.0347433,0.02670975,0.95782225,0.96026035,0.9652567,0.97329025,0.99271518847,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25381_-1.report",OK
signal,25382,454.407,430.544,376.17,286.764,50,0.02272035,0.0215272,0.0188085,0.0143382,0.97727965,0.9784728,0.9811915,0.9856618,0.997830448305,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25382_-1.report",OK
dummy,25368,453.893,429.989,378.454,281.434,50,0.02269465,0.02149945,0.0189227,0.0140717,0.97730535,0.97850055,0.9810773,0.9859283,0.997842988321,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25368_-1.report",OK
dummy,25383,476.969,451.882,397.86,296.166,50,0.02384845,0.0225941,0.019893,0.0148083,0.97615155,0.9774059,0.980107,0.9851917,0.997619249904,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25383_-1.report",OK
