pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,19.4628,0.0617,4.4541,1.0032,0.0772,12.9896
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,5.4968,0.0235,6.4127,-0.2052,0.0228,-8.9978
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,7.9953,0.0327,-5.1092,-0.4723,0.0356,-13.2662
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,8.7319,0.0325,-5.5231,0.0528,0.0363,1.4553
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,25.1342,0.4173,9.1677,-0.6814,0.3893,-1.7506
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,6.5454,0.1418,-3.2811,-0.3823,0.1158,-3.3031
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,8.1771,0.1598,5.6530,-0.4906,0.1387,-3.5374
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,8.9245,0.1732,-5.1011,-1.0565,0.1516,-6.9711
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,6.6322,-2.8658,1.2505,-2.2917
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-13.7527,-0.4349,0.2901,-1.4994
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,15.2464,-0.7466,0.3786,-1.9717
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-5.3794,0.7254,0.4289,1.6913
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,3.3470,2.2523,1.3030,1.7285
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-14.5767,-0.7821,0.3439,-2.2743
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,15.4568,0.1090,0.3609,0.3019
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-5.4158,-0.5206,0.4549,-1.1444
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,7.7076,3.5195,1.2647,2.7828
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-15.2178,0.8698,0.4188,2.0766
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,16.9354,-0.6322,0.3178,-1.9893
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,-4.0387,-3.2267,0.6103,-5.2874
