parameter,central_value,toy_mean,toy_std,p16,p50,p84,minus_err,plus_err,n_toys_physical
de0,0.1478,-0.3512,0.3091,-0.6267,-0.3571,-0.0635,0.7745,-0.2113,1934
dthe_A,0.0745,0.2475,0.2203,0.0360,0.2758,0.4538,0.0385,0.3793,1934
dthe_B,-0.7130,-0.7906,0.3624,-1.1396,-0.8143,-0.4494,0.4266,0.2636,1934
dthe_C,-0.5419,-0.4611,0.5311,-0.9490,-0.4578,0.0551,0.4071,0.5970,1934
dthe_E,-1.3804,-0.9974,0.5970,-1.5586,-1.0526,-0.4176,0.1782,0.9628,1934
dthe_D,-1.6141,-0.9849,0.6639,-1.6319,-1.0173,-0.3033,0.0178,1.3108,1934
dpe_A,-0.4973,-1.1883,0.4883,-1.6454,-1.2382,-0.7122,1.1481,-0.2149,1934
dpe_B,0.3955,0.1022,0.6171,-0.4341,0.1407,0.6615,0.8296,0.2660,1934
dpe_C,1.1539,0.2935,0.8782,-0.4956,0.2238,1.0180,1.6495,-0.1359,1934
dpe_E,2.0587,1.2867,1.0705,0.2657,1.3042,2.2757,1.7930,0.2170,1934
dpe_D,2.8117,0.9826,1.1704,-0.1138,1.0207,2.0587,2.9255,-0.7530,1934
dpp_A,-0.7589,-0.4705,1.1233,-1.5406,-0.3402,0.5602,0.7817,1.3191,1934
dpp_B,0.5979,-0.1121,1.0244,-1.0526,-0.1534,0.8493,1.6505,0.2514,1934
dpp_C,1.5153,1.4237,1.2655,0.2850,1.4154,2.6642,1.2303,1.1489,1934
dpp_E,0.2916,0.2067,1.1233,-0.8460,0.1893,1.2036,1.1376,0.9120,1934
dpp_D,-0.5974,0.5295,1.4306,-0.7386,0.4377,1.8617,0.1412,2.4591,1934
dthp,1.0098,0.8333,0.4239,0.4398,0.7903,1.2386,0.5700,0.2288,1934
