run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
23862,signal,LD2,PI-SIDIS,24.412,41.698,0.9997,1.0,1.008527,-1.0,1.0,ps6,1.0,32.4862,1.07562
23866,dummy,Dummy,PI-SIDIS,33.977,57.432,0.9999,1.0,1.0,-1.0,1.0,ps6,1.0,9.98163,0.476454
