setting,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
B,2,b2,-1.000000,0.000000,Pmz,-0.038485,0.029087,6169.000000,1.816402,3396.274957,7946.000000,40095.000000,-0.569392,0.152118,9.718545,0.136482,0,457.818007,8,-5.637253,0.037037,5.635987,0.024789,0,3029.312848,6,5.067861,0.156562,1
B,2,b2,-1.000000,0.000000,Pmy,-0.019428,0.035003,7172.000000,2.190727,3273.799794,7946.000000,40095.000000,7.649732,0.126117,10.253842,0.111413,0,37.105528,6,-0.907708,0.036078,7.091932,0.027032,0,16.754761,5,8.557441,0.131176,1
B,3,b3,0.000000,1.000000,W,0.903579,1.015902,6579.000000,2.029771,3241.252834,8248.000000,35919.000000,957.751484,0.370233,26.446987,0.362019,0,43.374032,13,947.277524,0.112863,18.352423,0.104032,0,165.543706,9,10.473960,0.387053,1
B,3,b3,0.000000,1.000000,Em,-0.010743,0.018663,5662.000000,1.681413,3367.405187,8248.000000,35919.000000,3.193166,0.110721,6.832928,0.113239,0,171.363232,11,5.612363,0.026614,3.609421,0.022165,0,1545.603307,8,-2.419196,0.113874,1
B,3,b3,0.000000,1.000000,Pmz,-0.038566,0.028007,6754.000000,1.935493,3489.549639,8248.000000,35919.000000,-1.676726,0.156807,10.111054,0.142714,0,484.169099,8,-5.085728,0.035941,5.419439,0.024384,0,2780.745703,6,3.409002,0.160873,1
B,3,b3,0.000000,1.000000,Pmy,-0.018543,0.034500,7559.000000,2.212708,3416.175279,8248.000000,35919.000000,7.905776,0.120233,10.014902,0.102596,0,45.182284,6,-1.634076,0.038687,7.212617,0.029897,0,34.484113,5,9.539852,0.126304,1
B,4,b4,1.000000,2.000000,W,0.908653,1.016704,6806.000000,1.916083,3552.038737,8159.000000,29049.000000,961.598436,0.324810,24.599405,0.317719,0,72.672223,13,946.583210,0.116413,17.555772,0.110687,0,289.585470,9,15.015226,0.345042,1
B,4,b4,1.000000,2.000000,Em,-0.008562,0.020561,5889.000000,1.656174,3555.786752,8159.000000,29049.000000,5.369798,0.112680,6.987451,0.112063,0,176.612083,11,5.490825,0.030058,3.980374,0.025952,0,999.006952,8,-0.121027,0.116621,1
B,4,b4,1.000000,2.000000,Pmz,-0.036687,0.025552,6935.000000,1.854380,3739.794023,8159.000000,29049.000000,-2.497732,0.142834,9.170064,0.120914,0,528.085992,7,-4.901508,0.038970,5.472644,0.026432,0,2190.517906,6,2.403776,0.148055,1
B,4,b4,1.000000,2.000000,Pmy,-0.017778,0.035146,7337.000000,2.000174,3668.181726,8159.000000,29049.000000,8.574180,0.120344,10.007691,0.101763,0,24.474055,6,-1.545729,0.043683,7.358514,0.033029,0,16.014946,5,10.119909,0.128027,1
B,5,b5,2.000000,3.000000,W,0.912970,1.019356,6177.000000,1.462578,4223.363556,7027.000000,18918.000000,965.300467,0.336985,23.938862,0.339117,0,51.376517,12,945.484236,0.134865,16.463163,0.119471,0,149.028246,8,19.816231,0.362970,1
B,5,b5,2.000000,3.000000,Em,-0.005925,0.025166,5215.000000,1.327194,3929.343610,7027.000000,18918.000000,9.404754,0.125181,7.653586,0.121970,0,145.480389,13,5.563191,0.036440,4.180102,0.033760,0,421.667961,8,3.841562,0.130377,1
B,5,b5,2.000000,3.000000,Pmz,-0.039965,0.022601,6165.000000,1.439432,4282.938741,7027.000000,18918.000000,-5.206832,0.147049,9.278382,0.133435,0,530.843053,8,-4.993424,0.044875,5.380680,0.031567,0,932.625260,5,-0.213408,0.153744,1
B,5,b5,2.000000,3.000000,Pmy,-0.016212,0.036321,6306.000000,1.474279,4277.345348,7027.000000,18918.000000,10.262659,0.132643,10.140048,0.114800,0,25.174923,6,-1.082303,0.056589,7.671407,0.043388,0,15.785656,5,11.344962,0.144210,1
