pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,W,5.4573,0.0772,19.4628,0.0617,4.2767,1.1806,0.0772,15.2867
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Em,6.2076,0.0228,5.4968,0.0235,6.3723,-0.1648,0.0228,-7.2265
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmz,-5.5814,0.0356,7.9953,0.0327,-5.1311,-0.4503,0.0356,-12.6500
4pass,A,-7.0700,b1,-0.5000,-2.0000,1.0000,Pmx,-5.4704,0.0363,8.7319,0.0325,-5.6960,0.2256,0.0363,6.2218
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,W,8.4863,0.3893,25.1342,0.4173,9.7807,-1.2945,0.3893,-3.3255
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Em,-3.6635,0.1158,6.5454,0.1418,-3.1413,-0.5221,0.1158,-4.5106
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmz,5.1624,0.1387,8.1771,0.1598,5.6639,-0.5015,0.1387,-3.6156
4pass,B,-5.6700,b1,-0.5000,-2.0000,1.0000,Pmx,-6.1576,0.1516,8.9245,0.1732,-5.3425,-0.8151,0.1516,-5.3783
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,W,3.7664,1.2505,29.0894,1.3871,1.9534,1.8130,1.2505,1.4498
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Em,-14.1876,0.2901,6.3090,0.2957,-13.3327,-0.8549,0.2901,-2.9472
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmz,14.4998,0.3786,8.7406,0.4415,13.9181,0.5817,0.3786,1.5362
5pass,C,-6.7200,b1,1.0000,-0.5000,2.5000,Pmx,-4.6540,0.4289,9.5430,0.4421,-2.6726,-1.9814,0.4289,-4.6196
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,W,5.5993,1.3030,29.7197,1.6348,12.8963,-7.2970,1.3030,-5.6002
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Em,-15.3588,0.3439,7.0369,0.4478,-13.6161,-1.7426,0.3439,-5.0676
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmz,15.5657,0.3609,8.2129,0.4139,16.2962,-0.7305,0.3609,-2.0242
5pass,E,-6.6048,b1,3.0000,1.5000,4.5000,Pmx,-5.9363,0.4549,10.0131,0.5288,-2.3756,-3.5607,0.4549,-7.8278
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,W,11.2271,1.2647,26.6921,1.4119,10.5721,0.6550,1.2647,0.5179
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Em,-14.3480,0.4188,8.1054,0.5043,-14.4639,0.1158,0.4188,0.2766
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmz,16.3032,0.3178,6.7718,0.3122,16.7022,-0.3991,0.3178,-1.2557
5pass,D,-6.3840,b1,6.0000,4.5000,7.5000,Pmx,-7.2654,0.6103,11.0257,0.7631,0.0762,-7.3416,0.6103,-12.0305
