category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,25076,8.037,830.7,13.8531,0.0706943,58.7258,0.979335,14.205,1,0.9986,1.00281,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25076_-1.root",OK
signal,25077,8.048,757.613,13.3089,0.073569,55.7368,0.979123,13.65,1,0.9986,1.00281,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25077_-1.root",OK
signal,25078,8.004,828.45,14.0035,0.0670742,55.5676,0.939276,14.973,1,0.9985,1.0028,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25078_-1.root",OK
signal,25079,5.02,540.862,10.4016,0.10961,59.2838,1.14011,9.153,1,0.9985,1.00175,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25079_-1.root",OK
signal,25080,4.985,520.013,10.313,0.109394,56.8864,1.12819,9.17,1,0.9986,1.00174,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25080_-1.root",OK
signal,25108,10.019,991.238,15.866,0.0559731,55.4826,0.888066,17.957,1,0.9984,1.0035,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25108_-1.root",OK
signal,25109,10,1046.92,16.2355,0.0533865,55.8916,0.866754,18.825,1,0.9985,1.00349,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25109_-1.root",OK
signal,25110,10.078,1057.43,16.364,0.0526686,55.6931,0.86187,19.084,1,0.9984,1.00352,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25110_-1.root",OK
signal,25111,6.086,657.975,11.8047,0.089707,59.025,1.05896,11.189,1,0.9984,1.00213,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25111_-1.root",OK
signal,25112,6.057,636.975,11.6777,0.0906713,57.7554,1.05884,11.071,1,0.9983,1.00212,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25112_-1.root",OK
dummy,25092,18.932,597.15,11.9962,0.0283772,16.9454,0.34042,35.289,1,0.9986,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25092_-1.root",OK
dummy,25093,19.574,638.888,12.3285,0.026837,17.1458,0.330859,37.318,1,0.9985,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25093_-1.root",OK
dummy,25120,20,631.237,12.2072,0.0274758,17.3438,0.335403,36.454,1,0.9984,1,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25120_-1.root",OK
dummy,25121,20.025,646.012,12.446,0.0260306,16.8161,0.323977,38.474,1,0.9985,1,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25121_-1.root",OK
