run,requested_run_type,phase,bigtable_source,run_type,target,ebeam,hms_p,shms_p,root_file,root_entries,selected_entries,ct_method,ct_reference_runs,ctmean,ctmean_err,ctsigma,ctsigma_err,rf_period_ns,ct_low,ct_high,random_left_low,random_left_high,random_right_low,random_right_high,n_coin,n_random_peaks,n_random_total,random_mean,good_coin,good_coin_err,BCM2_Q,ps5,ps6,active_prescale,prescale_factor,comp_livetime,h_esing_Eff,p_hadron_Eff,trigger_eff,pid_eff,boil_corr,norm_factor,normalized_yield,normalized_yield_err,bigtable_normyield,bigtable_normyield_err,status,reason
27114,HMSDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,HMSDIS,LH2,6.449,-1.165,-2.766,,-1,-1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,1,1,nan,nan,nan,nan,nan,nan,SKIPPED_UNSUPPORTED_RUN_TYPE,ONLY_PI_SIDIS_AND_PI_PLUS_SIDIS_ARE_SUPPORTED
27121,SHMSDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,SHMSDIS,LH2,6.449,-1.165,-2.766,,-1,-1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,1,1,nan,nan,nan,nan,nan,nan,SKIPPED_UNSUPPORTED_RUN_TYPE,ONLY_PI_SIDIS_AND_PI_PLUS_SIDIS_ARE_SUPPORTED
27122,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27122_-1.root,314478,13894,TWO_STAGE_GAUSSIAN_FIT,,51.39727414,0.01338888418,0.4019267789,0.01179305062,2,50.39727414,52.39727414,42.39727414,48.39727414,54.39727414,60.39727414,1119,6,2478,413,706,34.46495805,51.346,-1,1,ps6,1,0.99991,0.998,0.9767,1,1,1,0.01998208227,14.10735009,0.6886816273,16.9874,0.730385,OK,
27123,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27123_-1.root,293272,12885,TWO_STAGE_GAUSSIAN_FIT,,51.4046471,0.01461532557,0.4058982896,0.0132212462,2,50.4046471,52.4046471,42.4046471,48.4046471,54.4046471,60.4046471,963,6,2153,358.8333333,604.1666667,31.98133136,47.57,-1,1,ps6,1,0.99992,0.9978,0.9763,1,1,1,0.021581161,13.0386181,0.690194261,15.5931,0.737578,OK,
27124,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27124_-1.root,315077,13918,TWO_STAGE_GAUSSIAN_FIT,,51.38814947,0.01341363514,0.4040264732,0.01244994274,2,50.38814947,52.38814947,42.38814947,48.38814947,54.38814947,60.38814947,1106,6,2328,388,718,34.21500645,51.317,-1,1,ps6,1,0.99992,0.9979,0.9767,1,1,1,0.01999517802,14.35653782,0.684135145,16.6669,0.724076,OK,
27125,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27125_-1.root,268049,11977,TWO_STAGE_GAUSSIAN_FIT,,51.40571866,0.01464606454,0.3997756795,0.01371705152,2,50.40571866,52.40571866,42.40571866,48.40571866,54.40571866,60.40571866,951,6,1973,328.8333333,622.1666667,31.71443765,43.66,-1,1,ps6,1,0.99993,0.9983,0.9759,1,1,1,0.02351149696,14.62806969,0.7456539044,16.9986,0.795658,OK,
27126,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27126_-1.root,125156,5593,TWO_STAGE_GAUSSIAN_FIT,,51.37186167,0.02175405557,0.4121221568,0.02067368923,2,50.37186167,52.37186167,42.37186167,48.37186167,54.37186167,60.37186167,445,6,973,162.1666667,282.8333333,21.72620026,20.369,-1,1,ps6,1,0.9999,0.9983,0.9742,1,1,1,0.05048525185,14.27891206,1.096852692,16.6983,1.15502,OK,
27127,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27127_-1.root,451933,20178,TWO_STAGE_GAUSSIAN_FIT,,51.39419855,0.0110655264,0.4071817966,0.01030513056,2,50.39419855,52.39419855,42.39419855,48.39419855,54.39419855,60.39419855,1679,6,3456,576,1103,42.13074887,73.613,-1,1,ps6,1,0.9999,0.998,0.9751,1,1,1,0.013960765,15.39872379,0.5881774842,18.3519,0.627378,OK,
27128,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27128_-1.root,102529,4548,TWO_STAGE_GAUSSIAN_FIT,,51.41937011,0.02449997031,0.4119139631,0.021351756,2,50.41937011,52.41937011,42.41937011,48.41937011,54.41937011,60.41937011,376,6,779,129.8333333,246.1666667,19.94088486,16.56,-1,1,ps6,1,0.99994,0.9982,0.9745,1,1,1,0.06208208828,15.28254073,1.237971774,18.062,1.31628,OK,
27129,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27129_-1.root,517439,22927,TWO_STAGE_GAUSSIAN_FIT,,51.40270316,0.01038197496,0.4066447801,0.009576729287,2,50.40270316,52.40270316,42.40270316,48.40270316,54.40270316,60.40270316,1875,6,3988,664.6666667,1210.333333,44.56206658,84.236,-1,1,ps6,1,0.99991,0.9978,0.9746,1,1,1,0.01220875689,14.77666542,0.5440474372,17.5129,0.57814,OK,
27130,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27130_-1.root,306662,13620,TWO_STAGE_GAUSSIAN_FIT,,51.28394105,0.01438003468,0.4187995016,0.01473867733,2,50.28394105,52.28394105,42.28394105,48.28394105,54.28394105,60.28394105,1097,6,2278,379.6666667,717.3333333,34.06285041,50.154,-1,1,ps6,1,0.99991,0.9979,0.9742,1,1,1,0.02051154456,14.71361463,0.6986816739,17.0367,0.740665,OK,
27131,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27131_-1.root,321559,14409,TWO_STAGE_GAUSSIAN_FIT,,51.281139,0.01395162997,0.4149526768,0.01351046966,2,50.281139,52.281139,42.281139,48.281139,54.281139,60.281139,1151,6,2480,413.3333333,737.6666667,34.92690781,52.533,-1,1,ps6,1,0.99988,0.998,0.9744,1,1,1,0.01957726859,14.44149846,0.6837734551,16.2355,0.71245,OK,
27132,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27132_-1.root,763481,2133,TWO_STAGE_GAUSSIAN_FIT,,51.26140933,0.0325856124,0.3424170467,0.0296038852,2,50.26140933,52.26140933,42.26140933,48.26140933,54.26140933,60.26140933,158,6,362,60.33333333,97.66666667,12.96362432,7.795,1,-1,ps5,1,0.99533,0.9976,0.9614,1,1,1,0.134386681,13.12509917,1.742138446,13.9865,1.79986,OK,
27133,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27133_-1.root,3394078,9482,TWO_STAGE_GAUSSIAN_FIT,,51.33070879,0.0169976748,0.4238225891,0.0168952686,2,50.33070879,52.33070879,42.33070879,48.33070879,54.33070879,60.33070879,793,6,1594,265.6666667,527.3333333,28.93575259,34.716,1,-1,ps5,1,0.9954,0.9998,0.9619,1,1,1,0.03009051541,15.8677318,0.8706917092,18.3691,0.927584,OK,
27134,HMSDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,HMSDIS,LH2,6.449,-1.165,-2.766,,-1,-1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,1,1,nan,nan,nan,nan,nan,nan,SKIPPED_UNSUPPORTED_RUN_TYPE,ONLY_PI_SIDIS_AND_PI_PLUS_SIDIS_ARE_SUPPORTED
27135,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,Dummy,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27135_-1.root,122382,4517,TWO_STAGE_GAUSSIAN_FIT,,51.28353107,0.01785935334,0.3547514854,0.01614586186,2,50.28353107,52.28353107,42.28353107,48.28353107,54.28353107,60.28353107,509,6,760,126.6666667,382.3333333,23.02414192,81.167,-1,1,ps6,1,1,0.999,0.9773,1,1,1,0.01261906329,4.824688532,0.2905431041,5.9109,0.316074,OK,
27136,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,Dummy,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27136_-1.root,121295,4398,TWO_STAGE_GAUSSIAN_FIT,,51.31540508,0.02235657597,0.4328758684,0.02201992395,2,50.31540508,52.31540508,42.31540508,48.31540508,54.31540508,60.31540508,492,6,696,116,376,22.61268081,80.462,-1,1,ps6,1,0.99997,0.9988,0.9765,1,1,1,0.01274299241,4.791365145,0.2881532198,5.59338,0.311955,OK,
27137,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,Dummy,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27137_-1.root,119580,4468,TWO_STAGE_GAUSSIAN_FIT,,51.35603771,0.01719575889,0.3760623257,0.01619703096,2,50.35603771,52.35603771,42.35603771,48.35603771,54.35603771,60.35603771,562,6,714,119,443,24.12122164,78.858,-1,1,ps6,1,0.99998,0.9985,0.977,1,1,1,0.01299930982,5.758694252,0.3135592334,6.12304,0.325543,OK,
27138,HMSDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,HMSDIS,Dummy,6.449,-1.165,-2.766,,-1,-1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,1,1,nan,nan,nan,nan,nan,nan,SKIPPED_UNSUPPORTED_RUN_TYPE,ONLY_PI_SIDIS_AND_PI_PLUS_SIDIS_ARE_SUPPORTED
