toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_b1_A,dthe_b1_B,dpe_b1_A,dpe_b1_B,dthp,dpp_b1_A,dpp_b1_B
100,True,Optimization terminated successfully.,2227,3432,455.1745,1,0,-0.8800,-1.9212,0.9078,2.9741,3.0845,-6.0996,-3.7071
101,True,Optimization terminated successfully.,2012,3100,504.1404,0,1,-0.0277,-0.4147,-0.4835,-0.0958,1.1407,-1.4230,1.0874
102,True,Optimization terminated successfully.,1638,2551,402.3276,0,1,-0.0678,-0.4551,-0.4167,0.0184,1.2165,-1.6639,0.9386
103,True,Optimization terminated successfully.,1879,2931,479.3810,0,1,-0.0524,-0.4084,-0.4408,-0.0536,1.1879,-1.5537,1.0105
104,True,Optimization terminated successfully.,1664,2585,461.7333,0,1,0.1157,-0.1866,-0.7055,-0.5164,0.8516,-0.7048,1.7629
105,True,Optimization terminated successfully.,1826,2866,466.1894,1,0,1.3151,1.8868,-2.6681,-4.7202,-1.9766,5.9109,8.3081
106,True,Optimization terminated successfully.,1921,2970,422.9382,0,1,-0.0065,-0.4438,-0.5158,-0.0771,1.0865,-1.3235,1.0772
107,True,Optimization terminated successfully.,1968,3069,419.6470,1,0,-1.7575,-3.5123,2.3254,6.0711,5.1315,-10.8893,-8.5199
108,True,Optimization terminated successfully.,1958,3001,454.7481,0,1,-0.0873,-0.3511,-0.3817,-0.0525,1.2711,-1.7841,1.0400
109,True,Optimization terminated successfully.,1632,2517,478.0681,0,1,-0.0227,-0.4351,-0.4837,-0.0770,1.1395,-1.4445,1.0216
110,True,Optimization terminated successfully.,1659,2583,473.5773,0,1,0.0616,-0.2764,-0.6202,-0.3517,0.9602,-0.9684,1.4836
111,True,Optimization terminated successfully.,1600,2504,493.2540,0,1,0.0420,-0.2240,-0.5888,-0.4054,0.9893,-1.0736,1.6135
112,True,Optimization terminated successfully.,1887,2910,405.4949,0,1,-0.1291,-0.5400,-0.3091,0.2201,1.3941,-2.0140,0.6176
113,True,Optimization terminated successfully.,1292,2061,373.7184,0,1,-0.0014,-0.4076,-0.5275,-0.1651,1.0623,-1.2944,1.2116
114,True,Optimization terminated successfully.,1912,2964,440.1046,0,1,-0.1134,-0.5194,-0.3433,0.1722,1.3020,-1.9247,0.6473
115,True,Optimization terminated successfully.,1768,2741,433.5348,0,1,-0.0982,-0.4976,-0.3646,0.1061,1.2943,-1.8340,0.8360
116,True,Optimization terminated successfully.,1822,2826,417.3656,0,1,0.0448,-0.3646,-0.5854,-0.2351,1.0220,-1.0887,1.3206
117,True,Optimization terminated successfully.,1610,2508,482.3262,0,1,-0.1315,-0.5222,-0.3108,0.1757,1.3564,-2.0144,0.6510
118,True,Optimization terminated successfully.,1988,3096,417.4497,0,1,-0.2853,-0.7833,-0.0556,0.7622,1.7701,-2.8788,-0.2470
119,True,Optimization terminated successfully.,1923,2961,429.8728,0,1,-0.6655,-1.4347,0.5513,2.0034,2.5948,-4.9192,-2.1923
120,True,Optimization terminated successfully.,1862,2874,395.6159,0,1,-0.0397,-0.3777,-0.4557,-0.0758,1.1730,-1.5441,1.1012
121,True,Optimization terminated successfully.,1734,2731,454.3950,0,1,0.0401,-0.2959,-0.5991,-0.3128,0.9905,-1.0447,1.4338
122,True,Optimization terminated successfully.,1975,3074,451.5399,0,1,-0.0631,-0.4424,-0.4136,0.0231,1.2778,-1.6671,0.9343
123,True,Optimization terminated successfully.,2807,4314,4.8858,1,0,-60.0385,-105.8596,97.4269,211.8550,140.7655,-330.4964,-329.3330
124,True,Optimization terminated successfully.,1944,2988,465.3058,0,1,0.0613,-0.2207,-0.6344,-0.4977,0.9076,-0.9316,1.7219
125,True,Optimization terminated successfully.,1532,2374,473.1054,0,1,-0.0696,-0.5948,-0.4136,0.2073,1.2371,-1.6632,0.5888
126,True,Optimization terminated successfully.,1889,2938,445.8961,0,1,-0.0549,-0.3878,-0.4356,-0.1287,1.1873,-1.5856,1.0989
127,True,Optimization terminated successfully.,1857,2880,463.9907,0,1,0.0151,-0.2919,-0.5470,-0.3322,1.0531,-1.2240,1.4695
128,True,Optimization terminated successfully.,1694,2654,464.3461,0,1,-0.0872,-0.5276,-0.3712,0.1326,1.2977,-1.7912,0.7191
129,True,Optimization terminated successfully.,1751,2721,536.3410,0,1,0.0179,-0.3938,-0.5395,-0.1124,1.1090,-1.2287,1.1550
130,True,Optimization terminated successfully.,1828,2832,422.6858,0,1,-0.0381,-0.4414,-0.4536,-0.0178,1.2054,-1.5106,0.9723
131,True,Optimization terminated successfully.,1574,2456,536.8176,0,1,-0.3062,-0.8745,-0.0161,0.8608,1.7990,-3.0074,-0.3714
132,True,Optimization terminated successfully.,1525,2394,405.1275,0,1,-0.1000,-0.5530,-0.3606,0.2018,1.3098,-1.8541,0.6054
133,True,Optimization terminated successfully.,2075,3208,424.0078,0,1,-0.1652,-0.6471,-0.2655,0.4005,1.4504,-2.1801,0.3389
134,True,Optimization terminated successfully.,1984,3071,409.1555,0,1,0.4176,0.3301,-1.2046,-1.5823,0.1160,0.9804,3.4015
135,True,Optimization terminated successfully.,1772,2725,411.6198,0,1,-0.1112,-0.4278,-0.3551,0.0035,1.3026,-1.8677,0.9279
136,True,Optimization terminated successfully.,1810,2810,447.4048,0,1,-0.3070,-0.8209,-0.0306,0.7829,1.7952,-2.9581,-0.3031
137,True,Optimization terminated successfully.,1658,2577,495.9652,0,1,-0.4780,-1.0925,0.2511,1.3396,2.1673,-3.9012,-1.1322
138,True,Optimization terminated successfully.,1913,2937,456.0656,0,1,-0.1401,-0.5405,-0.2930,0.2025,1.3791,-2.0651,0.6222
139,True,Optimization terminated successfully.,1735,2684,397.8923,0,1,-0.0315,-0.4467,-0.4725,0.0180,1.1657,-1.4600,0.9463
